,automake-version,pcre-version,swig-version
q2ft3tnro7jcs5a3kboqabp2evzwv4k7,absent,8.42,4.0.2
qbhwftvgk55arvkezpyq563qqe7vidzd,1.16.3,8.42,master
qi3po22b3a4ued33mdj5pqaeuwzxkrzi,1.13.4,8.42,master
qjcbewhvr5zf53ankpytq5l6czwpdkuu,absent,8.43,4.0.1
qobgq36usp2us5ybv6hbjxqxvw223idl,1.16.2,8.42,fortran
r2cdhqyczfbiongnwtyxla2hvo32h7le,1.13.4,8.39,fortran
rpqnzhzfmsztcxc7gxfgpywzquf5bbhl,absent,8.39,3.0.10
rs4fisfvy47f4dvymfuazq7n4yp43yse,1.14.1,8.39,4.0.2-fortran
rsdg6vmdw3r2n7iaj5kk77s3p6zjth7m,1.15.1,8.44,4.0.2-fortran
rw4epxgnd534x2wxstokmfd5bybnugjn,1.16.1,8.40,master
ryihwycmvktpwvqtctsyjs2s6gdrz2hf,absent,8.40,3.0.8
s66phgnv4iwwetpuufq5nbmabb3uakr4,absent,8.44,3.0.11
s7z6jbcmvpnk7iw4mmmmhar7v3rmmrxf,absent,8.42,4.0.0
saoogsr64i2magyw4rn3jj5ngz2ko2nm,1.16.3,8.44,4.0.2-fortran
sb4iowdzyhr2y3eusv4mtrlqoi2ahe52,1.16.1,8.43,fortran
sdkygzxe5kgq576zvwk4duwpzzzexb44,absent,8.40,1.3.40
skjcr2k3xftjxlrdfx3s7ct6h6vssjoe,1.16.3,8.39,fortran
so7o5fn53e3md4gtepucya7zs6vzahew,absent,8.44,3.0.12
sruh6h26gscnzp52m3edceoaadczppma,1.16.3,8.39,4.0.2-fortran
su47p7nvtd6fjwbalajg7n2suequ3am3,absent,8.44,1.3.40
tatsjnd4vqpytd5n5cwlw5ir6fwkzwby,absent,8.41,3.0.10
tbgv4fwvemsm5d4mvjgrzxvccgp72wh5,absent,8.41,1.3.40
tbxih6fgha2exxuavknexxk5nbo2pyrx,1.14.1,8.42,fortran
tcyf7qhl2dmcivgd6ynmhoklfzg3mvwz,1.16.1,8.39,4.0.2-fortran
tt3bqfjwodxx7qpkhplr7txnfngwgpve,absent,8.40,3.0.12
ttau7zy3u7kbelyfk3vebvp67u6pz4v5,absent,8.42,3.0.12
u4uta6a5rkxwhjlsyknge2jj2vbohofa,absent,8.39,2.0.2
u5w7w3muniuyo4j6xwpm6teasqqdiaq3,1.15,8.44,fortran
uatd3ppucctzedfkghazi45af3yb5q6k,1.15,8.43,fortran
udunmi3qtmyialoyghlit4vmojnhhlyz,1.16.3,8.44,master
ueyyf5opddj6esa5te3gys527izyob7e,absent,8.44,3.0.10
uh632pphtf6a6vv3ucw5btohusb7pfp3,1.15,8.44,4.0.2-fortran
uilfeaj55tykon7hiabiifuyrzab3wmd,absent,8.38,2.0.2
uoiy22gigyy25eub5fnvqm4eu3cp25n6,absent,8.38,4.0.2
useo7thxbdln3qzbwzsf2bptl2wlrn2m,1.15,8.39,4.0.2-fortran
vwy67ayzarj7syhywcdtegvxuhnnlcf4,absent,8.40,4.0.0
w7axtbt4qiauuo3dxvfbjzovwgpursas,1.16.2,8.39,master
warqygvklrpf75th4zgkhqmcpu3dyzvx,1.14.1,8.40,4.0.2-fortran
wmiw4mja2mhxo6dprovcomp7bbxwsdn3,1.16.2,8.43,fortran
wpthsbs4ipr4yeqraukvcdun6sl72dra,1.15.1,8.41,4.0.2-fortran
wvoxnxbqq3e5y3gsfuxm3vxu274fkw7l,absent,8.41,2.0.2
wyb7tb2mo65git3muedwtmszk3flvbh3,1.14.1,8.42,4.0.2-fortran
wzlgdgno7gp2jyr3xxetwehuzny2newk,1.15.1,8.38,4.0.2-fortran
xcybci265k4c3qfws5cmr6l2h6cnrmlf,1.13.4,8.39,4.0.2-fortran
xeu6whphwvcv37eaffewan2rmv75h5ln,1.16.2,8.39,fortran
xmhyfz6rkk6vmqqhas7hxl2ubppechnu,1.13.4,8.42,fortran
xpspwiuvkbpuahxm3jorob3i3zlhn2ho,1.16.3,8.42,4.0.2-fortran
xvvyzr75czjug27xp67xxpeciuv7t24f,absent,8.39,4.0.1
xzuwrx5lvmaicctl4vam5jdqntvri53r,absent,8.38,3.0.8
yhyw6sgalpsmw5hl7tscjnvhu23izho6,1.15.1,8.40,4.0.2-fortran
yktq4bvj2r4zgkvdm3iqkz6nnxiibrkh,absent,8.43,3.0.2
yohxjmjqjvnaw7ldyhzghqqwvjokbdbk,1.14.1,8.43,4.0.2-fortran
yrdb6fylso6kb2odqes4hj4mtdfhrrfs,absent,8.38,4.0.1
yrnrcks2rehstmfoc5tn2odgktecklbb,absent,8.39,3.0.8
ysjlvywotrg4kovugt2jruyhaqsctwpf,1.15.1,8.43,4.0.2-fortran
ytkiuevskzqzfp7pxbap56xfdq5jltcv,1.15,8.41,fortran
zaewuq526ewuvmxfyibhcqzazewardmd,1.13.4,8.39,master
zett4b2kbwbcovubwx5f7jg7gjkmaljd,absent,8.39,3.0.11
zlwojylfmcoaohi45v4mcrza72alqsqp,1.15,8.42,4.0.2-fortran
zvx36fak637gt5bnahgywk7eqmzrano6,1.15.1,8.38,fortran
zxocfxdnzrisboc6hiaf3drwnuyp4bf7,1.14.1,8.41,master
2itpdjlu3a2q7zmrpayhm5tu3tmf4uky,1.16.2,8.40,master
5s3yscg6ew44apb3ikzmmkmz4tzdq6cl,1.13.4,8.41,fortran
bwzd7keg3ndsqbh26bmmfnu6camh6lje,1.16.3,8.41,fortran
cgoidskwbykosdkeemsqst33ei5p7fsm,1.16.1,8.39,fortran
du4nenq43d6igxhgrxicbacwsyw7nmkp,1.16.1,8.44,fortran
edkp47gpyhfxbs5cykwo3sdhhrfzg2kv,1.16.2,8.44,fortran
fa62pmlwslzyh4nukr2rqvy6cio5c5m2,1.16.3,8.40,master
hcxhfkbf56g4z6vhhg6bt5i5sdj23oau,absent,8.41,4.0.2
j37kgo2tcnxi4wqioa3a2rutiptf5snb,1.15,8.44,master
ldl7pppklch6e4v2vt5avzxjimt32gyy,1.13.4,8.41,4.0.2-fortran
mmowxvqg6wn5a2ryzb5qwkujwjgcbqyy,1.16.3,8.43,master
qdw47u4bszdev5cth4v7n733xfdxdgr2,1.14.1,8.39,fortran
