,kokkos-kernels-version,cmake-version,kokkos-version
ghmyhh6clsykjwnwwdvyoen6reyu3fkl,1.0,20.0,1.0
gi6iwqk4m5kgmh5hqxynj4odszhoybag,2.0,35.0,1.0
gq374qu4x7xqizkhqc4de347hrhcaip4,3.0,54.0,4.0
gtxxsudxa56vgjjcjotdd7tt6q75efhm,3.0,48.0,8.0
gvcstwnggad26qmnrtu5wh7zwuwm2nno,1.0,26.0,0.0
gx6himxqsthwlzeh4gfl4unimjyasoz5,3.0,49.0,3.0
hj4imzxselshtfkpczznjvdm33lyiuoh,0.0,64.0,0.0
hkiepelp4a6w6x6xuyhssgnraoloargf,0.0,44.0,4.0
hrxankvwavy64gxlc6ty3pvpt3ejupcy,1.0,39.0,0.0
huppkynifmmcl2ieynnbsep4ie6xyqgv,0.0,62.0,6.0
hwjymcpudyljwv4ryrtcrjmjvoue7y5k,2.0,58.0,0.0
hx573oaaatjvtqlau5bh2ik5253bgkdf,2.0,35.0,4.0
hxgkzuptoyxj2qfml3l4vx4wo2d2evle,1.0,39.0,3.0
i25fltu7da6hw5uiu5cm4pctrgrjgfty,1.0,62.0,3.0
i5m3sr4d5g4g5ira5shiqh32v34gf6op,0.0,24.0,1.0
i6pysekva5srjjxaq2l6h3fjdwxstfo6,2.0,33.0,2.0
i6wwkyuu4qqeuafkwvkcay7vzx6htpmw,3.0,67.0,8.0
ia4a44mblmz45usxvtn2scvig76owsth,3.0,22.0,2.0
ihw7pdzztufibm5oouabefb5pvkagrll,2.0,77.0,2.0
ijggbh65a5oxymyzd4a23ixcqrg5j426,0.0,35.0,7.0
iwb4lhzutbwbtj2tdd7sxcwkbj25sbz5,3.0,49.0,6.0
jcz22nocp35aqu3ugrsqsa3mcuskbuzw,0.0,49.0,2.0
jejyrkauz5sctdoqtvuyk2lc57nuoenu,0.0,49.0,4.0
k26silbs2vshifpzwzgm2rhe5sjeuk2z,3.0,47.0,2.0
k65iolt2a7dsitjqae326rnlkyfux3ga,3.0,44.0,2.0
ka2wtvwuk37kexuwyccuqrlellg2ezzv,0.0,20.0,0.0
katzexmfiolrcrsuzwcdlytfrikkuodv,3.0,24.0,2.0
kcqm6hq45fkx3evx7lnemtwvfvjnysiw,1.0,75.0,0.0
kemhlauc4pdi5pgf2iayufvo4ghfkp2z,0.0,56.0,5.0
kgs2djtwxzop772mnl6hdy45yy3fisye,3.0,10.0,1.0
kh477cxp5dyjri657bik35a2oj6cze57,0.0,55.0,2.0
khchrxrlmmcox4nrkv65nsf6ssxbvb42,1.0,51.0,8.0
kj3aswamug7pxvkbmxbsyduo5wvp4vu7,3.0,54.0,0.0
kk6ouvmyrgknzbiqjzffea65nrtttqna,3.0,8.0,1.0
kqjcv3okpiehveeij3a62f46mlz37eyt,2.0,61.0,1.0
krbohpevcjqhoqxz2vdu5tajvvti4fk2,3.0,50.0,4.0
kvkd6imcrdlmo4knkey7pfua6nu3iyjx,2.0,72.0,1.0
kvlw3lmn52fkcj3bsnphap6dwbx3qgaj,0.0,18.0,3.0
l6jbnejsin7i6uj6v7nqinwsqjznbjqp,1.0,73.0,2.0
ldzhullprskezfg3qhrjqv4l3wwqe6yq,0.0,53.0,8.0
leikwt5v2dtfs7pxkrsqklian3bc5nhh,2.0,53.0,5.0
lhzpoaczmlfvlydd73l3zv5wmcygr5r5,4.0,43.0,7.0
llhyxzyx4mu6qagz3lknhovk7rn3rd7h,2.0,32.0,0.0
llimytaaslx5gnce7f7jdw7a3st7xq7z,3.0,48.0,2.0
llmboeq2vgnf27tt6hdiwxwmauqactof,1.0,75.0,3.0
lmwo37abgzs3gb2zspzenx4mdmyjhwch,1.0,24.0,1.0
lwxx26l2vrcncy7wr5c2agbb7sbjbyiv,3.0,1.0,1.0
lzhz6q4fgy4xiluv6l263ftnvyi5sfhy,1.0,8.0,4.0
m5nogs6pbeualr37igw4k6syjfscz7su,1.0,6.0,2.0
makchf4anwkxecs33kvo6jpmjvn7l3kd,1.0,55.0,1.0
mbteivq3kcgxvla26fjlkiqsnqmgo4vm,4.0,47.0,7.0
mif7oknqnti6n3xx5x3ugaluzmrt3waq,5.0,74.0,8.0
mkyahbqkbhzvpmvixlsdhjvjdn24k3h2,0.0,20.0,4.0
mmllj3skwr7hiwrxs6v6vz4oozzidpmd,0.0,52.0,7.0
moystcfqc25or5srzx6hea43lvkzq4o7,0.0,59.0,2.0
mq2pvlwn6dflx3dwddpamuhccqahlmk4,2.0,60.0,8.0
mqfc4febdplhhn27idbkcdwcsgmijwxi,0.0,42.0,7.0
mqm5zuoeuto24fraoa3v7ce73ef752m2,3.0,71.0,6.0
mtiyikbe4nqfz6b3uumgdvklq3eojc7l,2.0,69.0,4.0
myr6w7sbkxnmyhsh2ng43cjj4u3itdr3,2.0,47.0,6.0
n2xzjpyiytkklkoqmpvlxieceparxaa4,3.0,4.0,3.0
n6aa7tvwpez57nfybyejjxbi5lf6m57x,2.0,52.0,8.0
n6vg3a5vwf27dftvsmyddfmpiefaldna,3.0,66.0,5.0
ngkyc4ymova4vlpr22d3flxzualood7j,1.0,72.0,2.0
ngnp7jtneuw3bk5hbsxhtqmsphrndfe3,2.0,69.0,6.0
ngnuoxrjegq2cg6a7tastwgwqx4zwlj7,2.0,13.0,1.0
nix6qiavvk6mbvco7r2towqnhnoy5wh5,0.0,47.0,4.0
njknwam5fcoo5hczkouvask52aw2xa4r,0.0,51.0,1.0
nk4uwrw5stoxttf7ksna7m5gneimxvl7,2.0,32.0,2.0
np7hywl6znlrx3ahywuyc6jku6io7zbi,2.0,57.0,6.0
npuhthxknqhy4uyon5g7yhuahhahvjfx,3.0,46.0,7.0
npz7o7gfgdqwaa7gthutbb7avwaajjwq,3.0,58.0,6.0
nsufephjgnddoyop3ynxkaw5oe55zpb7,0.0,73.0,1.0
nwqnvc5h37oiehmpy6y7bqn7apaor7vf,1.0,14.0,0.0
o3dmoaaby4a5pvns6wexgh3qimiwyk7r,0.0,30.0,3.0
o56alpsplepcfzonn7ee3ps3uq3gmchu,2.0,67.0,0.0
o7uiqm7z4tucqb55loyqbtpdlgbg3bp5,2.0,65.0,2.0
oayziyxpckklsiq36cltshxzw7vwohyt,0.0,76.0,5.0
otu43gm4nkronowjgronkmtghvn3p347,1.0,49.0,1.0
oxywbolf4dp2mzillhxjqkcgvqt4ch65,3.0,62.0,8.0
ozrdxikjvxe2ltpjecax7xx4tsddkg3a,0.0,12.0,2.0
pa7gsh22rf4p446rehhmpcu4y2hinh6w,1.0,58.0,0.0
pbylgjxr5vnkbauhvsogxcjn3vn3hwhw,1.0,33.0,2.0
plflmmvwa6gejfsun4zqjqn6t27tb73w,1.0,38.0,4.0
plmap7m2jrtso6ckritlb7qppndqhjoi,2.0,63.0,4.0
pzssdrharnwo2uk7ijca2mkta5tk6vbv,1.0,69.0,6.0
qa2rafowqliye7bplbdlpiez4wfcgswl,3.0,67.0,0.0
qfhdv4hbxqhxze7g6lqpdli7nbeklhdu,3.0,52.0,4.0
qucyzjllru6b4wssfe5v52g6wykcqvz2,3.0,59.0,6.0
r36c2cq532cyfqhseihvomh3kfrgdugw,0.0,11.0,2.0
r6cyjktvorlihfaw5lrmzvwkqimsjrct,0.0,32.0,3.0
rdip5idm67ds6fiqvhq2nlw4k5jvgk2r,2.0,40.0,5.0
redli3jpoizk6bsrndgpbfhjw6dct6a6,0.0,54.0,5.0
relixnd7ipxwx4zs6tq7sug6xbvhwe7s,0.0,64.0,5.0
rkwkcgp4yy5og5cnxu22g33ixrqbqoly,0.0,35.0,8.0
rl3nyaxknkdf53ntcycxjgvfo3ib7pls,1.0,12.0,1.0
rnckjqrudnsnrfdh3kql2bnenhqjq44v,0.0,60.0,6.0
rndacfiqyjabaigoncxodb6gfsqfeff6,3.0,35.0,4.0
rodlr5rvgh45px3zg5nrv43eyv2pjjvq,2.0,68.0,5.0
rs7ig3aylf7fvdbbh6w3ua67qxurjqcg,3.0,74.0,4.0
rtnaozkltnrvv3ndyvvicrjrna4gcs7m,3.0,35.0,7.0
s4m2bdzxcsgovyq7mxkmydoujrdmlbkz,0.0,73.0,7.0
sdmbnfq5shwyq5g72mlpxtw3gqa6kfsa,5.0,73.0,8.0
slgphphbbeiqsb6mazm2simrjavnir6h,0.0,55.0,0.0
spcp376na2oa4azregtinalkijr5fy25,1.0,68.0,1.0
ssulpufalcewfkldjczp3kyvpflc2dal,4.0,36.0,7.0
t2gag2hfircqxciqceyyno4j6c3b3cen,0.0,65.0,2.0
t45rtaxrnsge73h725t3exiqb56z2ap7,0.0,35.0,5.0
tmvxzkbvlo5kv7mpwk3vanrcbhrczgv5,4.0,59.0,7.0
tnlpubi2afjjeu4bhzgn6sop7ilipt5d,3.0,34.0,1.0
toen6y7m5kulp6s33w3mstcqmsvfwaiq,2.0,63.0,8.0
