,variorum-version,hwloc-version,cmake-version
fcq36bwolsx3gz5lao4go76i4buvt2ws,4.0,23.0,17.0
fkwqadh325vamoan7xkow65v42spon6s,2.0,21.0,43.0
fl7g4qhwhdopbxycmgjrr6nw6pqz4njr,2.0,22.0,62.0
fp7lcks6gidbto72c45yisxgvs7gi66f,2.0,19.0,35.0
fth4dj4pafikcdithw6suvf2i7kzzp2x,0.0,14.0,76.0
fwit75ufwnxpj5q3guclddy5ia3mm2k6,4.0,24.0,20.0
fxiotkyhma7czj3n3bdbb3uc4fqoqvrq,4.0,21.0,78.0
g6vvn4qkjslr47nnx3yjtxbry72usclo,3.0,0.0,75.0
gg2bvjzqiai3jylnrrdpaspgnlhzlf5j,4.0,23.0,58.0
gmm5vbev7j44yswwzgw3phypt34pqkvx,3.0,22.0,70.0
gmxvx2gjgqkpnuz7sghwwo7pu6awceda,2.0,22.0,59.0
gpeyksd4ke4vfm4mw4uzalmbiwv4eiji,4.0,4.0,81.0
gtmmvw4ogwzutoh7med2r5hxxibsmpl7,4.0,24.0,68.0
gwudxmncaxyt7rhyd5pwcd53zep3ypti,4.0,14.0,78.0
h4xc23a4mjmtgdoarewoszsrdhounsl5,4.0,14.0,1.0
h5ics5nuvg3smtmo2ryz6zlzscav4wir,4.0,19.0,74.0
hbdnog6dqfhi3x2ahrulf7ciwod5glii,4.0,19.0,28.0
hbz6td2vkqyhttrdygcmgvcrydddh6q7,0.0,21.0,4.0
hihtomoakaogm2wqc6j632sxngkmrbph,0.0,19.0,81.0
hirvnx3bxe3vcnb4bldnaoxp3jdl3dan,4.0,20.0,11.0
hl2ph64qgmxw3vlfbivyghlnloq5wi5q,2.0,20.0,72.0
hvv5rkof6less3z3l5y57y672hj454nv,4.0,20.0,53.0
hwhgxvcge45lp3yg2evmaqzsymgcove2,3.0,21.0,57.0
i234uoq56bke4qrmxelwnd3b3b7x53vy,4.0,20.0,33.0
i2mk2mh3r5x4ktogl2c6hpr2lm2ha4k2,0.0,20.0,89.0
i7uadngoncqxuuksroz33wn7xntgaczr,3.0,19.0,67.0
i7vywjxv6c7xe6viqq6jh4tls7szmbhu,2.0,20.0,52.0
iatma63lqtmtpqxzdi6uan3xkeexprf4,3.0,14.0,74.0
iikywx27peygowkppl7pguetnjrx7boc,4.0,7.0,80.0
iocc3vnawinmp7ccsbn4ga2zdngscayi,0.0,7.0,80.0
ipahdyqlpzjvqitmmlrud7db32psxwtp,4.0,19.0,73.0
iqrrsvkwtkcv5nxrn7xcxifhqjzq4igf,4.0,13.0,74.0
iukssli5fqakolbjiaedjqjz7vbi4nuo,4.0,16.0,79.0
izqmaroil54erbzyo2u2wig7zlzrhj3c,4.0,21.0,87.0
izypl3mi6pir4k7gq4cagnddpfdxtntm,0.0,19.0,10.0
j5ddufvgm3y25kpp4cmvp3ihjt5n2ryo,0.0,24.0,44.0
jeyirwlzgaxlh3n7wn6cg2m3fngoxxal,4.0,21.0,64.0
ji3qeskronvoamxleyltozx6xlt5adub,4.0,24.0,14.0
jjhw5biawoaiv2pioi5dwozaquft4q66,4.0,24.0,74.0
jl4qlzt2szrqoaeyqzzxdvyxtglcv5tl,0.0,3.0,1.0
ju3jy47ucwvkhe5ul4uiyttekdn2qhvg,0.0,11.0,1.0
jxbspenqlyrdh6jgfmfnz2cyngwcq3wx,0.0,19.0,46.0
jxnelqcnectdf5yc42gcsuek44t7aze6,4.0,21.0,49.0
kh2nezk2xayiklxpgfwgthqlctlbe7lc,4.0,23.0,21.0
klgljl7rb7xf4n7i3swto6wqkraiozzw,3.0,23.0,63.0
km4bcvoirqzmiocoeawyuhoq3srv4blx,2.0,23.0,18.0
kmuuub6b4iws2saqo2hnkm56m2vge5aq,4.0,22.0,79.0
kn3aqj2xcttrq3lztxxf3dgkodffiowa,2.0,24.0,9.0
kvvbalzoccubqcpeqrbiyoqylx5gkpri,3.0,21.0,10.0
kzpqeeygma2fatqum4jpiu6kah3mbddw,3.0,24.0,33.0
l25hfuh6ksr3frxjnxsdlsqhmpuzqzsp,0.0,4.0,58.0
l2z5zg6ewfcr4blfcdqy36kxgw7wlpgl,4.0,22.0,88.0
lbgxrtv7d7jlujilril4cddp5czctwed,2.0,11.0,78.0
levz3fdy7hixlc4q4xvcbo7sd7mth62u,4.0,4.0,6.0
lfgmqofk325i3kcofq7g3d2a7eqz5ry2,3.0,22.0,44.0
lizruwdzrhwgkhu5e6mvajwqaxiczweg,4.0,23.0,38.0
lxqu2ca7rqsejgwhrml4yvxn54iokovf,3.0,23.0,38.0
m2bgzx4o53joxqtctm2qttcmp5vz273d,3.0,12.0,80.0
m6tjzpoelurdeh3wug3efa4usb5i3wbq,0.0,24.0,12.0
m6vdc6gxglb3vdqbf5klc4wgdpemcdcs,3.0,19.0,86.0
mc6fw6ap5cvmauxacoo3ky2fzrcp5ba3,0.0,21.0,66.0
mcf72wj5nf5lgiwgmn242ow5yjr6gswr,4.0,24.0,34.0
mi2zsktxcr4n43rbo6btjv7hfp5jew73,4.0,23.0,7.0
mj4k3wbo2gzuhlm75rbihqyvafx6e6p3,4.0,23.0,30.0
mlg7uz7msqc2ehuj3ywncakew5d2pxzg,3.0,20.0,22.0
mtmrxg2hi5ghd7ir4hpn54igr4dini47,3.0,24.0,79.0
mvi4wr6ncnb7loip4ahym5mgwweq653k,3.0,21.0,85.0
mww3tzmrw5vzwceeo5snnsvrrg3ajxhc,2.0,23.0,86.0
mxlfc33u3mav554fq2fcboxbqkre6fgw,4.0,2.0,79.0
myrjomwawrhzy4d2ot7guqv2jjadhdzm,4.0,12.0,74.0
mzi37siek24amzow3wjqtvbynuqkkim5,4.0,22.0,71.0
n24zlwqxs2kzyccukj2ss5acmpkkd4mp,4.0,24.0,70.0
n724ourkxv6dihrthi23ylb3si6nlcvb,2.0,24.0,62.0
n7pklcpcqadseldekgltnpzzvwlhkzjz,4.0,18.0,78.0
nbsmkxjz222b2lw34nsvzluy5mwswxc5,0.0,22.0,85.0
nisgwnl2xrifzkf3t7uo4icdahuyharq,0.0,19.0,68.0
nodi4n2hqov3nzgjrshms7wy5gayfslq,3.0,20.0,55.0
nrtkap45ln3uwgglussmxz7kdhzflrrv,4.0,4.0,48.0
nvmqybw4cuthdnf64u5dlse3rnc4mp5x,2.0,20.0,48.0
nwr56czbkrgv3giylar25mqazn2ckzc4,0.0,22.0,33.0
nx3jyoltvqzbco4s4monjb73ntapriba,2.0,21.0,22.0
nyk4cqfhqjugmc22ofo5h6p7dnt7zmai,4.0,19.0,72.0
nzuk7rgtttb54ogwfhlwjdix3f6pdg4l,3.0,4.0,69.0
o55fk23p5aevimwlv5jixejxao66ojst,2.0,22.0,27.0
o6owbnurs4xmpd4nvesfppipjezmmrmt,4.0,24.0,63.0
ofqwekupyl2y57iabd7qrqzzc2jocpy7,0.0,15.0,78.0
olo2htz2mxi3ypmhojmsvyr427tva5bn,0.0,20.0,68.0
orvdnvbyhgrhjzmckwcntdaepsvabong,4.0,19.0,80.0
owqmrgyarpcg2dn6lnit3p6oblxq6r3d,0.0,5.0,79.0
oxehxommw5xv6ruzemel5ialc6puuy6v,4.0,24.0,75.0
oy723aqqscmwll6z2wgdewk4y7w7bu6l,4.0,18.0,75.0
p3rsvzvijkau3nmlu7hblgou42jfzfpg,2.0,23.0,24.0
p5rlakyoe3tw76jehrhsj2b7jzmzrar3,4.0,21.0,1.0
papdgr5lr3pkhiagntu7ldboijwzyqvz,4.0,4.0,73.0
pcwktnh6rugrhzcdjuwct7rarjiqv4gz,0.0,10.0,75.0
pigziqbdebgdjvmi5yui4fznddyf6xux,4.0,22.0,7.0
pildco2qj5vge2vcxohb45fe4gx6wywm,0.0,21.0,9.0
pkozj5aax657ep7zflqmg662zu3a2gy4,4.0,22.0,37.0
pkwo75d7cb34qneqnkrezpr3fz7eieto,2.0,19.0,1.0
ploatqaesifxhj4xasd7m5drrgtey5mn,4.0,21.0,76.0
ployfte74la4g5mmkbbfjce6gzzccklu,3.0,4.0,65.0
pmonhjdgd5saqfz3wlvm5wqygmhrk54z,2.0,22.0,36.0
pvhqyhzuiharmaswfkdavf4eofzqnn2t,4.0,21.0,9.0
pvu3z5gsrkj7f4qkqidplzvg3lryszdc,4.0,4.0,23.0
pwmiyofnttlvuxigil5hi2z4qilqz2rp,4.0,15.0,2.0
qfhrjgjp74qdupmtjacontkuqbz6pezv,0.0,23.0,67.0
qibfkslgw4nujqqawbeenazddc2zeakb,3.0,19.0,31.0
qjjo3y2uzom6ntqhbtklg7275lroftmr,4.0,21.0,86.0
qjolgq2jmjszthvgqgutnaz4f4v4dqgj,4.0,20.0,42.0
qlyk3ndc3w4iskeozpkvzdjkefrh2mqn,4.0,24.0,9.0
qma4jrh4kq42dft6iycvtxbsf37vjhnz,4.0,24.0,60.0
qzjcgqd5fbtyzfwfjkuavwhorjyihivk,0.0,23.0,62.0
r4tfu25w5tdnse5zkxe3rpo3kdesutdc,4.0,22.0,3.0
regt352hh67ezetsyy2exq43e3fxch3t,0.0,24.0,23.0
rgpbdobuc6acc2ju7qjdzezye6pkumjj,2.0,4.0,84.0
rgztvbuu2vmt4hbjgj7jhztopph6nmnj,4.0,21.0,43.0
rk2s36fhggdum2yp5sh2pg7pv32qvohg,2.0,22.0,33.0
rocoener4ffc6h6fcl2f5fawpa343hnn,4.0,4.0,36.0
rvsedrjvs6ywtxholgmpfjz763xlzawz,4.0,24.0,29.0
rw7ne3nuobc5uneeo6qi6rubdywgdy4m,2.0,24.0,26.0
s535yn5pwlu3sohzpd7g7xlzwamru23n,2.0,20.0,14.0
s6km3qkoezd5udpdse2covgiskneqlyx,4.0,23.0,52.0
s75qbg5g5ct6dzzmtrgnjgaoubal4fq2,0.0,22.0,89.0
saz5wdmumojtmq2pnvzzuq7d5epnbmw7,4.0,21.0,35.0
se734edrqfvxm5fof4cqluga4fdct5mo,2.0,19.0,5.0
sfdbaeheienovdebmp3fsfmatfm5oodj,2.0,23.0,54.0
sg5l36lzgkdvyfyj6m5b5tmllryqxojc,3.0,20.0,20.0
sw7xippnt2too3oybrchnenjajxjns6b,0.0,21.0,57.0
sxzr5hm6bkddbpd2ckjpqukujm326ona,4.0,21.0,21.0
ta7qo7xwwzmnlvtxkg6olm4w2t26qnl2,0.0,19.0,24.0
tezss4lo355dp4i5kdgtaovw3nlk2wls,2.0,22.0,61.0
thn7fnd3665d27yatjroopul4e65md4q,2.0,24.0,85.0
tkah52ngcvacmmcx2sgwdhjvwoxh7ac2,0.0,8.0,79.0
trookjpb3jksmb7ivp33ekd27qruzcrg,4.0,21.0,60.0
tuatqtrpmaw666ray6qanxopyog6imfk,4.0,4.0,15.0
tx7ibcdbuvy5rejvus42n2bb6kacbarv,4.0,20.0,57.0
txkqdy2g6m5ib2a3jvdav26lent7ff3f,3.0,5.0,1.0
u23q4p7dr7lba75bzp6bfukjvc4fpdus,0.0,19.0,28.0
u5gg2nl2ndznccwywzdx5mbmneuk35dt,3.0,4.0,35.0
uecpx73gerg6g7qkn3on6woexspj4ipm,2.0,23.0,82.0
uegn2oin4ql6uq26tdfabhafnsz46mys,4.0,16.0,1.0
ug3sokyugd5g5wt2kyqo46lrcq3tf4r4,4.0,23.0,53.0
unaxox5vcssxzbq3a77awn75ccfutnrl,4.0,0.0,78.0
uwie3usfnt3ukdsewgd52vgrasb4isqk,2.0,24.0,13.0
uwubdce3ymgi22rdtppghqa3nrq2obiq,0.0,12.0,76.0
v2i35swqncn7zsy7ay5gbfc7u5pnbm5p,4.0,21.0,12.0
v2uirz3unvwe42ivgt7s7m2cv6l7sj4d,2.0,22.0,22.0
v7w4ucigtlrgf7hpcchltra732rivydu,4.0,23.0,9.0
vjdjtnaagkkydxtqgwahfi24xlvok677,4.0,23.0,19.0
vse5ojiqbdftxfih4eb2ukynnjgn7era,4.0,8.0,74.0
vv7lffsjkk5sgrgb3nnqkjw3zseossto,3.0,23.0,65.0
vvrl3vtvu3zrwb4udwkh7r5gu3lpbpye,2.0,17.0,77.0
vz7j6wpe5v4f3s7bqcnjup2qlqnm4kwv,0.0,7.0,74.0
wevg3hvniwkaxwhqdy6w64jr6cbtda6s,4.0,1.0,79.0
wjdmnjlxnvsnp32dmn2u55duqilpr3ih,3.0,4.0,9.0
wlo33rsvwe5jmoo7jfcz3awrsxblwrs7,4.0,20.0,54.0
wmhs7ekynbmbnuvt3ev3f2ng42fslyar,2.0,21.0,9.0
wn4nxquk2dqvf6emydkux6z57ehiqqyx,0.0,17.0,78.0
wu6rprym7vfz7pes7gnli5idl3o5me25,0.0,20.0,20.0
x2xna57l2wd5lbe3veh27v3ofu7llyuj,4.0,19.0,82.0
x7k5rpscur2c3ph5wxmqdsoqvm44ylcc,4.0,22.0,40.0
xccxxspe6yn3hzyb3cdpaosgnw3vrvin,3.0,4.0,47.0
xed2p2fesbbwsxiz6ou4fes5dywsotrg,0.0,4.0,9.0
xgwpwa532422apscefzh43ub7vfyimoy,3.0,4.0,52.0
xk3clgy67rmyinrgz5dc7ziz5x63vrwu,0.0,22.0,57.0
xqjxzspo7c22s73bv5v3dtp7wxrr47fw,0.0,20.0,35.0
xrzxuuqklhioy4nuhd7zplmw4iaa237b,3.0,15.0,80.0
xuifbhyxsjme6padna5kvkvr5wzamhz2,4.0,21.0,34.0
xvmz64fcmi7tvkbr5gsfgyxav7pttftr,2.0,22.0,25.0
xycsboe7wyonnq6zyvcubdw5xgel6pvx,4.0,21.0,71.0
xyieqq2svwehapigalx3yrxrujc7exeu,3.0,6.0,80.0
y24h4pqherqyf4kobisqx7ccgf2wvjmo,4.0,21.0,39.0
y3f7dsvnkj6ykvvfurytfpxl3imrgct5,0.0,21.0,67.0
y6wd7lt6zhwjpxdgfwvbmc2mmp2bmiqo,2.0,23.0,27.0
yacw2l6rz5vfzepf7skokp7qysardnhn,3.0,7.0,1.0
yb2mufja637bsfigal6o7ww6hftg5cxi,4.0,19.0,47.0
yc6u2ldfgu5idvtzmkuhm6jq2ay4aszn,2.0,2.0,1.0
ydemp2uqvbeesbczy4iqe3krv5g26u6v,4.0,22.0,13.0
ye2v6zldoxjchkxgxmglovtvmcgpkaqe,0.0,17.0,81.0
yjf62b7y47lqnhmnubz4qniopqyipssp,2.0,24.0,46.0
ylcsi7xo6wcfzmmwa7u25hwbotvubi7v,0.0,14.0,2.0
ymukni32edjpw3hezbdz3s7bux5cogni,3.0,23.0,75.0
yqrxrbhn3rfjentgxt4pxsgev56u2lva,4.0,4.0,62.0
yt7523arjfrw7um2h6v3kblrldyh6zy2,2.0,22.0,16.0
ytmkxxgh7vhsshvwowh7y6zwktebfgna,0.0,19.0,7.0
ywy3sb45nialf4omkhkwa7v7eqzx5gic,4.0,24.0,64.0
yycamtludxp27kwo2422qjrgilpfk45k,0.0,21.0,80.0
yzhksin2x24ipddjnqxmqzbsfxyq2vig,2.0,24.0,69.0
yzq7vfk6jmtmyifmh4xeqkicxm4udegv,3.0,24.0,11.0
z7rlk2u6eqeitpj27ck2j6vi3lgeewdr,4.0,22.0,78.0
z7wt4serul7iezmefjpi3valitbkkkpb,2.0,1.0,79.0
zbvvpumuwpewytqwujg55yvr27idoqqi,4.0,21.0,32.0
zhpo6pmubko4odc5ls37akv7mm5tsge6,4.0,20.0,78.0
zoxwcx2hr7gm3torioekairnxnz6ss6s,0.0,24.0,54.0
zrukwfgczlcw4b5jtwkmoeoecfmdvqy4,2.0,21.0,55.0
zxcmphlwzu3zjmshcnefvsrnhus44m3x,4.0,23.0,73.0
23oop2lkq3i7xz6dzht6bvjk3bh2xltf,1.0,19.0,40.0
2e2j4srxbktggu3jvmngbbnwiygdmj3x,2.0,22.0,73.0
2ntjdmmqwlhz7aguybaxii7oifjuf2ym,1.0,4.0,1.0
2ohlwrgr6ziqqzlcvcjyof7b4d6ptgup,1.0,13.0,79.0
45ytx227vvlpj3uze3a3443n62mhasmo,3.0,21.0,82.0
46bsbb37er5jdobp3aqabgoi3q7cfsqy,4.0,3.0,0.0
4kkydptalivzxr4oqc262siv5l3vslmb,1.0,23.0,50.0
52b3imblkbsozglyjejrdhrbqsdmpftc,1.0,4.0,71.0
55hrrf2nzhni5vdvznnxbffeounhfz2t,4.0,24.0,26.0
562ow3pn42hhadpd4gp62e6w2souzzqz,1.0,9.0,77.0
5qnh2muklirtebungs76wuokm63i4csg,1.0,5.0,76.0
6asg4i66vwqs3ilx46afsuiofvrk2uwi,1.0,22.0,85.0
7hlpwpqfgy5fp7xwfmn7evgi3qyqyp25,1.0,22.0,46.0
7il4kvfjqrl2f4dkqtb4vuqcj7xabwd6,1.0,24.0,35.0
7nupq4ezk6eha7oneafl2nx7jb3g777h,1.0,22.0,81.0
abnlbgmkcazjbrburbtp5sveycdxjobo,1.0,20.0,38.0
avwckqgwrpgpbrvxc643s4ney6wkzndu,1.0,19.0,6.0
bztrji33b2byt5ud7v4zcvdljqzqckqw,1.0,23.0,47.0
c7dlxxhfatnmk4n2no4l6tbq3oasnbcv,1.0,4.0,30.0
c7leovkie45xsowvhiikjs6y3yam5vce,1.0,4.0,31.0
cdtkpppvzeig62k3yg7tczakjwzgg6pq,4.0,1.0,76.0
e7rel4ivnov7oxaz4aukfjanzqpvm4j5,1.0,24.0,77.0
etoo2exjtoy4qm2wk2bckfo54okbnz66,1.0,9.0,76.0
f3uszxa5y732uz47hvmvfm67pfyvzxzr,1.0,21.0,47.0
flxodajnj4ixvcpui2rrbjsh2ej5ifkn,1.0,22.0,57.0
fohjhg7oldywnpy5dkcrbfwsr3ja25br,1.0,21.0,80.0
fpuprjrpko4hliknomqrio4ygrw6un4o,1.0,21.0,62.0
fsdvzulz2cwphfpjxpuiwsubycb77lq7,1.0,6.0,76.0
hftqvem6z4gmxs75pcujgamxtyjwbkt6,1.0,1.0,1.0
hj6pr7x5bizyjsuexsdqizuhlxr77igl,1.0,22.0,44.0
hq4wqbjjseeguoykqfpzwq6kovmlbjiv,1.0,23.0,64.0
hxutjqftbnpjiquxqqheksetspphoip2,1.0,19.0,36.0
icpfxlfdgzzzbafsrj6wmbh66dsevsrw,2.0,1.0,0.0
jcfl7hkbl7akz7nyre46xpvrswnb3a47,1.0,22.0,61.0
jofxbnkln3i3espfcbaj7f6iv63x7a6t,1.0,23.0,77.0
jzfxrwcwffxktcq6fva3tequho7iqs4c,1.0,20.0,41.0
lkck2n62hrpdxdfqdyvujiekdqni2cza,2.0,18.0,0.0
lmv2bbvlpfx4tzqfkprwuksavg3y3dxp,3.0,6.0,77.0
morj6h2vn4uvydmfmdexu6pof3fox564,1.0,21.0,61.0
ndhblzssk2lcx4uykvklvbm5hnbfotje,1.0,21.0,48.0
njtah3m7lfmllebit6mxjycrj4p37d3z,1.0,20.0,40.0
no2ldo6dcpro64effaed2ylxiq6q55al,1.0,0.0,2.0
ntdqj3gkvffovxuyeltht3p55ronzxvo,1.0,1.0,78.0
o5h45lrrmo5t265l2tyl6pf6zk6waxfv,1.0,22.0,33.0
o7cfupvmgceki5d6uwexdyefdu5ralva,1.0,21.0,75.0
od3nticaza7zkvyhwz3hiazbh2xue5lq,1.0,20.0,46.0
opf2aehgdkpp5dlot7lhkwklywoabc24,1.0,21.0,27.0
pth5l7luopzl2rvlcjdqg7yvplaynjji,4.0,11.0,0.0
qvgtipqugex7vbxj5kef6oj3zptxlyob,1.0,4.0,13.0
qvzdy2xu42cv2ju7vj46t6d6ikvd3wzp,1.0,18.0,79.0
rtuisupyucioo3z2ah6b2rzkqiva6h6a,1.0,24.0,71.0
rxtb4mythb274l5fu4oo3g35nbp2jybk,1.0,1.0,75.0
sej3uvxptx7con3kr3665tucbkguwkyo,1.0,19.0,71.0
siwjgioidij6ndii6eh7f2mirpsu4nuw,4.0,6.0,0.0
sjni7iiw6fv22mm7pxnw4tncdxyi3qlf,1.0,19.0,8.0
sn7rsyf2ltibwj6nqkxtwsyaqzup2icm,1.0,24.0,10.0
sqxpau3ehpqzieno2hvejhu67izqyquo,1.0,22.0,39.0
tilb56nazsbi7ojtbdrlm2fgybldba2r,0.0,15.0,0.0
ucpsmputwaommv5os2ustcue2vw6d6el,1.0,19.0,86.0
utpvx6cqpcexjaq3yxirgo7o75xqf4oh,1.0,20.0,30.0
vaelr2e7zxq224y655ylr25tdv7irrhs,4.0,13.0,0.0
w46dld57wm2tvfgb25yi5mcmerewxnm5,3.0,7.0,0.0
w6vjzuxopybjknqtj6vu2h6thizkkvfy,1.0,20.0,15.0
whu7xm5fz2sn2pbll4q4usxniexoxtbb,1.0,21.0,26.0
