,trilinos-version,openmpi-version,libfabric-version,openblas-version,hwloc-version,cmake-version,mpich-version
7745i6pragunxikjmmojvzmhmyeopcjw,6.0,2.0,2.0,6.0,9.0,67.0,0.0
7aky4sgxbz4z2wogpkrplntz6dp7duhz,16.0,2.0,2.0,18.0,3.0,64.0,4.0
7ew37mz4fl47alw6sm43ks6opzqmx22j,14.0,2.0,0.0,15.0,19.0,61.0,11.0
7lf3bvijat63yn34zye3ud6jxqrdynwr,4.0,2.0,2.0,9.0,6.0,3.0,4.0
7motc2boy2apxrapjvspm7a7hqeomhip,7.0,2.0,2.0,14.0,3.0,36.0,5.0
7u7ekaqzokdiac5benqe6cpynp3rkgsj,15.0,2.0,2.0,16.0,2.0,25.0,4.0
7ubq7lrbmhlwrhpxl4ysos6okom3q5eb,13.0,0.0,2.0,6.0,1.0,75.0,14.0
7ui4gwkopc7sztl44jkycin3ylgoi6kr,5.0,2.0,0.0,3.0,22.0,62.0,12.0
7ylmgqy2kgpvqmigw3olswbgkkurhph3,6.0,1.0,2.0,16.0,22.0,88.0,14.0
a2nnul6off7wfihkjgwneuyvcbbtrhzm,15.0,2.0,0.0,7.0,3.0,32.0,11.0
aae4dnqwnv72vfemdc5voqrxo3iierwa,15.0,2.0,1.0,17.0,23.0,6.0,7.0
apa6tkcwencwx5ldmgd2v36dhwjeqbzu,15.0,2.0,2.0,17.0,22.0,18.0,3.0
azppgeq3mezb3i6jpypjnytdgt2ud64e,11.0,2.0,2.0,10.0,2.0,36.0,1.0
b76v6e3hwniqb7pdwoiwhba3qfairr2z,11.0,2.0,0.0,8.0,23.0,72.0,15.0
bhfbwubk3rcgtdgtvuarksxwmqvoralu,10.0,2.0,2.0,10.0,0.0,77.0,1.0
bqpdrgj5pf7dpxam4ccxpfv5rhm6bw6i,12.0,2.0,1.0,3.0,13.0,3.0,7.0
bqurezgtg74g3xpsmkzcodgmfxnzbcfz,13.0,2.0,0.0,21.0,16.0,35.0,8.0
bx2yoxhb3jlw2y2evulnfkjguemrhjiz,16.0,2.0,0.0,19.0,15.0,15.0,13.0
c5blc35xpb6wpvprot2uv7iswyuiuazz,14.0,2.0,0.0,20.0,25.0,69.0,11.0
ccyme4rp6rsxxadk2oim7y2zuyytcswk,14.0,2.0,0.0,20.0,23.0,71.0,10.0
ckon6qyqrpadzyrse2ta7jrly2wev447,12.0,2.0,0.0,10.0,16.0,56.0,12.0
d2b3pestba5atc2lwjv7kvdcpazpqgxr,14.0,2.0,0.0,4.0,15.0,54.0,10.0
d6p5eqwtpbvbbqpnndr72sqiu5oqpp4c,4.0,2.0,0.0,14.0,17.0,67.0,9.0
dc6tzb2jysnhojqkib7oxhf7z7bpqtg3,10.0,1.0,2.0,17.0,19.0,20.0,14.0
dnerypifs5z7x7k34vndij7opdatjljk,13.0,2.0,0.0,21.0,23.0,88.0,9.0
dsgdu4rw3miyc7d3wic33rsfvkhex77e,16.0,2.0,0.0,10.0,9.0,48.0,10.0
dvsnda7nsx6lltekg52r637ilvffq6ji,16.0,2.0,0.0,13.0,19.0,64.0,10.0
eb4kxq3flu2fsum56gjws3z3oamwrlzl,4.0,2.0,0.0,21.0,13.0,7.0,15.0
f5tt5oqehyed2tcrm5qdn2fkwr5pp33q,4.0,2.0,0.0,6.0,25.0,14.0,9.0
f6fxfwy4xng3jb6jo2ihhrolqepxbohm,15.0,2.0,2.0,11.0,0.0,43.0,0.0
fibs2smlkl76jgtj7wniirzoivnfrmb6,6.0,1.0,2.0,16.0,21.0,1.0,14.0
fra57ia6ade6n7pny2b737u2lr63broc,16.0,2.0,1.0,21.0,7.0,24.0,7.0
ftfcg7fzjoomg73olfv2rd5h72ktnbfz,16.0,2.0,1.0,20.0,12.0,57.0,7.0
ftgci6kmerkfcbpnoboebfdb2cmqqsda,16.0,2.0,0.0,14.0,9.0,20.0,9.0
fzanr3ywqayhuedwyol64pbpf5k6olsx,12.0,2.0,0.0,15.0,17.0,15.0,8.0
h6hh7cbrgasfsty4xwp4gxgx2sktmv7z,18.0,0.0,2.0,19.0,4.0,47.0,14.0
hif6tc5oefvi4tpeokou6ynrvncmljbf,6.0,1.0,2.0,7.0,18.0,24.0,14.0
ht53aisiwurn2rkm4bfkk22pmale7cmr,11.0,2.0,0.0,13.0,18.0,83.0,15.0
igheahry5kixnstoxulfdo7ytfif3jyo,11.0,2.0,0.0,19.0,15.0,4.0,13.0
ika7bydod3obtddevai6462e34vmnhku,5.0,0.0,2.0,13.0,2.0,21.0,14.0
ilqw6ydjpwjgatah3nd5udsj6abasrc3,10.0,2.0,2.0,12.0,1.0,91.0,1.0
inytu2ojslbm6lrpvyq7f3r4wwz3y5ei,6.0,2.0,0.0,10.0,15.0,87.0,12.0
iugqha256vl3fgndhy3eyuqh5brd6f5j,12.0,2.0,2.0,2.0,0.0,47.0,2.0
ixd7i2vqjag4ub5qfxbqqt7hv3gom5qr,17.0,2.0,0.0,4.0,2.0,47.0,11.0
ixwtbwxmgu6nfwsdircu56fsf3w3rk3k,7.0,2.0,0.0,20.0,25.0,73.0,9.0
j7rdrn36a2lcxdmyqjtq75jil3tbrw5e,16.0,0.0,2.0,9.0,6.0,15.0,14.0
jbicy7ncodimbrf55kkr7sospw7addhx,13.0,2.0,0.0,1.0,15.0,55.0,11.0
jf2aqcdowmsddx6bweegbmpbuhaeedv2,4.0,0.0,2.0,4.0,3.0,87.0,14.0
jnrtu75nxuppms3hivqnyficj4h2obbg,11.0,1.0,2.0,8.0,21.0,78.0,14.0
jqirja6bivuuj7ccg6znzkihso7lv7z2,14.0,2.0,0.0,6.0,15.0,48.0,13.0
jujmgbc6fafogbw77b752qzrz4czgwat,11.0,0.0,2.0,7.0,2.0,89.0,14.0
k2bjd7hx26fna4s45njd3fpg47kumi2q,16.0,2.0,2.0,12.0,8.0,55.0,1.0
kg5g3w45daxef4gb3mzuv6bnxbo4g6cx,4.0,2.0,2.0,4.0,11.0,24.0,4.0
kmwh7avdnn7jvfq47ipjwitncs3rwfk3,17.0,2.0,0.0,9.0,4.0,53.0,12.0
kth24hlgzynhchkcfjuzi2dc3qnw2a3v,15.0,2.0,0.0,6.0,5.0,71.0,9.0
kxbi5jzahre5sty462l5jowlwh52otd6,11.0,2.0,0.0,19.0,23.0,87.0,13.0
l6rqminsepcd67vmhpdojy7paq3fbszb,16.0,2.0,0.0,1.0,19.0,27.0,8.0
lblvq2snb75yke6563hbhzolqo4lhmyd,15.0,2.0,0.0,21.0,13.0,74.0,9.0
liphojvtfwl6wjy4opjuu4yr4iabo2l3,16.0,2.0,2.0,20.0,17.0,65.0,2.0
lk4stfqb52ouktzqgrit2q455qaxm2pu,5.0,1.0,2.0,9.0,21.0,76.0,14.0
llqkhbezywvo5lxkvqrikybaajr64gad,16.0,1.0,2.0,14.0,23.0,74.0,14.0
loew4w5tvubhb5nz2qu673m7c7sgycex,12.0,2.0,0.0,15.0,18.0,86.0,12.0
ltnxw35phb6uv3ofpjxcrywj72dt4dj7,15.0,2.0,0.0,17.0,10.0,15.0,12.0
lxj6thlgauu4ywstmlmldwzrb5rffufm,18.0,2.0,0.0,2.0,7.0,46.0,12.0
lyoxixwh5fixujzb6dvnkabknmisq2v4,17.0,2.0,2.0,8.0,9.0,66.0,0.0
ma4kz4nzfq4nc3b3c27fhyps4uwthovd,16.0,2.0,0.0,19.0,18.0,72.0,12.0
mda5lo5yp2javwmgnlji3eekoy272vya,18.0,2.0,2.0,11.0,22.0,43.0,0.0
mhdqdbc56qpaf7jam3xektgexcyvmglo,13.0,2.0,0.0,14.0,16.0,83.0,10.0
mkti5jty2jgo4g3jzcrtcnvetx452bqe,16.0,2.0,2.0,20.0,8.0,60.0,3.0
mlnwfrp3qp7ekglwxvnb2b4nyjbvdvm3,16.0,2.0,2.0,12.0,23.0,30.0,2.0
mnzf3xrrgecewdlr4sztfnacqrpyjjxf,14.0,2.0,2.0,6.0,5.0,33.0,1.0
mpbebssoynt2d5sog4eyr77xhk2m5iam,10.0,2.0,2.0,4.0,6.0,59.0,1.0
mt4ki5cbymikx4tfllunsp5bxntf23b3,6.0,2.0,0.0,20.0,21.0,47.0,9.0
n5xxzyxybzf3ri5uzjlt536xjwfr7xfk,7.0,2.0,0.0,21.0,21.0,67.0,10.0
nbs7okh2so7siejoramrxmzuqhsf54d2,15.0,2.0,0.0,1.0,15.0,59.0,13.0
nfhmmb74duz7ymx73vh2otplfpoa4rrz,6.0,2.0,0.0,9.0,23.0,67.0,9.0
nml2d6l4u22rzxednfu5pnr4m4qnvqt5,16.0,2.0,2.0,2.0,5.0,10.0,2.0
nq6ncy7moyljsmw6wzmsjftt577uum4s,13.0,0.0,2.0,19.0,2.0,3.0,14.0
o53wn4qhrsutr6wjac7zbpjzi5rtke5m,16.0,2.0,2.0,17.0,12.0,63.0,2.0
o5bau7mvng3t5tpm5ztzvibzykmbepdv,11.0,2.0,2.0,20.0,5.0,4.0,2.0
o644ptjsoqbll4b5t7woepk4y3u3cogk,15.0,2.0,0.0,20.0,22.0,18.0,9.0
ohff7vxnpm3kygy4rp426qfiemujboq3,17.0,2.0,0.0,16.0,18.0,45.0,13.0
ohx5dsvv3qpbq5q753uncuc3hl7uyrzg,5.0,2.0,2.0,2.0,5.0,5.0,4.0
okitcxpqxgqny2b6ei37e4nchufugmq4,16.0,2.0,2.0,3.0,1.0,30.0,4.0
oqfjlzje4n6h5xcqkstla2iu3zu3rjix,16.0,2.0,0.0,8.0,19.0,3.0,15.0
oqoqqpdl22atrogfqymepxix5puirjbj,16.0,2.0,2.0,18.0,9.0,11.0,1.0
ouljhwirpulcq7ionijbfpnek4lpjdfb,14.0,2.0,0.0,14.0,23.0,43.0,12.0
ovsnuk7z4lzyxrdn7qtk2zlaypuhsqte,6.0,2.0,0.0,6.0,17.0,22.0,15.0
ppwtdyi3jvhdgpuq6qtb6hpdgnqlitmp,16.0,2.0,2.0,9.0,17.0,38.0,0.0
q3biqk7d7x5k32oy4jwojqh27xpdubwv,5.0,2.0,0.0,6.0,19.0,4.0,12.0
qd6xajbpof32vsls5xvzitrbozx3mtcz,6.0,2.0,0.0,5.0,25.0,29.0,15.0
qjr3jgv6fe4t2qdtmtallwpq36543hiv,15.0,2.0,2.0,3.0,16.0,3.0,5.0
qtmjyzklp7dusgcbqeeybcengni2bsli,10.0,2.0,0.0,0.0,21.0,77.0,10.0
qv36h2sumdq6mwjyu2ss76qmchjaxvap,14.0,2.0,2.0,8.0,12.0,74.0,5.0
qvyhwvgtg63fzinuwvsep5wbm3ytdjwh,13.0,2.0,2.0,8.0,10.0,7.0,2.0
r2zehy3iamgrxpuqssg5eretuomapwp6,16.0,2.0,0.0,18.0,21.0,48.0,9.0
r4z4gzd57m6fqrut22eaiwldk7lcep3t,15.0,0.0,2.0,4.0,4.0,56.0,14.0
r7zecmwfhqlomjjnjyfii6mnzkynymh2,16.0,2.0,2.0,1.0,12.0,27.0,4.0
rsr722xywpjw6nbqh563gvpkupvtwdtd,15.0,2.0,1.0,10.0,13.0,10.0,7.0
rvugj2z4crbfd2zpfbdp2pp2az5722tt,18.0,2.0,2.0,3.0,15.0,57.0,2.0
rynfc42o6vogbdjm7pj3eyherhy5dsca,7.0,2.0,0.0,20.0,16.0,7.0,11.0
s5ldmqkhbyp3c3hhrfc7kgyurq3ws7ml,16.0,0.0,2.0,17.0,4.0,30.0,14.0
sgprjlbqwenmca7kuyicowb5vb2m4ywb,4.0,2.0,0.0,14.0,16.0,12.0,12.0
skrcxukodfa3exazfzstgxd3dyat4war,15.0,2.0,2.0,9.0,8.0,8.0,2.0
srjstpdfmujavoiswt7bvb7py4oi3bog,15.0,2.0,0.0,18.0,0.0,37.0,11.0
srquafsku4cpbmbctnxbbrlr6rupduy2,7.0,2.0,0.0,19.0,15.0,40.0,13.0
sxlfjliicexf5swop4lqou4q56kgmtfk,18.0,2.0,2.0,18.0,23.0,60.0,3.0
tbzuarxyvdryqj2ggxwwg6tszhi7o2kb,12.0,2.0,0.0,4.0,22.0,49.0,12.0
tdacaoe7difnv5qmjqozgxr4yfl5aad4,10.0,2.0,0.0,20.0,25.0,5.0,12.0
tolny6m5qz67z5lmp273gcp7wsrwda7z,6.0,2.0,0.0,4.0,18.0,60.0,10.0
tzwidg3b36v36nqygfhf6vvmwyhf6wto,16.0,2.0,0.0,11.0,9.0,22.0,11.0
ubsvupbofqsuh7ggbs36ex3bnoyelylj,15.0,2.0,2.0,15.0,12.0,65.0,5.0
ukbss4pige6hw7h3d2eh6xen3qwvbacg,16.0,2.0,1.0,15.0,10.0,57.0,7.0
ukvec65h7jclfyalvrn7m2zzu37j2mc6,6.0,0.0,2.0,2.0,1.0,71.0,14.0
ulx2xvddzctvuy2mo5r3iohcd6mfdpj6,15.0,2.0,0.0,19.0,8.0,71.0,12.0
umbbsxacgtpgyb6wv4o6evkezwxsng6z,16.0,2.0,0.0,4.0,5.0,31.0,15.0
un6uabur233ojx2732ntcn4o5kflignr,13.0,2.0,0.0,21.0,23.0,85.0,10.0
uw5whbve3k3h2bq5mnmiw7rhx2s2pok2,12.0,2.0,2.0,9.0,8.0,89.0,0.0
v4s6am43yuiefnoo3lrn7egqr4kly3te,11.0,2.0,2.0,19.0,10.0,40.0,2.0
v7izrvx5t67nyephf4ygzuwabxsapb6k,17.0,2.0,1.0,14.0,13.0,43.0,7.0
vf3elzmjefmwcga7o4c3u67iiriryaot,17.0,2.0,2.0,12.0,3.0,44.0,1.0
voadiq3yv4vmftpxdqv2zve7xfeuoihb,14.0,2.0,0.0,16.0,14.0,67.0,13.0
w34ub3y4g25bokzividrhrkgg3w5g7bs,15.0,2.0,2.0,14.0,3.0,17.0,4.0
wlhk3wyqnbpzcllhbbp4dfidwcqaroai,16.0,2.0,2.0,7.0,2.0,6.0,5.0
x3lsjzmckvy3noqnjm6ktmpcoo5vwsp6,5.0,2.0,0.0,18.0,15.0,79.0,9.0
x4krmg3sdk7y6dfwnqhapjvq2przrkfk,15.0,0.0,2.0,19.0,0.0,67.0,14.0
xyqx3pw2fwcb6okzsghxi7id74xvd2hh,4.0,2.0,0.0,8.0,19.0,18.0,15.0
xzhuoaksv4kut6nudfhdkz6jxrw2uoak,16.0,2.0,2.0,16.0,12.0,31.0,0.0
y3hjzw2smmtbk6iumog3qo6zy73jqsde,16.0,2.0,2.0,14.0,16.0,15.0,5.0
y7j2rqgsjvseowz2chkwmiksni6x5cm7,15.0,2.0,0.0,17.0,19.0,56.0,11.0
y7wqiopmm5g5u4xof3vkc6fk3jccwnzf,5.0,1.0,2.0,11.0,21.0,70.0,14.0
yg4uh46vi7ndkwcnjsj24o3d7nzevqku,14.0,2.0,0.0,20.0,17.0,35.0,10.0
yjssprkgm6qdm52l5wc62xl6dc7koidg,7.0,2.0,0.0,12.0,7.0,72.0,15.0
yrtx5zsluwxltsg5mcvhlh4yrah3iac7,14.0,2.0,0.0,4.0,5.0,89.0,15.0
yutyhfmjt56gresootpqfs3jwwhqaf2q,15.0,2.0,2.0,3.0,18.0,49.0,3.0
yvfqke4pokvdiz3ukfes435vydmh275k,14.0,2.0,1.0,15.0,2.0,88.0,6.0
ywqku73rofo6nanjf7weu2sjx4khrhl3,18.0,2.0,2.0,2.0,16.0,60.0,5.0
ywx6z7hsoyohhz5yz5hhdfhclc4l7e4k,10.0,2.0,0.0,20.0,9.0,23.0,15.0
yyzh5fhg2py7u2g5cmm4v3t2zuseb2ck,15.0,2.0,0.0,13.0,0.0,19.0,15.0
z3pkdndvydfnkqyro3sbnfyezgz4lhna,13.0,2.0,0.0,15.0,17.0,81.0,15.0
zq37g6mxmwfbtn3zx22yw6pmrebzlgwf,10.0,2.0,0.0,20.0,20.0,91.0,9.0
zqifgagou6hkogtcqdtrwcsa3xwduzok,11.0,2.0,0.0,3.0,0.0,86.0,15.0
23s3yxtf27g6ahgatwdbax7ig23xnypm,1.0,2.0,0.0,13.0,20.0,3.0,12.0
2esperrzu6ejswh37hqxwnygozjlgnnd,18.0,2.0,0.0,1.0,21.0,28.0,15.0
2fxxmgd5lee7z67kk6v5lylpkxpv2guk,18.0,0.0,2.0,2.0,4.0,17.0,14.0
2s2vrp2ucims2yjxxkpa2wwv3de5gfuy,0.0,2.0,0.0,16.0,22.0,80.0,10.0
2shevfzwscntiqi47cm4hvntm5svfg7o,8.0,2.0,2.0,7.0,9.0,72.0,1.0
2ygveqxrlh3oinwvjbjmz3yewivposs5,9.0,1.0,2.0,17.0,22.0,71.0,14.0
3566oc2ukpegcjvot7gcbcgbokhmm7mt,17.0,2.0,2.0,18.0,7.0,42.0,3.0
36ukpde5sthmggl5aactvyirben34h6t,0.0,2.0,1.0,15.0,7.0,67.0,6.0
3d3jdcmwbzcug6r7fwdzv7ed74vopmei,9.0,2.0,2.0,17.0,3.0,8.0,0.0
3mspaqzvm7vd7ff47wf3frmvwyq5sfbi,17.0,2.0,0.0,8.0,4.0,26.0,11.0
3p6m4yfrvqh6ggijx636vhs4ilz5wdur,9.0,2.0,0.0,2.0,17.0,29.0,8.0
3q6aw7jmmlmrxetsht4qcpyy3gqu5zhz,8.0,2.0,0.0,1.0,14.0,75.0,13.0
3yazklfo7d46fjqoyrmje6lecywo2ggk,18.0,2.0,2.0,21.0,1.0,26.0,0.0
4jcdy6trjje27ilbn5l5jkl34i3gbrqf,3.0,2.0,0.0,16.0,23.0,33.0,12.0
4ki6qew2opp42td37erz4toq444jyhp5,3.0,2.0,0.0,1.0,15.0,50.0,13.0
4xsvrk44rhimvsvjd7hnzfnuycgijiqg,7.0,2.0,0.0,13.0,16.0,86.0,15.0
52b22ijgkdldwry5drpkd5c7liexk3tp,17.0,2.0,0.0,1.0,7.0,23.0,11.0
5ab4q6jqear7csccprapxpw3sjz5lthy,9.0,2.0,2.0,13.0,24.0,66.0,1.0
5cqbll4twpenro7hg3jikwup5sjbl55k,9.0,2.0,0.0,19.0,18.0,1.0,10.0
5fh75b3vkolrtvrbqjiztjebx6pq5hk6,9.0,2.0,2.0,2.0,2.0,51.0,2.0
5fjvlv6gibuszmfdu6uyojp5hty5yev4,8.0,2.0,0.0,4.0,19.0,43.0,10.0
5kx277aisfpgzyzx6gp77wjzzw7dulzi,0.0,2.0,0.0,11.0,15.0,4.0,9.0
6aq7vq7xdzkgqvd3udqutldkrxlndlf2,18.0,2.0,0.0,16.0,1.0,36.0,9.0
6cksb5uej4ohnc3fq3yamg3ri3nwj4ku,1.0,2.0,0.0,21.0,18.0,77.0,10.0
6f4oamc4hpgoyyur5j3lvjbcbjmify56,18.0,2.0,1.0,20.0,9.0,34.0,7.0
6pc7bmpy5fxnde3gp6detgjh4fnhdvvv,2.0,2.0,2.0,20.0,8.0,8.0,4.0
6t7svpbrq7atqvhvxxxrsuma3ycc6wkb,9.0,1.0,2.0,2.0,14.0,48.0,14.0
6waucd656qlmaf7re5pwt6ervip7evv6,18.0,2.0,0.0,20.0,2.0,83.0,12.0
72wbcb3qbirkwmwot7afonim5v2w7sgp,3.0,2.0,2.0,17.0,8.0,40.0,1.0
7377gkntedkcfq7ohoxfsqlmewyaeo4f,8.0,2.0,2.0,16.0,8.0,10.0,0.0
7hvgm6u5dwjdbcsjsmbbkuq5aws4v2ny,1.0,2.0,2.0,1.0,5.0,88.0,0.0
7i3xiudjfoba23colfa5xkyaa26ysswd,1.0,2.0,0.0,9.0,18.0,66.0,10.0
7unvufcwwzyizq3cw2gcoaxdmwqh4hdt,0.0,2.0,2.0,21.0,7.0,89.0,3.0
afmccm47p6jtemddqu7mz3pu633vzycl,0.0,2.0,2.0,19.0,8.0,88.0,5.0
aq5crms5nv4wg2yumjsukb3r6klhcihh,15.0,2.0,2.0,20.0,17.0,89.0,5.0
aqhoi57nazutoqsrkajglko4ztfu6jq7,17.0,2.0,0.0,7.0,0.0,28.0,9.0
arq3nrlpslsczw56yuettslwh5qhmecy,9.0,2.0,2.0,6.0,11.0,74.0,1.0
awlguwfi74bnsvr4tbmuzxnsfq5dsnhx,15.0,2.0,0.0,15.0,16.0,90.0,9.0
bbk5bwt6upttigucjqtmnmwkwn7q2p4x,16.0,2.0,0.0,14.0,7.0,26.0,15.0
bc3z2smje6bv2wmdb62s3zloofrcelmj,0.0,2.0,1.0,20.0,24.0,33.0,7.0
bgnge3mhmtetpfgl5xx6jf33hu2qpajf,7.0,2.0,0.0,14.0,23.0,12.0,9.0
bn6bpokkxm4syp6tym5vfgh7hgsygcld,12.0,2.0,0.0,3.0,18.0,34.0,10.0
bwc4hxaoadsgorw6clatjr5kfp4oca64,8.0,0.0,2.0,13.0,9.0,6.0,14.0
c3rdg27ygvygmvjuq2yc5xbuxftcubew,16.0,2.0,0.0,11.0,17.0,9.0,12.0
c5isshomnqljc5dypvmb43pnqwbr2ksa,16.0,2.0,2.0,20.0,3.0,72.0,5.0
c5lekcscx7xkwxxucjyympo4l2cru3lg,10.0,2.0,0.0,4.0,18.0,67.0,10.0
ckkhfiqy2sv3mt4qulsojwdh5wy4zl2d,14.0,2.0,0.0,12.0,20.0,30.0,13.0
crilvdnxwco3bld5zxlbmdqii6lemzky,3.0,2.0,2.0,8.0,5.0,89.0,0.0
csltikxbqa7xejumx2d2pufkrnviey4o,17.0,0.0,2.0,7.0,6.0,82.0,14.0
csrre5jo43kudp25rxthyb4oyqlicryb,18.0,2.0,1.0,7.0,11.0,29.0,7.0
ct7ug4drcqx67577cgjsu6tjlt3wspa6,14.0,2.0,2.0,17.0,10.0,35.0,5.0
cwmopzlpysjz333mr4xzubg4gl5ymabl,7.0,2.0,0.0,6.0,21.0,80.0,13.0
d2nrygcwi7ts5qdbzft3uh4j75pf2xuo,15.0,2.0,2.0,15.0,21.0,53.0,0.0
dabfwmshzfrg5hwqqrwdkualdsqgw5i5,16.0,2.0,1.0,3.0,14.0,51.0,7.0
daoruatava42wvflc6khoy67ttxeeuiy,17.0,2.0,0.0,8.0,16.0,45.0,13.0
dc7m7xhwstp5zqgdsxvygpyuvqbwqigi,16.0,2.0,1.0,11.0,15.0,25.0,7.0
des4gfgyifj5ud556epdz5uybbhlmhy2,8.0,2.0,2.0,16.0,9.0,38.0,3.0
dlv25icin2fdz3m7zyla2yvsmmuwisuh,18.0,2.0,0.0,10.0,12.0,75.0,11.0
dolwjl4fhl33orxwyx7eev4sce2dgdoc,10.0,1.0,2.0,8.0,17.0,32.0,14.0
dsiajvxv2tps3w7nyfpelw7p2kvhiq4f,18.0,2.0,0.0,4.0,5.0,25.0,12.0
dwqppfqerwrc7rzmwyilqjznf4b4i7eq,7.0,2.0,0.0,1.0,18.0,28.0,10.0
dyqjjl5yeeoenzrjta36ujzotktplvbz,17.0,2.0,0.0,11.0,3.0,80.0,15.0
e7ftusp6ukxusgcncyqrule5k5xqqqv2,13.0,2.0,2.0,3.0,0.0,33.0,5.0
ei7jhgf3dxidnwynejfby342yizddz5c,15.0,2.0,0.0,12.0,22.0,63.0,13.0
ejsx4thg6zz4jpjak3v24ts5j5xqinpk,9.0,2.0,0.0,19.0,22.0,16.0,13.0
elwuubgjfs3qfwrbobikdv3aqvszgk23,15.0,2.0,0.0,19.0,11.0,33.0,9.0
enxirfr2d2wedpgpeolebrfnqa4qmnow,18.0,2.0,0.0,14.0,0.0,65.0,9.0
epivgmsv2suxbl6b7gpqyxguwgbrjcta,15.0,2.0,2.0,1.0,21.0,89.0,1.0
eqg4zpun3mwpvkdz7ihhwfrxn4mvesjo,15.0,2.0,2.0,8.0,25.0,86.0,0.0
eqkxyswyvv3jrgy3ksj2wsubrlnwnc2h,13.0,2.0,0.0,20.0,18.0,25.0,12.0
esr3bzbqu3gjeyudhzae7fng7xxefz7n,18.0,2.0,2.0,6.0,5.0,45.0,4.0
etqcse6jce73vduyilhukrjaxpuoixpe,15.0,2.0,2.0,4.0,6.0,37.0,2.0
f7qukuw36qyvkvdifuenghh7refpqmku,10.0,2.0,2.0,16.0,9.0,72.0,2.0
fefte32uiosmistbhqwzdn55vlperpyp,8.0,1.0,2.0,9.0,18.0,3.0,14.0
fen2neqsgl3z4uko5unpa24o5s24qe6b,0.0,2.0,2.0,11.0,24.0,35.0,1.0
fi6q6qoh44opivk52xjawusfafnizgkx,16.0,2.0,0.0,10.0,12.0,34.0,9.0
fjafm4mxldekl6da6g2ifa3j33uc45zm,18.0,2.0,2.0,8.0,16.0,69.0,0.0
flzylglfad33znosxukqobaa5jmar4oz,13.0,2.0,2.0,11.0,8.0,46.0,0.0
fmseqbfdwvhihg2pydt3wv3ffvpe5we5,9.0,2.0,1.0,10.0,11.0,90.0,6.0
fv6rcbu637mdula5lgmx45ptsbk3nf3c,1.0,2.0,0.0,4.0,23.0,42.0,11.0
gbup7jdngt6n6ejfvo6ud5c776xdmiet,17.0,2.0,0.0,16.0,1.0,29.0,11.0
