,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
3jr4uksoucbjgv7t2ytatf5ru4te2ei3,3.8.11,1.14.0,0.3.4,1.4.3,3.16.1,3.4.2
3khpqrkwj4r2f2eeyclcivfmwaaeo74l,2.7.13,absent,0.2.17,1.4.3,3.16.0,3.1.1
3ngqjbwor2xe7gmv5lngpgb6if6xsxsm,3.7.9,1.14.0,0.3.4,1.9.2,3.14.0,develop
3qvhkjzpex6k3pgoic2hzcphqvwegokf,3.7.7,absent,0.3.12,1.9.4,3.15.2,3.0.4
3ucwfecul3fb5lradi65fqdj7g7xsxwo,3.6.3,1.14.0,develop,1.6.1,3.15.4,3.4.1
3wxi5a2frjyjurl475uzf7sule4hcsno,3.5.10,1.6.2,0.3.10,1.9.1,3.8.0,3.2.1
3ynmyofeb6kezcze33napmsni3knuaou,3.9.2,1.14.0,0.2.17,1.7.5,3.19.2,3.3
3z6tmv23qm4kik67gdzkdygk3ljgak34,3.7.1,absent,0.3.12,1.9.0,3.14.0,3.1.2
3zzsot7nob2bu7mu4iwtnys6ndout7gb,3.7.0,1.14.0,0.3.10,1.9.5,3.18.4,3.4
42ne5o7eghdu4ryitu3yaslns5llwqwt,absent,1.14.0,develop,1.4.3,3.10.0,3.3.2
44p74mzkbafkuar2w42ndiheg2wdqqsd,3.6.5,absent,0.3.4,1.6.0,3.12.2,3.1.2
45bu6at6pzp4nnmtcb3dlvucq4la5npt,3.7.11,absent,0.3.5,master,3.19.7,absent
46wygwjksifvfefoypojafaibkyqzbt4,3.6.9,absent,0.3.15,1.6.1,3.9.0,3.1.3
472phk7tk363zhdf77vrby46q57vlest,3.8.4,absent,0.3.10,1.9.2,3.17.3,3.1.1
4dakfry2yerbg3j4vl5rsklt7krijpig,3.8.9,absent,0.3.18,1.9.5,3.13.3,3.1.3
4jbihoqczdmx5il6mjy7iiksqptprybs,3.6.14,1.14.0,0.3.5,1.9.5,3.19.3,3.4
4meaou6pwlru7vyv4qp4nr5tmfyjlevy,3.5.1,1.14.0,0.2.16,1.7.5,3.19.2,3.4.1
4mkrdvx34icr3mbc6t7vwj5mx6ehx6rz,3.6.2,absent,0.3.11,1.9.4,3.15.1,3.1
4nt4tvd5k3tutcqohdmmn752cyvhu5rd,3.9.0,absent,0.3.16,1.9.2,3.21.2,3.0.4
4o5dlylcyiccaxdvbmutjgvdepelbpqy,3.4.3,1.14.0,0.3.11,1.9.5,3.19.0,3.3.1
4poaghagzhcprqubpyelqtyeof5imce3,3.8.4,1.14.0,0.2.16,1.9.1,3.15.4,3.4.2
4vjvjjulpiaqq3fariltc7cvgszfmewm,3.4.10,1.14.0,0.3.11,1.6.1,3.14.5,3.3.2
4w2s4o36b7nv5gbctd4xxwmwwmvcekcb,2.7.17,1.14.0,0.3.6,1.6.0,3.20.0,3.3.2
4wsxodpyf6fxrp3iwg2p2ctipb3mmc57,2.7.8,absent,0.3.14,1.9.2,3.12.1,3.1.1
4ziyrpncgj2mustqrm2mzia4af46kkaa,3.7.0,1.14.0,0.3.13,1.8.0,3.14.0,3.3
4zxn4n4ibzbvgjygr2itz45dcwtkrihi,3.7.5,1.14.0,0.2.17,1.7.4,3.11.4,3.4.1
53w7662vgomoxox7uytfoj2oic3uzlno,2.7.10,1.14.0,0.3.4,1.9.2,3.13.4,3.3
5hkugitwzdctxgkvm2gf7ld67lm47ls3,3.9.6,1.6.2,0.3.18,1.4.3,3.14.2,3.2.1
5ixqvv5k3injadpjhyoomxp3yo3z2kzx,3.4.10,absent,0.3.15,1.7.2,3.14.7,3.1
5jqvm62npohywjxunkobvz5ztwbnnhch,3.6.4,1.14.0,0.3.15,1.9.2,3.16.2,3.3.2
5lqattlb7wmo7lrhln6cvqz4jg5k6va6,3.3.6,absent,develop,1.9.3,3.15.0,3.1.3
5mc3jpgajt3zyihqphxngrnsp6235gz7,2.7.13,1.14.0,0.2.15,1.9.4,3.11.0,3.4
5mgxhcvj7e2gixyv4bylzri4mqesapfr,3.6.11,1.6.2,0.3.16,1.9.1,3.22.1,3.2.1
5oatm46ezfjibtwx3jmjvvjgdtpyuh4c,3.5.7,1.6.2,0.3.16,1.9.3,3.11.1,3.2.1
5q7vswqqyuyjmkfi3vl5r5mb4ttcildk,3.9.4,1.14.0,0.2.18,1.9.5,3.9.6,3.3
5sq2odwf6qpz6nwv33lcwysag42f3sfe,3.6.7,1.14.0,0.3.16,1.9.4,3.20.0,3.4.2
5wqqk6tqixyvx4dnhmincqxopnxihwmw,3.8.7,1.6.2,0.3.17,1.9.4,3.18.2,3.2
5x5k4kzlfugjxgz32bvpwtpx3hyvka57,3.6.0,absent,0.3.11,1.9.0,3.14.7,3.1
65e2wtwqmoqjfdx5fyogjly5uu5nyvjd,3.2.6,1.14.0,0.3.5,1.7.3,3.9.2,3.3
6a6c5rw7xf2q6yls6pjte4kojvfbadmi,3.8.10,absent,0.3.8,1.9.5,3.15.0,3.1.3
6fwip3oyeadcy2y5ffbo4y7e455pa3fy,3.5.10,absent,0.3.9,1.7.3,3.12.3,absent
6ke4silbioq7kgov465yuj24zixbz3fw,3.7.8,absent,0.2.16,1.7.4,3.20.5,3.1
6ncrixlvwzqx3b3eav4pmfvgijmigd7a,3.5.7,absent,0.3.8,1.7.4,3.13.3,3.1.2
6nyc3b2d43waaqagx23bfw4ftanggwqs,3.4.10,1.6.2,0.3.9,1.9.5,3.19.2,3.2
6oy5yrpn6hfezpnv5wmp43edpellsu5c,3.5.3,1.14.0,0.3.10,1.9.5,3.20.5,3.4.2
6r7aye65difrbftuzgqcgg37iljj3o42,3.5.1,1.14.0,0.3.6,1.9.5,3.20.4,develop
6z436whejv6k3dzlil54u7qcath2ees4,3.5.10,absent,0.3.13,1.7.4,3.10.3,absent
76bfm4ibddjk473xzzxqya4a7x5pmxoz,3.6.10,1.14.0,0.3.18,1.9.3,3.14.4,3.3.2
76zh33itdsou3tlb6bhwvhbs7ck7bw72,3.6.10,absent,0.2.15,1.7.2,3.20.3,absent
77jaj4uq6ywj3u6oyqmdeycn7khlwhqx,3.9.4,absent,0.3.11,1.9.4,3.20.5,3.1
7dg7czgok7dfo5a7j4j6a6pyzbctnysq,3.3.6,1.14.0,0.2.18,1.9.0,3.12.2,3.3
7e53hwbz75ouhizuwc6n4yz5jvi2h2yn,2.7.8,1.14.0,0.3.9,1.6.1,3.15.4,3.3.2
7fceag6mvpzmhnuqhfgt4oeifv52wg2g,3.8.3,absent,0.2.15,1.8.0,3.21.2,3.1
7kf7admmc6bb4hdb6dugkbcfftyqyaqp,3.7.9,1.14.0,0.3.5,1.9.4,3.20.5,develop
7lynwjutpt5dfqc7kqjcgroi6trrcmya,3.8.1,absent,0.3.14,1.7.3,3.14.3,3.1.1
7mhre6yd5akli46s5cfwcm5wnxcmkfhb,2.7.11,absent,0.3.8,1.9.1,3.13.2,3.1.2
7rcamq5i62k6q3njmof6m6cw63p2qbcu,3.6.3,1.14.0,0.3.9,1.7.4,3.19.8,3.3
7t6wg3t7tm5dkhvpt44q4aqok2nsuz2t,3.6.5,absent,0.2.15,1.7.5,3.11.3,3.1
7uvd74lsnupwmxyadnsy674l6xxt4nwp,3.6.2,1.6.2,0.3.10,1.9.5,3.16.2,3.2
7uy5l6ro6xvtnfn3hf3okhcpxfr3rt2m,3.8.1,absent,0.3.5,1.7.2,3.16.2,3.1.1
7xm7nim5do42qatx2vzddsdftedvours,3.7.9,1.14.0,0.2.15,1.9.5,3.11.4,3.3.1
a333w3fsrngtin773v7ljm5xihr7vbko,3.7.6,1.14.0,develop,1.9.1,3.16.5,3.4.2
a3mxs4lt7poywzhkdts3aubv6ueqpm66,absent,absent,0.3.18,1.6.1,3.13.2,absent
a4kp663y5tzk765rwdry4tfgafjxnz6t,3.3.6,1.6.2,0.3.8,1.7.4,3.16.5,3.2
abfvefuhj2burcykabuy23ugk2swbfh3,3.7.6,absent,0.3.4,1.9.5,3.16.5,3.1.1
aemzspuv5rpqy5pwpmdlxh7zeiw744le,3.5.8,1.6.2,0.3.9,1.9.5,3.15.4,3.2.1
aigxm34ihpmzzkiesmjkxfpeg7rkcxfe,3.5.3,absent,0.3.13,1.9.0,3.13.2,3.1
amvgt72vu2tucqrblrpsjrnvwl5xoayb,3.6.11,1.14.0,0.2.18,1.7.5,3.13.5,3.3.2
anuh2jzz2pmoyeqjhmvarh6ggppsemdl,3.6.6,absent,0.3.9,1.7.5,3.16.6,absent
au362xfm76mf44422rmn6hc35y7x34a7,3.7.11,1.6.2,0.3.7,1.9.5,3.12.3,3.2
avg3m245m3nvqe7tecxyfwn3ocopyvef,3.7.9,absent,0.3.7,1.7.3,3.16.6,3.1
ayqfg642jhozupdmnxbzqojitpuxvzlr,3.9.6,absent,0.3.11,1.9.5,3.9.2,3.1.1
azstwykr2hpa32klneqf2gvj2ylcbfbh,3.6.14,absent,0.3.5,1.9.5,3.16.0,3.0.4
b224ovjwun6hb36vjuafydhu2qh3gqeh,3.9.9,1.14.0,0.3.15,1.9.0,3.15.4,3.3.1
b2s7g6mgampwymka5zm7ydfltizn44tl,3.6.4,absent,0.3.11,1.9.1,3.15.0,3.1.3
b3gvofashmqcv53rh3hh24hjojevl366,3.5.3,1.6.2,0.3.9,1.4.3,3.16.4,3.2
bckdxnhfzl6zq2owpgcmdbeemxvw6m5t,3.9.1,absent,0.3.7,1.9.1,3.8.2,absent
bdpw3dfjr6fcsdsyzvku3glap7yqgc5k,3.6.8,1.14.0,0.3.14,1.9.0,3.12.1,3.3
beghtg4vtmx3hfxhlnfavcqo2gel3rod,3.6.9,absent,0.3.9,1.7.5,3.10.2,3.1.1
bkm6h3qp6pmqscmevng54gvyqgurgvcu,3.2.6,absent,0.3.13,1.9.5,3.15.7,absent
blf4rlvn35zqvgappoty622ef7fvg6qw,3.7.5,1.14.0,0.2.15,1.7.4,3.8.2,3.3
bntta7kk7p5vrk5v6en42zuske3ej3gn,3.7.6,1.14.0,0.3.8,1.9.3,3.12.0,3.3.1
bnx6zdhym3kwbqpmydy7jq43v6vgr3g6,3.6.13,1.6.2,0.3.12,1.6.1,3.19.6,3.2
bohtp2n4frqxe57tmufq3ptur6fhzwqw,3.5.2,absent,0.2.18,1.7.2,3.10.1,absent
bov4dagrwyl6uzik33bw2tct3m77cyin,3.7.4,1.14.0,0.2.20,1.7.3,3.19.8,3.4.2
bty33py6fx5bukx2nc7uz6tg54uvenhy,3.8.9,1.14.0,0.2.16,1.9.4,3.16.4,3.3
bvkybbnis3bnqygthxb7tn22wbwtrlzo,3.7.3,absent,0.3.18,1.9.2,3.15.5,3.1.2
bxvv75zmxvaanl7bu6g3eppr335f5ugn,3.2.6,1.14.0,0.2.15,1.8.0,3.17.3,3.3
c2kycv5r2kdki4gjikza3jkxsygeyiwp,2.7.16,1.6.2,0.2.17,1.9.0,3.10.1,3.2.1
c3xuehwrwvklak365drwecmo2qxhiiry,3.7.2,1.6.2,0.3.9,1.9.5,3.10.2,3.2
c7hzyjppsz677j6adpts6huaifiwwl7u,3.6.5,1.6.2,0.2.15,1.4.3,3.10.1,3.2.1
call7swwsebntdobzh3w5gmwysvlzzh6,3.7.1,1.14.0,0.3.8,1.9.5,3.21.0,3.3
cdx64mrbk2ivr5b57dfqzwoipbdinq6g,3.5.3,1.14.0,0.3.7,1.6.0,3.9.0,develop
cech66tcjj4iusfgd4ni5a23aauxpaed,2.7.14,absent,develop,1.4.3,3.17.5,3.1.1
chswgliyrmaoetzxxenvuhuyfzul2now,3.9.4,1.14.0,0.2.19,1.6.1,3.19.3,3.4.1
cjhgrstim5lfdkur362ryvhoxqhs6xlk,3.2.6,1.14.0,0.3.12,1.9.0,3.11.3,3.4.2
ckgcbpxk6xlverf2ddnpleazkpjwvla6,3.7.6,1.14.0,0.2.17,1.9.5,3.14.5,3.4
cluw3lmaqlzuxpvbbwvvyfjgkhadtsqh,3.8.3,absent,0.2.18,1.4.3,3.18.6,3.0.4
cmq6vphebfqe75vbgq3uxxmihp5bj27l,3.7.11,1.6.2,0.2.17,1.9.4,3.20.5,3.2.1
cnpi54tvt6vmzwewkz2xcqqpgmjnhmof,3.7.4,1.14.0,0.3.15,1.7.3,3.16.4,3.4.2
co5l5ulw6h6yo2gmvzolr55t5lpk57qw,3.8.4,1.14.0,develop,1.9.2,3.20.5,3.3.2
co5x45idvritoklfsxnnh6quycjjng44,3.7.6,absent,0.3.16,1.9.5,3.20.2,3.1.3
cqteg5jiztelq5oosj6qhsve5hfqknnd,2.7.16,absent,0.3.12,1.6.0,3.10.2,3.1
cqwtenjpam7bmcydokec2k3x3ugcotor,3.6.7,absent,0.3.14,1.9.2,3.14.6,3.0.4
cqyudkns4r5emut2ldjuixd2b2cbanzo,3.8.11,1.14.0,0.3.13,1.9.0,3.12.1,3.3.2
crdqs2yoncrrgoizqudywqg2fut3stqb,3.6.8,absent,0.3.5,1.9.1,3.16.3,3.1.3
cvlnfjrobmzizmqr62yoh6en4a6py5w2,3.8.2,absent,0.3.12,1.9.5,3.13.4,absent
cvqru4pculp62aosiknwaddmq4lif55b,3.7.2,absent,0.3.4,1.7.3,3.15.1,absent
cyso24wiagdcul6vf2q5ocpcmnhf6fgw,3.6.7,1.6.2,0.2.17,1.9.5,3.19.1,3.2.1
d2t6qdljrc6bdkt4dkpd3w7jlbuubbm6,3.9.5,absent,0.2.19,1.7.3,3.9.6,absent
d55yzieybe3jh2duetfx2boer7kwoqn6,3.9.2,1.14.0,0.3.13,1.8.0,3.20.2,3.4.2
d6fuatgozsljzb2b4gj3j7g3e2m74ixj,3.7.3,1.14.0,0.3.14,1.7.2,3.12.2,3.4.2
d7u7mtzzqlcbd5yjnfw2ehwdkl6barcs,3.5.1,absent,0.3.16,1.9.5,3.8.2,3.1.3
db55qaw4omjsalud6nsygpy3wjxiwvmu,3.4.3,absent,0.3.18,1.7.3,3.17.0,3.1.1
dela6mfaucynwyrxlajzmzoucwxotf3y,3.6.7,absent,0.3.15,1.9.3,3.15.1,3.0.4
dfohlnufvzziavigwqkuoj6gcejsvijc,3.4.10,1.6.2,0.3.18,1.9.5,3.16.1,3.2.1
dicrr4vmmldfmbskrfncu3cjhmaeemhe,3.7.3,1.14.0,0.2.17,1.9.5,3.20.1,3.4.2
dk2tcbhbj7ka27rph3klj7xlhipt4brj,3.4.3,absent,0.3.16,1.9.5,3.10.3,3.0.4
dmgr3nk3kcv3ctqur27lt5kg6l7d5wbp,3.6.1,1.6.2,0.2.18,1.9.5,3.16.5,3.2
dmi52ebcsdesg22sqxwbinv4ebagkp5s,3.6.10,1.14.0,0.3.17,1.9.0,3.8.2,3.4.2
dmraho3x3lozdmbjd5ah4e7ovyvwjpfd,3.7.1,absent,0.3.11,1.7.5,3.19.2,absent
dnoan2i3vxw2k4zoohfgjcuxuz4z2vw5,3.9.6,absent,0.3.6,1.9.2,3.22.1,3.0.4
doqob6uvrqp577po6wt3zkl42wk5iaxj,3.2.6,absent,0.2.18,1.9.1,3.11.2,3.0.4
drqskdoux22gjfpideb6v45q6mqyizko,3.9.5,1.6.2,0.2.19,1.9.2,3.19.6,3.2
dshddomza6jlm62vgmmkpimnfu5fzsgn,3.8.8,1.6.2,0.3.18,1.9.0,3.19.4,3.2.1
dskouy3vo7q23x4vg5rwxl3w5n263uqy,3.7.9,1.14.0,0.3.13,1.7.2,3.19.4,3.3.2
dtq3dcm3rqsu7spum35cniijgovjw6t6,3.6.3,1.6.2,0.3.4,1.4.3,3.15.4,3.2.1
du2ki6au2g4m76b3ezwysyknqynflymc,3.8.0,1.14.0,0.3.13,1.9.0,3.19.4,3.3.2
duthhmp2iks3ryekc6noxkdsq2k4m2ig,3.7.5,absent,0.2.20,1.9.5,3.10.0,3.1
dxe4kuuypeevptjekbv7b5mfoaxhc4o6,2.7.10,1.14.0,0.2.18,1.4.3,3.17.4,3.4.1
dxepv6tdobgx3pgdkneae3tyyyx3pn6k,3.6.0,absent,0.3.5,1.9.3,3.18.6,3.0.4
dyhrzagsiuqnznwdq43i2o5t2sv7xyc7,2.7.11,1.14.0,0.3.17,1.7.2,3.13.4,3.4.2
dzdkmvtc7huusffpdddaf727fldvfwea,3.8.6,1.6.2,0.3.16,1.9.4,3.14.6,3.2.1
e3plqaqcab2otz66mloivcqmzu7w6jok,3.5.9,1.6.2,0.3.8,1.6.0,master,3.2
eadjeri4pugpjbxoxnyh4peyotlvbqho,3.5.8,absent,0.2.16,master,3.12.4,absent
eetk4z26c5ihrkxkjaodu7uc6fwlljjo,3.8.4,absent,0.3.13,1.9.3,3.16.8,3.0.4
efpso6s2cuemjp4vipj2kpcmbutz2alo,3.5.9,1.14.0,0.2.15,1.9.1,3.20.3,3.3.1
elwgfk6dqwh3qzmpgfz3n22qh2rhquo7,3.4.3,absent,0.3.12,1.9.3,3.9.4,3.1.3
eu3ce46rfh2rempyrpo4ezi2j3zpufct,absent,1.6.2,0.3.8,1.6.0,3.15.4,3.2
eu6mql4chr45xt25vmszqkpylju6vfoz,3.8.7,1.14.0,0.3.13,1.9.2,3.18.6,3.4.2
euixuizw4zz63psle2yvip3escr3bmft,3.5.7,1.14.0,0.3.11,1.9.4,3.18.0,3.4.1
euuu26v4hh2xbv4czxgc33jo7y3tt4p7,3.7.9,absent,0.3.6,1.8.0,3.9.4,3.0.4
ew2zbypf6tbr7vqmuwwhtvpgmhylscpe,3.7.4,absent,0.3.10,1.9.5,3.21.3,3.1
ewdbslg4cgbibwzlz73psc6haj6pc2hz,3.6.8,1.6.2,0.3.6,1.9.0,3.19.5,3.2.1
ewpxfxganb62xlw7xw6us4xmdjrjpuau,3.4.10,1.14.0,0.2.16,1.7.3,3.15.4,3.4
f5hjt7x364yk2ntwxxbxieuaunpp2aem,3.6.0,1.14.0,0.3.6,1.9.5,3.16.2,3.3
f7ifamowxr5nunoygw6h57wpss26ipuu,3.8.0,absent,0.2.18,1.7.5,3.16.7,3.0.4
fcvxcra734lrcehefmxjnxwgahkmd4zb,3.6.3,1.14.0,0.3.18,1.9.2,3.13.1,3.4.2
fpgsyhxdtp4gh7g4clkkexg54cg4vl3x,3.8.2,1.14.0,0.3.5,1.7.2,3.8.2,3.4
fpyyssp6syh4arsywdvsm767fhx6txa4,3.8.5,absent,0.3.11,1.9.3,3.15.1,3.0.4
frlkrdvb46dvu5nbkrrjrgcityfugh5r,3.7.2,absent,0.3.16,1.7.3,3.16.9,3.1.1
ftsx5k45imipwfjgtgv7oj7snmuaat6j,3.8.3,absent,0.2.20,1.9.0,master,3.1.3
fuwlz3lqd6m5gxcynamuqjrowqseqqga,2.7.8,absent,0.3.9,1.9.3,3.13.3,3.1.1
fxewxddl24eaislheol7shkfvfhmyvgb,2.7.8,absent,0.3.4,1.7.2,3.9.4,3.1.3
fxgrnzpyl2dwfidgmpvv6mscctzzdogj,3.7.8,absent,0.3.9,1.8.0,3.18.0,3.1.1
fxuf5zectb475jcixoec7it6v3hbfc53,3.9.9,1.14.0,0.2.19,1.9.5,3.13.0,3.4.1
fyuf7wqmczukmkwhsgldmkhs6lwbyg6n,3.5.10,1.14.0,0.3.8,1.9.1,3.13.1,3.3.2
g5qublnd2dojfw6lagjllwr4k64zgyn5,3.6.2,1.6.2,0.3.14,1.7.4,3.12.4,3.2
gandeialsdjahjqjj5ydyq2w7d5kygwz,3.6.2,absent,0.3.15,1.7.5,3.15.7,3.1.2
ghoblchfow4psralghpdvgzgcc5ekml2,3.8.0,1.14.0,0.3.14,1.9.5,3.9.2,3.4
gkftdkfrbsmeeezviubvvszaneha2aif,3.5.9,1.14.0,0.3.18,1.9.4,3.20.4,3.4.1
glugp2gvao4asse34zef4d3xfeo446ec,3.4.3,1.14.0,0.2.15,1.7.2,3.19.2,3.4.1
gousjmi6czmnnm33lheoqdooatchijyt,3.7.1,absent,0.2.20,1.9.2,3.14.4,3.1.3
gqv5cb77drnpty5dh6gfohewsmhofoc4,3.6.14,absent,0.3.18,1.7.3,3.21.1,3.1.2
gr66qckmzdyzmkgt6bmtbdfftcczu26w,3.5.2,1.14.0,0.3.5,1.9.5,3.22.1,3.4.2
gwayb3xnooxtkczv7q3ke6acdrjwkblx,3.6.2,1.14.0,0.3.10,1.8.0,3.16.2,3.4
gwu2molkznw55nso5ey4i3m4axzwug5h,3.6.9,absent,0.3.18,1.9.4,3.13.4,3.1.2
gxf265eg2wjlpixnlcifdozy4dzsw2y5,3.5.3,1.14.0,0.2.17,1.7.5,3.10.1,3.4.2
h2yhftvwzwz3aqubwp4h3ioqiv7t4oid,3.8.9,1.14.0,0.3.12,1.6.1,3.15.5,3.4
h4eyxkkkkzabe3jfiev3acet7l7mncyv,3.9.0,1.6.2,0.3.16,1.9.5,3.18.0,3.2
hf3q67gdbb4r43vdsutafj6jfyxuxbfz,3.6.3,absent,0.3.8,1.9.5,3.19.5,3.1.2
hgknxq52ohg2hefbuj3zomzdhr264ahi,2.7.10,1.14.0,0.3.4,1.6.1,3.22.1,3.4.2
hkm2wbihapzacfe7gkviq4dx6qzwpwev,3.6.7,1.14.0,0.2.15,1.4.3,3.11.3,3.4
hluluughlxa5bzvtlq746uxfgx2zulsy,3.5.5,absent,0.2.17,1.9.5,3.18.6,3.1
hmves55dyyyj34rb4vctcrxeha5vcze3,3.7.5,absent,0.3.12,1.7.3,3.9.6,absent
hraljljexdtatc3o3m4qastaafnkqeqs,3.5.7,absent,0.3.17,1.7.3,3.12.3,3.1.2
hrwxrcdf7uu6lrfxxgztbrv555a2xh4i,3.7.11,1.14.0,0.3.18,1.9.4,3.15.7,3.4
hvvlhfakjptj7enygqtwm2merz5wgmu5,3.7.9,1.14.0,0.3.10,1.9.5,3.8.1,3.4
hxzqsbuk3mwfnr3dz7xyon7byhwktlz7,3.9.1,1.14.0,0.3.18,1.9.5,3.8.1,3.3
i5snmv7qn7rah26rar6laigfavaivgp4,3.8.10,absent,0.2.20,1.9.3,3.21.1,3.1
i5uv5jj6o64t3e5cycfh2gn2j262evwj,3.5.0,absent,0.3.6,1.7.5,3.12.4,absent
i7spmey52i2tikat6cp6zostgnlhbykv,3.5.2,1.14.0,0.2.19,1.7.5,3.18.0,3.4.2
ib7eypft2isvqyrsiiwfqv6poexv3hnr,3.6.13,1.6.2,0.3.4,1.7.3,3.20.2,3.2.1
idy4wgvivfv2fbunv63c5ysyjm7i7ywv,3.6.7,1.14.0,0.2.18,1.9.5,3.18.2,3.4.1
igjwgo2vk4neuq46b5vwvkysrxrufyxt,3.7.6,absent,0.3.8,1.9.3,3.11.3,3.1.1
ii4yhdam44d2iypnbeufx6cl4x63la43,3.7.8,1.6.2,0.3.15,1.7.4,3.10.2,3.2.1
iptoaoj5ac46xrnuyarisq2f4xb444tr,3.6.3,absent,0.3.14,1.9.0,3.12.2,3.1
iq2apr4is74vnf6udva2bhwr7vleilbl,3.9.4,absent,0.3.17,1.9.5,3.19.6,3.0.4
iuz5ifw62w5pkmqj2pleiqmzobjbsuib,2.7.16,1.6.2,0.3.16,1.7.3,3.11.3,3.2.1
iw2ljad4t63yrexl24xne3mf2s5h3qgx,3.8.7,absent,0.2.19,1.9.0,3.11.2,absent
izvtoeclgy2e6se7o3elhqwghr7qufri,3.8.0,absent,0.2.17,1.9.4,3.19.0,3.0.4
j5s2fbv22n4vsst3lu3gigvifyk3nuiw,3.6.5,1.14.0,0.2.18,1.9.0,3.16.4,3.3
jdsndfrvjxc5nkcavvdvbswo4owrrwpp,3.4.10,absent,0.3.10,1.9.5,3.17.3,3.0.4
jjjjx7ndqpcmqlyb7ygjy3wjne23yqck,3.7.1,1.14.0,0.3.10,1.7.4,3.16.4,3.3
jnlggmxbuhbvfkigamzli4lzs7faphip,3.7.8,1.6.2,0.3.11,1.7.2,3.14.2,3.2
jomyug7lpefsd5zb3w4frdbwlame47s4,3.9.0,absent,0.3.18,1.7.4,3.14.2,3.0.4
jpbrgmhp2t37wwk2os3j2fkc4akf75u6,3.9.5,1.14.0,0.2.20,1.7.3,3.16.5,3.3.1
jqpzv2zaudzfrm7con46ltr25csmzwyv,3.6.0,absent,0.3.16,1.9.4,3.15.3,3.1
jscnqwistegbqq5aa3hcmnbisha7joio,3.8.5,1.6.2,0.3.13,1.4.3,3.14.0,3.2
jt7gc3lwsqmdv7qq5ondeog73fqna35w,3.9.9,absent,0.3.13,1.9.2,3.10.2,3.1.3
ju6xwagdzjwdshfuznklrft5tegat4n4,3.7.9,1.14.0,0.2.15,1.9.4,3.10.3,3.4
k6uebwffz44vq4wue77xro52lswy47g3,3.7.3,absent,0.3.6,1.7.2,3.16.3,3.1.1
kekga4fe4ylqueiv7ximsjdr2blu5me6,3.7.9,1.14.0,0.2.15,1.7.5,3.16.2,3.4.2
