,python-version,libfabric-version,openblas-version,phist-version,cmake-version,mpich-version
aigxm34ihpmzzkiesmjkxfpeg7rkcxfe,17.0,2.0,9.0,8.0,16.0,1.0
amvgt72vu2tucqrblrpsjrnvwl5xoayb,26.0,0.0,3.0,6.0,19.0,9.0
anuh2jzz2pmoyeqjhmvarh6ggppsemdl,34.0,2.0,20.0,6.0,42.0,13.0
au362xfm76mf44422rmn6hc35y7x34a7,41.0,1.0,18.0,13.0,12.0,5.0
avg3m245m3nvqe7tecxyfwn3ocopyvef,49.0,2.0,18.0,4.0,42.0,1.0
ayqfg642jhozupdmnxbzqojitpuxvzlr,67.0,2.0,7.0,13.0,81.0,2.0
azstwykr2hpa32klneqf2gvj2ylcbfbh,29.0,2.0,16.0,13.0,36.0,0.0
b224ovjwun6hb36vjuafydhu2qh3gqeh,68.0,0.0,11.0,8.0,32.0,8.0
b2s7g6mgampwymka5zm7ydfltizn44tl,32.0,2.0,7.0,9.0,28.0,4.0
b3gvofashmqcv53rh3hh24hjojevl366,17.0,1.0,20.0,0.0,40.0,5.0
bckdxnhfzl6zq2owpgcmdbeemxvw6m5t,63.0,2.0,18.0,9.0,79.0,13.0
bdpw3dfjr6fcsdsyzvku3glap7yqgc5k,36.0,0.0,10.0,8.0,10.0,7.0
beghtg4vtmx3hfxhlnfavcqo2gel3rod,37.0,2.0,20.0,6.0,2.0,2.0
bkm6h3qp6pmqscmevng54gvyqgurgvcu,9.0,2.0,9.0,13.0,35.0,13.0
blf4rlvn35zqvgappoty622ef7fvg6qw,45.0,0.0,0.0,5.0,79.0,7.0
bntta7kk7p5vrk5v6en42zuske3ej3gn,46.0,0.0,19.0,11.0,9.0,8.0
bnx6zdhym3kwbqpmydy7jq43v6vgr3g6,28.0,1.0,8.0,2.0,63.0,5.0
bohtp2n4frqxe57tmufq3ptur6fhzwqw,16.0,2.0,3.0,3.0,1.0,13.0
bov4dagrwyl6uzik33bw2tct3m77cyin,44.0,0.0,5.0,4.0,65.0,12.0
bty33py6fx5bukx2nc7uz6tg54uvenhy,61.0,0.0,1.0,12.0,40.0,7.0
bvkybbnis3bnqygthxb7tn22wbwtrlzo,43.0,2.0,14.0,10.0,33.0,3.0
bxvv75zmxvaanl7bu6g3eppr335f5ugn,9.0,0.0,0.0,7.0,48.0,7.0
c2kycv5r2kdki4gjikza3jkxsygeyiwp,5.0,1.0,2.0,8.0,1.0,6.0
c3xuehwrwvklak365drwecmo2qxhiiry,42.0,1.0,20.0,13.0,2.0,5.0
c7hzyjppsz677j6adpts6huaifiwwl7u,33.0,1.0,0.0,0.0,1.0,6.0
call7swwsebntdobzh3w5gmwysvlzzh6,39.0,0.0,19.0,13.0,72.0,7.0
cdx64mrbk2ivr5b57dfqzwoipbdinq6g,17.0,0.0,18.0,1.0,80.0,14.0
cech66tcjj4iusfgd4ni5a23aauxpaed,4.0,2.0,21.0,0.0,50.0,2.0
chswgliyrmaoetzxxenvuhuyfzul2now,65.0,0.0,4.0,2.0,60.0,11.0
cjhgrstim5lfdkur362ryvhoxqhs6xlk,9.0,0.0,8.0,8.0,7.0,12.0
ckgcbpxk6xlverf2ddnpleazkpjwvla6,46.0,0.0,2.0,13.0,25.0,10.0
cluw3lmaqlzuxpvbbwvvyfjgkhadtsqh,55.0,2.0,3.0,0.0,56.0,0.0
cmq6vphebfqe75vbgq3uxxmihp5bj27l,41.0,1.0,2.0,12.0,71.0,6.0
cnpi54tvt6vmzwewkz2xcqqpgmjnhmof,44.0,0.0,11.0,4.0,40.0,12.0
co5l5ulw6h6yo2gmvzolr55t5lpk57qw,56.0,0.0,21.0,10.0,71.0,9.0
co5x45idvritoklfsxnnh6quycjjng44,46.0,2.0,12.0,13.0,68.0,4.0
cqteg5jiztelq5oosj6qhsve5hfqknnd,5.0,2.0,8.0,1.0,2.0,1.0
cqwtenjpam7bmcydokec2k3x3ugcotor,35.0,2.0,10.0,10.0,26.0,0.0
cqyudkns4r5emut2ldjuixd2b2cbanzo,53.0,0.0,9.0,8.0,10.0,9.0
crdqs2yoncrrgoizqudywqg2fut3stqb,36.0,2.0,16.0,9.0,39.0,4.0
cvlnfjrobmzizmqr62yoh6en4a6py5w2,54.0,2.0,8.0,13.0,18.0,13.0
cvqru4pculp62aosiknwaddmq4lif55b,42.0,2.0,15.0,4.0,29.0,13.0
cyso24wiagdcul6vf2q5ocpcmnhf6fgw,35.0,1.0,2.0,13.0,58.0,6.0
d2t6qdljrc6bdkt4dkpd3w7jlbuubbm6,66.0,2.0,4.0,4.0,83.0,13.0
d55yzieybe3jh2duetfx2boer7kwoqn6,64.0,0.0,9.0,7.0,68.0,12.0
d6fuatgozsljzb2b4gj3j7g3e2m74ixj,43.0,0.0,10.0,3.0,11.0,12.0
d7u7mtzzqlcbd5yjnfw2ehwdkl6barcs,14.0,2.0,12.0,13.0,79.0,4.0
db55qaw4omjsalud6nsygpy3wjxiwvmu,12.0,2.0,14.0,4.0,46.0,2.0
dela6mfaucynwyrxlajzmzoucwxotf3y,35.0,2.0,11.0,11.0,29.0,0.0
dfohlnufvzziavigwqkuoj6gcejsvijc,11.0,1.0,14.0,13.0,37.0,6.0
dicrr4vmmldfmbskrfncu3cjhmaeemhe,43.0,0.0,2.0,13.0,67.0,12.0
dk2tcbhbj7ka27rph3klj7xlhipt4brj,12.0,2.0,12.0,13.0,3.0,0.0
dmgr3nk3kcv3ctqur27lt5kg6l7d5wbp,24.0,1.0,3.0,13.0,41.0,5.0
dmi52ebcsdesg22sqxwbinv4ebagkp5s,25.0,0.0,13.0,8.0,79.0,12.0
dmraho3x3lozdmbjd5ah4e7ovyvwjpfd,39.0,2.0,7.0,6.0,59.0,13.0
dnoan2i3vxw2k4zoohfgjcuxuz4z2vw5,67.0,2.0,17.0,10.0,76.0,0.0
doqob6uvrqp577po6wt3zkl42wk5iaxj,9.0,2.0,3.0,9.0,6.0,0.0
drqskdoux22gjfpideb6v45q6mqyizko,66.0,1.0,4.0,10.0,63.0,5.0
dshddomza6jlm62vgmmkpimnfu5fzsgn,60.0,1.0,14.0,8.0,61.0,6.0
dskouy3vo7q23x4vg5rwxl3w5n263uqy,49.0,0.0,9.0,3.0,61.0,9.0
dtq3dcm3rqsu7spum35cniijgovjw6t6,31.0,1.0,15.0,0.0,32.0,6.0
du2ki6au2g4m76b3ezwysyknqynflymc,50.0,0.0,9.0,8.0,61.0,9.0
duthhmp2iks3ryekc6noxkdsq2k4m2ig,45.0,2.0,5.0,13.0,0.0,1.0
dxe4kuuypeevptjekbv7b5mfoaxhc4o6,0.0,0.0,3.0,0.0,49.0,11.0
dxepv6tdobgx3pgdkneae3tyyyx3pn6k,23.0,2.0,16.0,11.0,56.0,0.0
dyhrzagsiuqnznwdq43i2o5t2sv7xyc7,1.0,0.0,13.0,3.0,18.0,12.0
dzdkmvtc7huusffpdddaf727fldvfwea,58.0,1.0,12.0,12.0,26.0,6.0
e3plqaqcab2otz66mloivcqmzu7w6jok,22.0,1.0,19.0,1.0,84.0,5.0
eadjeri4pugpjbxoxnyh4peyotlvbqho,21.0,2.0,1.0,16.0,13.0,13.0
eetk4z26c5ihrkxkjaodu7uc6fwlljjo,56.0,2.0,9.0,11.0,44.0,0.0
efpso6s2cuemjp4vipj2kpcmbutz2alo,22.0,0.0,0.0,9.0,69.0,8.0
elwgfk6dqwh3qzmpgfz3n22qh2rhquo7,12.0,2.0,8.0,11.0,82.0,4.0
eu3ce46rfh2rempyrpo4ezi2j3zpufct,69.0,1.0,19.0,1.0,32.0,5.0
eu6mql4chr45xt25vmszqkpylju6vfoz,59.0,0.0,9.0,10.0,56.0,12.0
euixuizw4zz63psle2yvip3escr3bmft,20.0,0.0,7.0,12.0,51.0,11.0
euuu26v4hh2xbv4czxgc33jo7y3tt4p7,49.0,2.0,17.0,7.0,82.0,0.0
ew2zbypf6tbr7vqmuwwhtvpgmhylscpe,44.0,2.0,6.0,13.0,75.0,1.0
ewdbslg4cgbibwzlz73psc6haj6pc2hz,36.0,1.0,17.0,8.0,62.0,6.0
ewpxfxganb62xlw7xw6us4xmdjrjpuau,11.0,0.0,1.0,4.0,32.0,10.0
f5hjt7x364yk2ntwxxbxieuaunpp2aem,23.0,0.0,17.0,13.0,38.0,7.0
f7ifamowxr5nunoygw6h57wpss26ipuu,50.0,2.0,3.0,6.0,43.0,0.0
fcvxcra734lrcehefmxjnxwgahkmd4zb,31.0,0.0,14.0,10.0,15.0,12.0
fpgsyhxdtp4gh7g4clkkexg54cg4vl3x,54.0,0.0,16.0,3.0,79.0,10.0
fpyyssp6syh4arsywdvsm767fhx6txa4,57.0,2.0,7.0,11.0,29.0,0.0
frlkrdvb46dvu5nbkrrjrgcityfugh5r,42.0,2.0,12.0,4.0,45.0,2.0
ftsx5k45imipwfjgtgv7oj7snmuaat6j,55.0,2.0,5.0,8.0,84.0,4.0
fuwlz3lqd6m5gxcynamuqjrowqseqqga,7.0,2.0,20.0,11.0,17.0,2.0
fxewxddl24eaislheol7shkfvfhmyvgb,7.0,2.0,15.0,3.0,82.0,4.0
