,mercury-version,cmake-version,boost-version
kvdoupflywz6tm4ubv3tae4lzc5f3g54,0.0,56.0,6.0
kwu3vxnuusfjtp5m64wvicnbuivyowy3,1.0,60.0,19.0
kxeovzc4arl4bzofjmgipxtttdd6wm57,1.0,8.0,24.0
kxvd5xknrhluc5v5eqqqxmypygofpiut,0.0,44.0,30.0
l26wixbuw5sodxidghrhqihlkrcbeqiq,5.0,50.0,12.0
l2gp3eq5f3ms2fzqxtbcg6ry2o5dj32z,6.0,83.0,10.0
l35ygp4sfetvgtjc7fuukqt326rt4kgx,5.0,21.0,26.0
l4s6pouoqqlt52c5rcafh2w5li422sjv,4.0,24.0,28.0
l6ajcjayte5lgdomfwzqbexzay2absbz,1.0,19.0,5.0
l7wtspemphodya7miwvza3ongrpcf3th,6.0,76.0,7.0
lb2fxxravfzylkknbhp5gmmuiy6d5krz,3.0,32.0,10.0
lb6udi2vydw6eihxqdn5z6zehwxoiyqo,2.0,30.0,2.0
lebn6fz7anirndew7gsrmobexuzabkgl,2.0,46.0,21.0
lei7gublgr6cmalmvxzodmod5lkf43ep,1.0,64.0,28.0
leone6asqiiaz5fraiiwor72s6n3r7ty,3.0,61.0,5.0
lg374znjvrfekqcbzydkjp4vjdpk3afu,0.0,88.0,5.0
lgjmhl5nn5p2qnxzzjotyefwlqwpnanp,6.0,53.0,17.0
lhuyiazfovuetdnox4fsa3ospecf6h7x,3.0,27.0,12.0
lon5zzh7jguyux3nubk3aenqmknm77ey,5.0,61.0,21.0
lozx3nby46zmxagujnqckr3vhd2sxnxm,1.0,97.0,17.0
lrhp4dcyr3vph3rm4urfjy7xbzrrikma,0.0,70.0,23.0
lrwzd33422m4zdprpgqqd7wsy7ajkwtd,0.0,21.0,27.0
luzgpz447ddyyt6x3mcso6vazjupcym5,4.0,49.0,20.0
lyifx2awzshxpigf2bbickddkvse5rro,1.0,13.0,14.0
m4fjpmiz3ep4yqfyhdbze4ib5nvg6vd2,4.0,65.0,18.0
m4h3sfafewkzh7spnhkh6suoatkd2mc6,1.0,20.0,8.0
m4rc3krvfcz7yhjufb5ruiw6ochi2mcf,1.0,54.0,12.0
m7xmhfhnm7tjselne7ff6dtp7sgzy5ut,4.0,85.0,4.0
maqsx5evf2arlid56ijoej36klbl27ir,0.0,75.0,9.0
mbfz34egm57cdoe2nq2vfapgljsu4gbh,5.0,57.0,13.0
mbhclted77nvcap27itunh6iqdwtcslr,2.0,20.0,16.0
meja2nwcxvtor2fflwoueo2whmvk6kse,1.0,34.0,20.0
mgwtxdtmlgqwsxcmisj3ebpj7j2yu32u,4.0,78.0,7.0
mhfwi3hg3uazyrkpmiotmqm3aaesczty,1.0,78.0,2.0
mogcavmieoe5ie5xj6ihnmnzmy5chv46,3.0,90.0,23.0
mom6ta7q65j7gzkwjcyqccwt6mqvsq7c,6.0,79.0,5.0
mpzapnnzfdhud3355prvm6jrtqkhrzxa,1.0,1.0,4.0
mqmkb6kcdv3lcm5hmjfjqubz7qgqylum,1.0,46.0,6.0
msyr6lxfqpp3fw6relyjtpva6xdoorpc,6.0,71.0,4.0
mva4sxy34eluauzlosxvyv6ny2dhvcu3,6.0,8.0,15.0
mvfucjhe4uri7b4evs6xwxq4zz6pqctf,0.0,66.0,5.0
mwmvudgeqyemj2phnwao54hlalx6t6jq,1.0,74.0,18.0
mxr7d6lm3tixd4lvwqlgv4qdd7woxymm,2.0,7.0,14.0
