,libtool-version,autoconf-version,sparsehash-version,sqlite-version,bwa-version,automake-version,abyss-version,boost-version
cvurwakos2r3hfjivdhjw2vc3zrq43ut,2.4.6,2.59,2.0.3,3.26.0,0.7.12,1.16.3,2.3.1,1.71.0
dbob4247qsfdfa3xqeipmoor635nuhub,2.4.6,2.59,2.0.3,3.35.5,0.7.17,1.15.1,2.1.4,1.64.0
dnwtnuezz3yjnap7m4nnbskqwo7ve62f,develop,2.59,2.0.3,3.31.1,0.7.15,1.16.2,2.3.0,1.70.0
eac7ojiqjny23jxomufzmxdbvg7artd7,2.4.6,2.59,2.0.3,3.30.0,0.7.17,1.14.1,2.0.2,1.75.0
ele4olpu2qlcfhp2xuzc3igoydndqrgl,2.4.6,2.62,2.0.3,3.32.03,0.7.12,1.16.3,2.2.5,1.73.0
eqbrt4qt74dr2ylwlwac6w6ouz6wht5y,develop,2.69,2.0.3,3.30.0,0.7.17,1.16.2,2.3.0,1.50.0
etkfoq6tiiy3evm3jmnf4ixfr5cmy2gf,2.4.6,2.62,2.0.3,3.27.1,0.7.13,1.16.1,2.3.1,1.69.0
exjhg3ltvzwxzsf5s72bnvypn7fzuzfr,develop,2.59,2.0.3,3.30.1,0.7.17,1.16.3,2.3.1,1.69.0
fj73ejpzom34df35yxrhqlsj46dhwp2p,2.4.6,2.59,2.0.3,3.30.0,0.7.15,1.16.3,2.2.5,1.53.0
fmlpzysekmzpuvbg4hbxcmxxdkswlxk2,2.4.6,2.59,2.0.3,3.30.0,0.7.12,1.16.3,2.0.2,1.67.0
fx7j5a2txeqwzxedrzpapnfvsx6linz7,develop,2.62,2.0.3,3.30.0,0.7.12,1.14.1,2.3.0,1.55.0
fygjepevbbv3na6oxk666fs6cjr2i5q3,2.4.6,2.62,2.0.3,3.27.0,0.7.15,1.15.1,2.1.4,1.65.0
g7elyhatbvypanhcueptjzjwru4a2num,2.4.6,2.62,2.0.3,3.27.0,0.7.13,1.15.1,2.2.5,1.70.0
h2dh36q4pj5dp2w3do6wlpowji3frcfo,2.4.6,2.59,2.0.3,3.30.0,0.7.15,1.15,2.3.1,1.65.1
h2ypqtv6wohm2xgay6g7m3mys3q76ne5,develop,2.59,2.0.3,3.27.2,0.7.15,1.14.1,2.3.0,1.70.0
hashx27u5fwsa6wpq2ocwv5q5vshcjpe,2.4.6,2.59,2.0.3,3.35.3,0.7.15,1.13.4,2.3.1,1.62.0
hkyrkpspdbzonbbyjczuvzked37pujpc,develop,2.69,2.0.3,3.30.1,0.7.13,1.13.4,2.3.0,1.63.0
i5nk5kd472et3nvw3mx6jikb6wgxszxq,develop,2.59,2.0.3,3.35.3,0.7.15,1.15.1,2.0.2,1.54.0
iach3idwvnnublf4rpd272p5pamtyvkl,develop,2.62,2.0.3,3.34.0,0.7.13,1.14.1,2.3.1,1.73.0
iaeeelw5mavunqdzepl36haq3jbnmi35,develop,2.59,2.0.3,3.35.5,0.7.15,1.16.3,2.0.2,1.76.0
iducr4eoxlkurgo4ooe4w2qo6dkedztg,2.4.6,2.59,2.0.3,3.29.0,0.7.12,1.16.3,2.3.1,1.57.0
iiah26ujifya7mibzqexrmg752zhzo54,develop,2.69,2.0.3,3.27.0,0.7.12,1.16.2,2.1.4,1.76.0
j7qe565p3zqkmuoprhx2tphp4qctyviq,develop,2.59,2.0.3,3.34.0,0.7.13,1.15,2.3.0,1.66.0
jhkixedia4fm7d25fqkmu6ctlnqxhhxt,develop,2.59,2.0.3,3.26.0,0.7.12,1.15,2.1.4,1.62.0
kpfjw7xqwihgvsfx27ac6h6pwivjggkf,develop,2.69,2.0.3,3.27.1,0.7.13,1.16.2,2.1.4,1.65.1
kqpupr22ieszn4buev6x33zqhcjbexiq,develop,2.69,2.0.3,3.30.1,0.7.12,1.14.1,2.1.4,1.67.0
kqt2qhkl4jrefflx5oiy4mjr5wt74nqm,2.4.6,2.62,2.0.3,3.29.0,0.7.13,1.16.3,2.2.5,develop
ktq5q7g2h2eotc5kqonndhchud523d6o,2.4.6,2.62,2.0.3,3.35.3,0.7.13,1.15,2.3.0,1.59.0
kw45fa4n5c5gavas6t3ytidco2oxk7oh,2.4.6,2.62,2.0.3,3.30.1,0.7.17,1.16.2,2.2.5,1.75.0
lq6yjpon6fa33rvllctdvfc7m4y5cule,develop,2.62,2.0.3,3.27.0,0.7.13,1.16.3,2.1.4,1.70.0
m5tnm2ffmgbxn3hbjpxplcl2gldsaerh,2.4.6,2.62,2.0.3,3.27.0,0.7.17,1.16.3,2.1.4,1.68.0
md33gg4rkcdqx3emu3qvo6secoh7q5cr,develop,2.62,2.0.3,3.27.0,0.7.13,1.15.1,2.0.2,1.76.0
mjf7tvwbd7hqelpbun4gtnr6dktmhvg5,develop,2.69,2.0.3,3.26.0,0.7.13,1.13.4,2.1.4,1.64.0
mshnkqmnk3bldlbvx3tmqlygznghd265,develop,2.62,2.0.3,3.30.1,0.7.17,1.15,2.3.0,1.75.0
mwjfoxh3coayljk6dgndazgldkccq46m,develop,2.59,2.0.3,3.29.0,0.7.17,1.16.1,2.1.4,1.70.0
ndwfstyoaq4rdsqtpxbslkqb4ugwguap,2.4.6,2.59,2.0.3,3.27.0,0.7.17,1.15.1,2.0.2,1.76.0
nqqjuo5wwe65y6uqlgmceyrjofa3wo53,2.4.6,2.62,2.0.3,3.30.1,0.7.15,1.15,2.3.0,1.66.0
o7xxy6tx2v3ggru6fbc26vug4uadzibw,develop,2.59,2.0.3,3.27.1,0.7.12,1.16.1,2.1.4,1.71.0
oatcyn5v5udeethtq64b7oxmbs535oyh,2.4.6,2.62,2.0.3,3.29.0,0.7.13,1.16.2,2.0.2,1.73.0
oe6yn54naccpte6vh3hyf4qdwu6ca5gi,develop,2.69,2.0.3,3.27.2,0.7.12,1.13.4,2.3.1,1.63.0
om7ocbbtfma6jjjeweyfxx3tmfjmlln5,2.4.6,2.69,2.0.3,3.27.2,0.7.15,1.16.2,2.3.0,1.59.0
onqgzifwnodooenw23nt6zgjucsspkyl,develop,2.59,2.0.3,3.30.1,0.7.15,1.14.1,2.2.5,1.62.0
ouo6ri2rirdxdua32b5khxgbbcvgelbn,develop,2.62,2.0.3,3.30.0,0.7.15,1.16.2,2.2.5,1.66.0
pn7nfbnzvxnxajkytaxwp7ywlkdq3nav,develop,2.62,2.0.3,3.31.1,0.7.12,1.16.1,2.3.1,1.67.0
ppwbvuj6g7wm6p2aqwcbou5ca7hbayjq,2.4.6,2.69,2.0.3,3.27.0,0.7.17,1.16.3,2.3.0,1.55.0
pxvk5ww43jwntddsledqbkupkncl7g4w,2.4.6,2.69,2.0.3,3.27.1,0.7.17,1.13.4,2.1.4,1.67.0
q6wkxuoaxgecfzcexnc2ni7oolviahaq,develop,2.62,2.0.3,3.27.2,0.7.15,1.14.1,2.1.4,1.67.0
qddrls5zjys6uu3gbcy3twuerrangpbb,develop,2.59,2.0.3,3.35.5,0.7.17,1.16.3,2.3.1,1.59.0
qgar6xkqti6oupgu2vzidciwlseiwyfn,develop,2.59,2.0.3,3.35.4,0.7.12,1.16.3,2.3.1,1.67.0
qoove4js4jd35c7xlg4vj77fdavw5v6f,2.4.6,2.59,2.0.3,3.33.0,0.7.17,1.13.4,2.0.2,1.70.0
qqxqejzocwc5zf6ej2omjtg75z6hhzhk,2.4.6,2.62,2.0.3,3.32.03,0.7.12,1.15,2.0.2,1.62.0
qxzvj7jwktpjxnoqt63phb3accbo2t67,develop,2.69,2.0.3,3.32.03,0.7.12,1.16.1,2.3.1,1.50.0
r2tx3mdmldkccw7xog2n6wdwi2c7efzw,develop,2.59,2.0.3,3.32.03,0.7.15,1.16.1,2.3.1,1.55.0
rc7mdqsg4jlxmkdltjy6vk4dlnsianva,develop,2.59,2.0.3,3.28.0,0.7.12,1.16.1,2.2.5,1.67.0
rtk6ww2r4tl52x2she26cvbilc6wb75y,develop,2.69,2.0.3,3.27.1,0.7.17,1.15,2.1.4,1.75.0
rv3gtkums6ykruntovos3hzkorurz4yn,develop,2.69,2.0.3,3.26.0,0.7.17,1.15,2.3.0,1.53.0
s2l5hckm2ddgytlmhfzmlplzgkrjthk6,2.4.6,2.62,2.0.3,3.28.0,0.7.15,1.16.3,2.3.1,1.59.0
s3vaq5v2eh4zhmrcwl5qbocvjb7jh5eh,2.4.6,2.69,2.0.4,3.36.0,0.7.17,1.16.3,2.3.1,1.77.0
s7aiewci2dhafmsfvg6m3fb2kkpiu6pj,develop,2.62,2.0.3,3.32.03,0.7.12,1.15,2.3.1,1.75.0
sdvmgzpiygx2iu2ufsepeffqx6m3car7,develop,2.62,2.0.3,3.31.1,0.7.15,1.14.1,2.3.1,1.57.0
sjshlezsjmjxwbjlfhaqxd2rdego65ld,develop,2.69,2.0.3,3.35.5,0.7.13,1.14.1,2.1.4,1.76.0
so7zbevsl5l4y55fdsyf4ok4faiyeujh,develop,2.69,2.0.3,3.28.0,0.7.17,1.16.2,2.2.5,1.59.0
sp55mzt7kkvhi6jkiwgjzagteveox6nf,develop,2.59,2.0.3,3.27.1,0.7.17,1.13.4,2.0.2,1.57.0
stbpel5bjaz5sscgmq46ggchkt5qdi75,develop,2.62,2.0.3,3.35.3,0.7.15,1.16.1,2.3.1,1.62.0
swm4luczpwdjv3xrfigdhcogthqsfjce,develop,2.62,2.0.3,3.26.0,0.7.17,1.16.1,2.0.2,develop
txyhpmuy33e65wujqnsnev54xzogovas,develop,2.69,2.0.3,3.27.1,0.7.17,1.15.1,2.1.4,1.71.0
tyqyxk3wkyzgq4pxhdet73regxo45jrt,develop,2.62,2.0.3,3.28.0,0.7.12,1.13.4,2.0.2,1.76.0
uhnjrmogm3zk7nofvnc2hqcdbji3waof,2.4.6,2.59,2.0.3,3.29.0,0.7.15,1.16.3,2.1.4,develop
umujn3slsn2jt4gwyluhatloo34uewia,develop,2.69,2.0.3,3.35.3,0.7.12,1.16.3,2.0.2,1.73.0
vaynwe7s2e27phllf2jdtdiuo5ljgqkw,develop,2.69,2.0.3,3.34.0,0.7.15,1.16.3,2.0.2,1.70.0
vmz2rvaiemxowynoc726njxdob2xn4zw,2.4.6,2.62,2.0.3,3.32.03,0.7.17,1.15.1,2.0.2,1.76.0
vnccwajq4vontl2becopbv452acyo7mf,develop,2.62,2.0.3,3.34.0,0.7.17,1.16.1,2.3.0,1.67.0
vuyosvkqta6uvcr35qkrxnsuwds5rjh7,2.4.6,2.59,2.0.3,3.27.0,0.7.13,1.16.3,2.1.4,1.55.0
w4nyknlit5xl5k65hogalbooyyfliqn3,develop,2.69,2.0.3,3.33.0,0.7.15,1.16.1,2.3.1,1.76.0
wlrhdk4eajvna4awro5ctrjyfgyqbkii,2.4.6,2.59,2.0.3,3.27.0,0.7.12,1.13.4,2.1.4,1.65.1
wvamcuce52goko34eg2ljqiild7wtf3o,2.4.6,2.62,2.0.3,3.28.0,0.7.12,1.15,2.0.2,1.59.0
wvzg5w2rag47rfxuxtq5okk2nnlm2wnl,2.4.6,2.59,2.0.3,3.28.0,0.7.15,1.16.2,2.1.4,1.57.0
x77y3bawmcnfvhyts5vrtnuoempy2dmm,develop,2.59,2.0.3,3.35.4,0.7.17,1.15,2.1.4,1.55.0
xei4eoe2qgdoen56seaprmpeiibf2vf2,2.4.6,2.69,2.0.3,3.27.1,0.7.12,1.13.4,2.2.5,1.74.0
xjcm42xdzbxjg44igm5x6rfhxvwamv66,develop,2.62,2.0.3,3.26.0,0.7.12,1.13.4,2.3.0,1.71.0
yjdztlhu2httcnwxeda6eg5xdxnrrlji,2.4.6,2.69,2.0.3,3.27.2,0.7.12,1.13.4,2.2.5,1.59.0
yq3l5ezh64rmuprtdrj7njxnljya6l7g,2.4.6,2.69,2.0.3,3.35.5,0.7.13,1.15.1,2.0.2,1.57.0
ys4uj4d7kcmuze4epdlesyz4jfdppiqo,develop,2.69,2.0.3,3.31.1,0.7.13,1.15.1,2.1.4,1.61.0
ytctgjmxywx5cmpm4d5uaeeo4snjaejd,2.4.6,2.62,2.0.3,3.26.0,0.7.17,1.16.1,2.1.4,1.61.0
yuudtjbfjqrluco4pmcojvejt7fsib4y,2.4.6,2.69,2.0.3,3.27.1,0.7.12,1.14.1,2.0.2,1.69.0
yy7ycwngb2x3tpaysoarhn4vq3juxsvm,develop,2.59,2.0.3,3.27.0,0.7.13,1.16.3,2.3.0,1.65.0
yz34niwhvafdyus2keldj6ymks7ify3m,2.4.6,2.69,2.0.3,3.27.2,0.7.13,1.15,2.3.1,1.65.1
yzrkqmisaq74qygdg5mygd7b7zmalm64,develop,2.59,2.0.3,3.34.0,0.7.13,1.15.1,2.2.5,1.65.0
zifel4scqxnjlikogbyp3kmg5ozzcusp,develop,2.59,2.0.3,3.35.5,0.7.13,1.15.1,2.0.2,1.54.0
2jzcy4dgbp2j2xjweeu5vzl6hzibxngn,develop,2.62,2.0.3,3.30.1,0.7.13,1.16.3,1.5.2,1.54.0
44dc3fwdz3qllxvzyz2npd6vmx3m7bj5,2.4.6,2.62,2.0.3,3.35.3,0.7.12,1.16.2,1.5.2,1.54.0
5bwbnuz7bc4ahhvccrgbh2ha3r62afqd,2.4.6,2.59,2.0.3,3.29.0,0.7.17,1.13.4,1.5.2,1.55.0
boffww47kgbrc64o525mxcnzy4prr2br,2.4.6,2.69,2.0.3,3.35.4,0.7.12,1.16.2,2.0.2,1.64.0
cbc7fmfciypernh7gzqgfobtyamwz4ri,develop,2.59,2.0.3,3.30.1,0.7.17,1.16.3,1.5.2,1.54.0
clko4vf2yoqixvb3ldhojrlz5fsahusv,2.4.6,2.59,2.0.3,3.32.03,0.7.13,1.16.1,1.5.2,1.55.0
evppnzl3lblgnoigofaukcp4lmzyp6yy,develop,2.59,2.0.3,3.34.0,0.7.17,1.16.3,1.5.2,1.56.0
fm3pwpetq4b7s4qmqxdtf46vs2yfufb3,2.4.6,2.69,2.0.3,3.35.3,0.7.13,1.15,1.5.2,1.57.0
g3jbo2ouwhkpsutpxvd6a623tbcqvo3z,develop,2.69,2.0.3,3.30.0,0.7.13,1.13.4,1.5.2,1.54.0
hywjdlnc4h5zfwyp7g2wcerp4fmd5ygt,develop,2.62,2.0.3,3.32.03,0.7.17,1.16.3,2.1.4,1.69.0
msa7mc4f6nyzuwosy7sqtjofrk6prslt,develop,2.69,2.0.3,3.31.1,0.7.15,1.15,1.5.2,1.50.0
o64tdkgueih5i2y35whc6gjw273jmnrl,develop,2.69,2.0.3,3.31.1,0.7.13,1.13.4,1.5.2,1.59.0
s6n4qxv6rij7tqpi7kqpfcen7uqryumy,develop,2.69,2.0.3,3.34.0,0.7.12,1.15,1.5.2,1.56.0
xm4u743r3dkrp6urlyvmjbda7h7t4r33,2.4.6,2.69,2.0.3,3.31.1,0.7.13,1.16.2,1.5.2,1.56.0
xrbmsdn2sp3zk33ctzfjkhrm7obn5csb,2.4.6,2.69,2.0.3,3.35.5,0.7.13,1.16.1,2.0.2,1.64.0
xtyutksc45mwadvc6y6rpzxdjbdyeqzc,2.4.6,2.69,2.0.3,3.35.4,0.7.15,1.15.1,2.0.2,1.64.0
zv22gkobwymqu2ob5igl7av5nml7qgqg,develop,2.59,2.0.3,3.31.1,0.7.17,1.13.4,2.3.0,1.54.0
