,python-version,gdbm-version,upcxx-version,libfabric-version,mpich-version
drkytlffmpzv7rk77j6xqxppp3r6olcr,57.0,0.0,2.0,2.0,2.0
ds3nsvr73sf4peduhcfsotxpyz45zola,52.0,0.0,2.0,2.0,2.0
dx3cawmoljqsbo4ikw7ghtdba7uw6lgg,30.0,0.0,4.0,0.0,10.0
eaat7czyytkh4ezwxsskl45dzg3jhe35,19.0,1.0,4.0,1.0,6.0
eaedmes73di6flnk64dchf43jtsx363q,18.0,0.0,7.0,2.0,3.0
eatz2ub6nywptxpx45d43vky3z4tusrw,18.0,0.0,6.0,2.0,0.0
edeze3ochmwnrshxhwtbr3rsuo37c4pq,19.0,1.0,7.0,2.0,4.0
ee3glkdfi5qo5pkxpvv5rhilc66k4pui,34.0,0.0,7.0,2.0,2.0
eeh6tvnd5pjznvdkclytv2inf3yqbmiz,56.0,0.0,6.0,0.0,11.0
egzl7cty3mlngvlyx6on7l7mx2aztrfo,50.0,0.0,5.0,0.0,10.0
eiz4hdnprpjvysoqiclvv5i2v6dbkszu,32.0,0.0,3.0,2.0,1.0
enqp3vai6avuefcxyujnggko5wmyto4z,67.0,0.0,5.0,0.0,7.0
eo3rkwzgmn7b4qk2wq5tkmdmj7cjuhbq,36.0,0.0,4.0,2.0,1.0
eprnb3hpiceefhmihfkpcltemdbdlxc2,1.0,1.0,6.0,2.0,2.0
esogj2fshwu76pjgewzqeshxguzuhdkh,13.0,0.0,3.0,0.0,9.0
et4wwt3dc2wf6lcdibg2dznf5hsq7uub,19.0,0.0,5.0,0.0,8.0
etd3jc2zk2n6yb6nbkuqxvfbvrcntjpk,66.0,0.0,4.0,0.0,11.0
etgulelta4dlhfsjyoduw2rjkjuavhdg,43.0,0.0,7.0,0.0,8.0
eu3sm233gydgshvlpsxaui6m5izylirf,0.0,1.0,8.0,0.0,12.0
evsozlxmzek7kzm3e4cg2mmkftixdkkt,53.0,0.0,3.0,1.0,6.0
f34a2imtxigcaz4jl5h4lz2olo47bccs,69.0,0.0,7.0,2.0,0.0
f4pashuz2nidyqq2hos5nn2jcbvifhdq,61.0,0.0,7.0,1.0,6.0
f76vtmsddqeg67a3szhpb4n3kdweq5rq,46.0,0.0,5.0,0.0,11.0
f7ojc33x6ofs5xqpfxxuile3cghi7qnd,60.0,0.0,7.0,2.0,1.0
f7w2j2ozhjuvehq5heju5es2fu5ogzkm,64.0,0.0,5.0,2.0,13.0
feqlev4phfagn66ggud6gizgqzzturue,16.0,1.0,3.0,2.0,3.0
fgx4hretnkll3nictakequehyt32fosq,35.0,0.0,3.0,0.0,8.0
fj2raoece2ecgqvahpg7rfw7jjaragow,30.0,0.0,6.0,2.0,0.0
fkl2mlxr6wbds5iusi7vmilhvnc6j6om,26.0,0.0,4.0,2.0,1.0
fljdcx7mfrtjirftjectggwxv2xstdrn,23.0,0.0,7.0,2.0,3.0
fnwcfckqcqscfixoxveuk3en3hdm4bmn,24.0,0.0,2.0,2.0,4.0
fqs35onq7dybsijh33vpildbwcgf7nxv,63.0,0.0,2.0,2.0,2.0
frzlmszkyxfztno4fr5w42clljnywvnj,3.0,1.0,7.0,2.0,4.0
fsz4a7lgkrrhubdkh3vrsxdy7ioofxg7,42.0,0.0,7.0,0.0,12.0
fu3y6nsyiftl7exj3mbuklieejj4jqjc,56.0,0.0,5.0,1.0,5.0
fuuyi55f33mefqn35xchh5lvwplmcqdx,12.0,1.0,5.0,2.0,2.0
fzyqvf543muzzsvm3tzk7pb6hfax6z3a,63.0,0.0,4.0,0.0,7.0
g2fs6gazpywbxhwi4qxlgj3bzinw656l,29.0,0.0,3.0,1.0,6.0
g2yj57b7z6yesayu6vfnkmni4hzz3a2k,10.0,0.0,6.0,0.0,7.0
g5jazfxrxgdbzljb2ld3fu5klmvq5js5,27.0,0.0,4.0,0.0,11.0
g6uckxzd2llylugvv4lnhdnpy43iktik,69.0,0.0,2.0,1.0,6.0
gasoppjozqycvzvhc45hwz2oxbywilpp,62.0,0.0,2.0,2.0,1.0
gbewfrwlfbakp7qmy6g5fknlvkpckgfm,33.0,0.0,4.0,1.0,6.0
gcs3wzvq7r6sv2wrwp6bfmnoz2ywtsqe,46.0,0.0,2.0,2.0,4.0
gcuc3t5yiuotsgg4z4fjrl6jz3b37jqb,4.0,0.0,4.0,2.0,1.0
gcz2m2feauujmip6pbv7eadvnqnmfffw,18.0,0.0,4.0,0.0,9.0
gegvklbof6anydf3qabcxip5txweuhdp,35.0,0.0,3.0,0.0,10.0
gfcwi5mb7t3mstiowheijpzz4xkp7zpg,42.0,0.0,7.0,0.0,8.0
ggkb3atmwuhajlomdjvtscmjewyptdmv,19.0,1.0,7.0,2.0,0.0
ghgi55li7ixt4mtombqih2wr42xnt4v3,30.0,0.0,8.0,2.0,3.0
ghr32ftrbasrsqk2wdtacsg2dunbnwci,38.0,0.0,7.0,2.0,0.0
gjgnl3csdu5joftvpobtr4yc67kkq6df,23.0,0.0,8.0,0.0,9.0
gjzhlv3u2mn5kgdpssqvevy6t5jb3gvl,36.0,0.0,7.0,0.0,12.0
gkrxf3iig6z3iudjhaw4tfhp6subcj3r,35.0,0.0,7.0,2.0,1.0
gnzo36p2v4opef2rggyqqxzd3hj7vtg7,16.0,1.0,7.0,1.0,5.0
goexhr5gj3fkctsopuhrmyarxupbydfs,36.0,0.0,3.0,2.0,4.0
golhxciniutk5dhdtlnujwsp4ahbhxto,61.0,0.0,4.0,2.0,3.0
goyac5ekpn2r3dphadgcyi6h3cj2vq5w,47.0,0.0,4.0,0.0,9.0
gpksmzjrtvwoaqe7kfhozwbjyxkbj7bz,40.0,0.0,2.0,2.0,13.0
gqtqu5pkomjc5rb5fmsdtte45ilgyqa5,67.0,0.0,6.0,0.0,12.0
gqua5hhkrd2wv7bodemfq62demutatpx,31.0,0.0,2.0,2.0,1.0
gstblbx4t53kibcrrqxo2rs4vtzdzun5,32.0,0.0,7.0,2.0,2.0
gupk42irunjrz52pe6tmffir6frdzios,44.0,0.0,2.0,0.0,8.0
gwgs2zvgevwgxnferktcxxtsmms7lvex,72.0,0.0,7.0,0.0,9.0
gx5kbswv7sepcqecq4kg7sqzrfex26mn,58.0,0.0,8.0,1.0,6.0
gypgmomf7v6yhk4u2c23tuelbydurcag,72.0,0.0,2.0,0.0,10.0
h4sa2xa3dcoo6vhhpkhgckxgxtzvpyf4,0.0,1.0,3.0,1.0,5.0
h5b3rq32ftelyxigksusxqwbj4boapu5,53.0,0.0,8.0,0.0,8.0
h5q376w2rpx7yl4wl2yopozgw2lh4uef,71.0,0.0,5.0,0.0,10.0
h5vdtg7qectivnsoem7khie5nabydcyd,29.0,0.0,2.0,0.0,9.0
h6zwukzoqdsum2ixwsjxwhdqhwpd3omv,41.0,0.0,2.0,2.0,3.0
h7wqyssr2cd2iuycd4gg4z43meciwwan,41.0,0.0,2.0,0.0,8.0
hb63csdph2m56ffjjct4zmtc26qh2vzz,27.0,0.0,4.0,2.0,3.0
hf5sqkbpjfzu4jwrcjxyzj35322fvacn,22.0,0.0,2.0,0.0,9.0
hggo2psknlq53byi3wg6rh2xtumumqnb,42.0,0.0,5.0,2.0,13.0
hgvojjljhet45hla37qofdelmk3poyud,30.0,0.0,7.0,2.0,3.0
hhpyw7alsawb4364luh5jydddk24lvou,59.0,0.0,6.0,0.0,11.0
hhzffg7hi7eykmdhva4snc7k5wdxnuo4,22.0,0.0,6.0,0.0,14.0
hjq5xvrcm4vprodcl4taquibjjbi6mom,19.0,0.0,4.0,0.0,9.0
hk3ly7jimjdroeffjjomz3gzye4orumg,2.0,1.0,7.0,1.0,5.0
hklskoac4bkglpa53j6byado3oc4hntt,26.0,0.0,8.0,2.0,1.0
hlbt3iaiycobdnejeojzyvhsrjws5bye,12.0,0.0,2.0,0.0,9.0
houacaoi377rcfs2dxrphvllq63y4kax,33.0,0.0,8.0,1.0,5.0
hpjdjy4yxe7kybkk3vnhwglyhws4xvc2,60.0,0.0,6.0,1.0,6.0
hq6nhio3pygtej222pg65rjqktjtjsao,42.0,0.0,4.0,0.0,7.0
hqufu6lc4ec3fpuxnkybmwoj25b2oc6f,2.0,1.0,3.0,2.0,2.0
hr2aul7jmtyontqiyz7pnbadbhljovrc,5.0,0.0,6.0,2.0,4.0
hrj7ftr7jz5yazkogumi57gb27kgbcws,56.0,0.0,4.0,2.0,4.0
hs3mto7fj5geyapo7zcjuwtvjxegz5ix,30.0,0.0,5.0,0.0,14.0
huaqbw5xubn26wsu6fuc2yypkx6je4sx,35.0,0.0,7.0,2.0,4.0
i25namrjzgk3utk3wdjq2ktryvdsivfz,34.0,0.0,7.0,2.0,4.0
i2d73whjqwbb6xu3ijqvjnpu67cbid46,24.0,0.0,6.0,1.0,5.0
i53g3fnxigphiha2odo2ywwdfhi2wdzw,20.0,0.0,5.0,0.0,7.0
i5ecgyi5io7inumse7chnhcvgjlsqdyn,45.0,0.0,7.0,2.0,13.0
i6hx2h5d2wox2dynneorek2jzximoghf,60.0,0.0,2.0,2.0,3.0
iaj3ragv2irxuo6mzipwqio66f24y6ad,13.0,1.0,4.0,1.0,6.0
ibehax4py2ev6ldpqua5ej5peo5de4hs,61.0,0.0,3.0,2.0,3.0
ickpi77my3ooupwrcfzkepkdco4sctwo,25.0,0.0,6.0,1.0,6.0
idn4vityunea3bv6tf57wlb7d4fqaa4e,45.0,0.0,3.0,2.0,0.0
ik2quqde62ylpcg3gwzmmiwqbvmqwx2b,53.0,0.0,4.0,2.0,0.0
ikyi3z44owc5szdizc54yswueo6hcc67,43.0,0.0,2.0,0.0,8.0
inmw74ozjo5mqjzrs2zq6j73yr2h35op,57.0,0.0,5.0,2.0,3.0
itkdk45scohkubfgjhw6pccu67oaei5q,10.0,1.0,5.0,2.0,13.0
ix44ye6rk2ptls6vzb6iqcwcmo36mmfg,70.0,0.0,3.0,0.0,10.0
ix4ohrbh5bquka6fdorzpp6syti47p6h,6.0,0.0,4.0,1.0,5.0
ix4qnyhhgvpjf3hamzexppiqgnzoz3xs,58.0,0.0,8.0,1.0,5.0
ixy4f6dte224sceclzji56j4iopv2oje,41.0,0.0,2.0,0.0,11.0
iygm7bktapeer53gzk6mm3tertyreg4v,68.0,0.0,6.0,0.0,12.0
iz6e7lhyr4b3tibe6eo4mkyl3cjmwqtv,10.0,0.0,7.0,0.0,9.0
j234igokj3ysliblxntpm23rvgh7groz,68.0,0.0,4.0,2.0,4.0
j3lfmpehrfcbgxq2knytiowg4ibo5pek,15.0,1.0,7.0,0.0,12.0
j5bexbxmh5hnxfryjnxvahozx62gnwnf,28.0,0.0,6.0,2.0,1.0
j5gkycortwrksvl6kjilvtxgp3ev2e73,24.0,0.0,4.0,0.0,7.0
j66vq4l5c7jnuttsveuzia5wdcsybrmv,60.0,0.0,6.0,2.0,13.0
j6hhhszfapkozp6olufqmzk3uocu6upm,62.0,0.0,2.0,1.0,5.0
j6iqbklv7zqbb7x5oigfe5fxm4ml5vg3,14.0,0.0,3.0,0.0,8.0
j6n4d3b4qbrvz62rfb3jdzpfmjdlptp4,47.0,0.0,8.0,2.0,13.0
jbt7wvbgergqxkoadfligat5pcnban7j,30.0,0.0,6.0,2.0,4.0
jch35gamrvh44yq4t7rjhaa62f2ys3j4,60.0,0.0,8.0,0.0,10.0
jeooj2xwbal5khw7lp7fnysrmsp623gd,36.0,0.0,7.0,2.0,1.0
jjcddilmu4muizmje2ezrann6dauisut,34.0,0.0,3.0,0.0,11.0
jjrgppgtoypugduljjevrcbm2bchq6ls,48.0,0.0,5.0,0.0,8.0
jm6pngycri3pqi7oilcv5dl4cz2t35xk,55.0,0.0,8.0,1.0,6.0
jmbk6uo55zyt3prrqn3vkik6zs5getsr,3.0,1.0,6.0,0.0,12.0
jmnydadpl5yuvmsqdbutm5ovjtomppbf,6.0,0.0,6.0,0.0,10.0
jnd7bgayad242fnatqla7zasch53ezm7,62.0,0.0,5.0,0.0,12.0
jotyca3pugnby2ku4qs653hswgwsml45,47.0,0.0,7.0,1.0,5.0
jue4p4ljxnw3piv5ywx3dztat564g6dt,19.0,1.0,4.0,2.0,2.0
juncvjujcagdi24vu6m3qexdbfhlious,39.0,0.0,3.0,2.0,4.0
juph22duwrk75wltpihkch6phnznp6ix,48.0,0.0,7.0,0.0,11.0
juqjjkluuin7cbxpd4pmwsxc4cxeoann,1.0,1.0,8.0,0.0,10.0
jw6lzsmprh57yt6imohzpgnt6atwnztj,72.0,0.0,8.0,1.0,5.0
jwymuzyxqsirrxsk624jhvaneefvhap3,43.0,0.0,5.0,0.0,10.0
jxhzjn4t3i5k62mns26kll7obp37pak7,15.0,1.0,7.0,2.0,1.0
jycuhkmjxc6tffd5qx4h76yuxvt23qpl,63.0,0.0,7.0,2.0,0.0
jyyy3tera5wqbn73ev7sew7hs7phfvd2,28.0,0.0,7.0,0.0,12.0
k2boxjkiayreocnejrneco56e6ree54k,69.0,0.0,7.0,2.0,3.0
k2mrackol4yci3q7qrorph54fmg7pdai,33.0,0.0,5.0,1.0,6.0
k54jvzrjkyfdgko5xi2haw7qlnblj32p,38.0,0.0,4.0,2.0,13.0
kakclssuixg4jj6tikt7ws33to6eqlqm,53.0,0.0,4.0,0.0,8.0
kc3z5zrknag5c3gwfzxhybj5wgzy4ccy,70.0,0.0,7.0,1.0,5.0
kecghbjusozbwtcnced52xrj27jnwqni,1.0,0.0,6.0,0.0,7.0
kfe7jipoiu62fq3aswtx76b5bh5i5bmp,47.0,0.0,7.0,0.0,10.0
kfmwldbtmuf45fz26tf7nc3wxfqkyoim,34.0,0.0,4.0,0.0,10.0
kglblba4kqdld4bmh5wubjghufhteauo,28.0,0.0,5.0,0.0,10.0
kjgaelbhtrzmexkxavmubjkjus5xrjhh,66.0,0.0,5.0,2.0,1.0
kklrttimvnmzwv6uu6ksjevspbuaeduq,2.0,1.0,5.0,1.0,6.0
ko7erqg2rlsuu47uvyryrelilejqqbn5,7.0,0.0,6.0,2.0,1.0
kor6e7t7zj6opo7xtdpaurgzhtalwdk6,28.0,0.0,6.0,0.0,9.0
kpshv2nmx6hef5bhoyyo2jz33hf3tip4,26.0,0.0,8.0,0.0,8.0
kqarklyykxk5mcx4xsuwrhxov2yafhwt,30.0,0.0,7.0,0.0,8.0
kqpo35dspxbjfgn6wcaurtq4hi6vurwu,60.0,0.0,5.0,2.0,1.0
krdpbkhiisl72gqrsc7afykjgujwlg55,68.0,0.0,8.0,2.0,13.0
ksieoiglmsnq3dbosthu3olavqox5r35,72.0,0.0,8.0,0.0,12.0
kt4f53g6sgegbwiaylujn7c77ijn4lkg,43.0,0.0,6.0,2.0,13.0
kt7ffc7lx5dkkgig4ucsobhk5bx2s37r,9.0,0.0,2.0,0.0,8.0
kvnwxrijaowxr3676vu4g6ygycywvwdr,22.0,0.0,6.0,0.0,12.0
l2z7hsg6ujyd7ap4ylohekc4k5i2ww4c,23.0,0.0,4.0,0.0,12.0
l366iazqgqliwkvldkjlbjwxehhwtuvf,27.0,0.0,6.0,2.0,0.0
l37ucg54uqzo3ozp6kigg7wiph3saz3r,6.0,0.0,3.0,0.0,10.0
l3gy66z5xys63c4p3zgiaspl7pgojqrp,70.0,0.0,2.0,0.0,11.0
l3sc4tfmfzowv3t7q37opwwuho6xs7fq,10.0,1.0,3.0,0.0,11.0
l4b4hq3zuafbzkp4rszhgiwa3ntxmunw,33.0,0.0,6.0,0.0,11.0
l7w3agqamoiznjrmcrksexw3rbsy36nd,50.0,0.0,7.0,0.0,12.0
lanc233wahyvshl4it2kdzdg5xnby7ps,66.0,0.0,4.0,0.0,8.0
leojtz3co6nnf2ggk672v4bz5xcy6baq,56.0,0.0,6.0,2.0,4.0
lgkija6r5rzin5m7s3vdveng2anekttp,63.0,0.0,8.0,2.0,2.0
lgw2shoymyqujn2bug57tbn3fggvnucy,3.0,1.0,3.0,0.0,10.0
lkgbaljsf3ajjphl2dq5477m3kmcxmlt,41.0,0.0,3.0,2.0,3.0
lkl5q5goqyrj7yh7suoqzertofgiuo7m,49.0,0.0,7.0,0.0,9.0
lldwkyoqx5we7gmdre3di5ofxuvlgort,19.0,1.0,7.0,2.0,13.0
lm37kfrn4e5eg3mqzdaitfjsdghezoar,31.0,0.0,6.0,2.0,3.0
lm6mbx3wtoailchnrjcog633sdosn7cj,16.0,1.0,2.0,2.0,3.0
lmbudql7om4cqdgslta3v7x6lzj7fxdr,5.0,0.0,2.0,2.0,4.0
lojlc2xutycdeg26oy44ffckwh5s5jdi,27.0,0.0,8.0,2.0,3.0
lpivwb2okuge4zitj7bct4vpfqs2hthr,10.0,1.0,4.0,2.0,1.0
lsowlq3tj6oneguqwwwudtxhwf2mplxs,40.0,0.0,7.0,1.0,5.0
lssjd5u2os7n6m5ks4i44tpajaqap6kl,67.0,0.0,6.0,2.0,1.0
lucs2zw4n5kglpgeqm74nwmqct5rh72o,67.0,0.0,3.0,2.0,1.0
lwejkrh6bw3s6kispym7psq2bnxgapcq,27.0,0.0,8.0,0.0,11.0
lww276islmldylrqdfyvw7v4xmohf6qw,0.0,1.0,5.0,1.0,5.0
m2ucrynqjp2p3pfski67bikhgjgk7guj,23.0,0.0,4.0,2.0,0.0
m5akdznagdhjbcm2clvwvfrbdpkh74gt,55.0,0.0,4.0,0.0,9.0
m5hebhes3s45b44z6dk4lly2sjou6lzs,48.0,0.0,7.0,1.0,5.0
m5yq3jbud6kg2utotgwvbw5gvrmlsno2,22.0,0.0,7.0,2.0,2.0
m6pblzdefxwp3xbrdn36ddsgbwkobqsk,45.0,0.0,8.0,1.0,5.0
mcvus4axpc5zs2jwih35rbtbpxpr76px,31.0,0.0,4.0,2.0,3.0
mdnsiuad6comvjhecjtt3nd2shdntgkz,12.0,0.0,8.0,0.0,7.0
mdy2nvfy2gw5cmoaeaoz7grxaciedvsg,1.0,1.0,4.0,1.0,6.0
me5l4fsixqyofvm46gvou3fggojjp454,13.0,1.0,5.0,1.0,6.0
mfne54or3wasy3alcnezp5oee3p6cace,36.0,0.0,8.0,0.0,10.0
mjhmw2mtxwbufbaj7q5mkwyupijfksce,14.0,0.0,5.0,0.0,8.0
mkde2b62u6vatxgjunno6fir3jnkh6cp,36.0,0.0,8.0,0.0,9.0
mleyau4bneiyltjkxztdhd3i7pqoty3w,42.0,0.0,8.0,1.0,5.0
mlsplyeghtudlgo5ho34fcfan4t3nfji,63.0,0.0,6.0,0.0,10.0
mnsglwt4jqb2tvofjiqf35io3t32u65f,14.0,1.0,4.0,1.0,6.0
mqmajqgwakf3rjnrmykx5k62ocg7d4u5,54.0,0.0,4.0,2.0,2.0
mtupeawaerosfn4tf5wmixi2twtdvlvz,10.0,1.0,4.0,1.0,5.0
muhh3nzb37x62cdquozgx4atvy527axy,31.0,0.0,8.0,2.0,0.0
murkk6hqavxshj3prblr7onfugygbct3,2.0,1.0,8.0,2.0,1.0
mvj5qixjxyb24agmr6ccv6tszqk573ok,46.0,0.0,5.0,0.0,10.0
mvqnjccnztiycz4xcauoemshds4h3uhm,43.0,0.0,6.0,1.0,6.0
mvxvpxuvrfucsj2p54h626zj7o55mpjg,68.0,0.0,5.0,0.0,8.0
mwfdjvaifn73jyp4ftic3oqixvgsi3me,36.0,0.0,7.0,0.0,10.0
mwkzqxeqv4insuyr4cdanbsqrei35dqc,2.0,1.0,8.0,0.0,12.0
mz35jh76iyvn5ujgimkm2mbawiypuywk,3.0,1.0,7.0,2.0,1.0
n26htqkgs2qmgec6hsgbrwwroffwwkqc,49.0,0.0,3.0,2.0,2.0
n5idutxwlzdldjw2ecf3dqwd2axykzmb,15.0,0.0,8.0,0.0,8.0
n5keruohkxrg3lgvwap3crgddmwfzy4z,28.0,0.0,5.0,0.0,8.0
nfsewvxgsnpc3jyh5x5t5qsm6ek6tefx,60.0,0.0,4.0,0.0,11.0
ng7oabttywcuhrxbyac7a6w5stz4wb63,2.0,1.0,6.0,2.0,13.0
nhu4eqay6qzw443fmq4nx3w7e3c3vylh,7.0,0.0,6.0,2.0,0.0
nizblfcvlowixzcwajewyqu2a5uff2wu,30.0,0.0,2.0,2.0,4.0
nouo4ymsgtjzitxu5rytxzmufooa3sew,40.0,0.0,6.0,2.0,1.0
npcof7xhwzd22nodskqcrcjobq3qdhdd,29.0,0.0,3.0,2.0,13.0
nsiymacxhbrhnkypcrn3baiac7hnmppl,19.0,1.0,4.0,0.0,10.0
nsqp7y535x7yfyg4cujy3mgumtwququh,42.0,0.0,3.0,0.0,10.0
ntl7labkfybyzalhhygedmfzi2v6uumo,63.0,0.0,6.0,1.0,5.0
ntucv446ojtf7v6rxsw24blaydeahj55,56.0,0.0,8.0,2.0,2.0
nu5sh5xefg67ru2lpydwkljjnjks76fs,72.0,0.0,7.0,1.0,6.0
nvkmuwaes4tf22qugr7dt2ppkpsdro5k,57.0,0.0,2.0,2.0,0.0
nw2sk52xgen3obbz5a4hm6kmv4heqnty,1.0,1.0,7.0,0.0,11.0
o2bos62s4ucvs3omfk7ggz7ikap7neuw,16.0,1.0,3.0,0.0,12.0
o2gxcjomg5uwlzoapngmxs3vai3xn345,33.0,0.0,7.0,0.0,10.0
o3e3dajflxljcfinhmvlbx3upqfdyx23,24.0,0.0,6.0,0.0,9.0
o4slfkv433i2fblnj62k2x7qbvq6mte7,33.0,0.0,6.0,0.0,7.0
