,hypre-version,petsc-version,python-version,superlu-dist-version,hdf5-version,metis-version,parmetis-version,trilinos-version
ctgie3k2lozvoad2rxd6dbulp2dit7op,2.16.0,3.7.6,2.7.13,5.2.2,1.10.4,5.1.0,4.0.3,13.0.1
fs7lzz47eb2xx5t4xbxr2x6l2eswrusj,2.18.2,3.11.2,3.7.0,6.2.0,1.10.8,5.1.0,4.0.2,absent
ghewkfenzr26nw5oaroth4bp5gtb6le2,2.18.0,3.14.0,3.5.6,6.1.0,develop-1.8,5.1.0,4.0.3,absent
gkgpsjuqyvimscpnib4gdap3kei73yoh,2.12.1,3.13.4,2.7.15,5.4.0,1.10.0-patch1,5.1.0,4.0.3,13.0.0
gsi4xjhuy52afowe3bondgkpqolvyueu,2.18.0,3.11.2,2.7.15,5.4.0,1.10.7,5.1.0,4.0.3,absent
hpxntmuxz2jhjqbipzlbfwg3fsidh3yx,2.15.1,3.9.2,2.7.14,5.2.2,1.10.5,5.1.0,4.0.3,absent
hz2pko5kkqicylx26abdo7mgpho2rmgd,2.15.1,3.12.5,3.9.2,6.1.0,1.10.8,5.1.0,4.0.3,absent
iaomrwzkvv5hfgxzypsf7ki6k3lpfw3p,2.11.1,3.10.1,2.7.15,6.1.0,1.10.8,5.1.0,4.0.2,13.0.0
ica7zmymfd5bdocgv6xfp7nftsrkgzne,2.16.0,3.12.4,3.8.4,5.1.3,1.10.6,5.1.0,4.0.3,absent
ignb4ymbs7x4tpbcrtqmnrpvvfxeyiif,2.15.1,3.13.3,3.8.10,5.2.2,1.10.4,5.1.0,4.0.3,absent
ipctazqhyuvxeh6xwzv2b6sf5dvgszyy,2.20.0,3.7.4,2.7.18,5.1.3,1.12.1,5.1.0,4.0.3,13.0.1
iv2msrgophmrr4lqkd55dicq7er5symi,2.11.2,3.11.2,3.6.1,develop,develop-1.12,5.1.0,4.0.2,13.0.1
jce7yq3e56yjp5hxhvohiag35n6ndn2e,2.18.0,3.12.0,3.6.12,5.1.0,1.8.13,5.1.0,4.0.3,absent
jpa2z3r7rl3aydndietawzarvizyfqd4,2.17.0,3.11.1,3.6.0,5.1.3,1.8.19,5.1.0,4.0.2,absent
k3aui3konlxcyjwhqweehn47kk4qfxtf,2.18.0,3.14.1,3.6.14,5.1.0,1.8.13,5.1.0,4.0.3,absent
k5zz3dy54tdwizxdcrvzt47u5nl2fax3,2.13.0,3.8.3,2.7.18,5.3.0,1.8.17,5.1.0,4.0.3,absent
knibfrmcubokzo4tavm3pdeil3cm22xj,2.15.1,3.12.1,3.8.7,6.2.0,1.8.19,5.1.0,4.0.2,absent
kup64viwzssctvrzo7lirqyvl5xywjki,2.15.1,3.12.2,3.5.2,5.2.2,1.8.21,5.1.0,4.0.3,absent
kz2pxr43qzvjwlhopmykmuxnkeyu6pr6,2.18.0,3.12.0,3.9.2,6.1.1,1.10.7,5.1.0,4.0.2,absent
l732ojlkqjhwwgku52qjqe7vu4vpzmnq,2.20.0,3.13.2,3.4.3,6.1.1,1.10.8,5.1.0,4.0.2,13.0.1
lf2w6h2al74jfps6fuz2aycbenhkpj3o,2.16.0,3.9.0,2.7.12,5.0.0,1.8.18,5.1.0,4.0.3,absent
lr3phakb4metiltnh3tglzr6xuxiutg2,2.11.2,3.13.6,3.8.4,6.0.0,1.8.10,5.1.0,4.0.2,13.0.0
mbbwarfwkussobjkenlwwa5wz2woie44,2.20.0,3.14.6,3.7.5,6.3.0,1.10.0,5.1.0,4.0.2,absent
mevurcpbdj2i3vkllqb3ynsxgfu52y3m,2.18.2,3.14.1,3.7.0,6.3.1,1.10.6,5.1.0,4.0.2,absent
ml4szwgp2bhjwlcaup3yf3j7vz4aghua,2.18.1,3.11.1,2.7.10,6.1.1,1.8.13,5.1.0,4.0.3,absent
mzp5jt6rtpgwxul46g7aqgcsaqfcq2gl,2.16.0,3.14.5,3.4.10,6.3.0,1.10.6,5.1.0,4.0.2,absent
no77665soaqekjmjxbrq4umddywckjhk,2.11.2,3.14.0,2.7.16,develop,1.10.2,5.1.0,4.0.3,13.0.1
nu4ryfkx76xlpv455plm7wieiq3lmcah,2.17.0,3.12.2,3.8.3,5.2.1,1.10.8,5.1.0,4.0.2,absent
ottbszcdehwb6glnxfwktrhn5pqggzme,2.14.0,3.12.3,3.7.0,6.1.1,1.10.4,5.1.0,4.0.2,absent
ovume74ywqjkifcte7fgqjp4xkewkgso,2.13.0,3.13.3,3.8.3,5.0.0,develop-1.10,5.1.0,4.0.3,13.0.1
pv7rpa2sfoo7ykhblm76yn573gi36qe2,2.23.0,3.16.2,3.9.9,7.1.1,1.10.8,5.1.0,4.0.3,absent
qnjzm737w525vocdew6qr67fddgwiyt7,2.18.0,3.12.2,3.5.2,6.1.0,1.8.16,5.1.0,4.0.3,absent
ri3cg7rtysiffm33hnr7xg7c42mmpnfe,2.18.0,3.12.5,3.7.10,6.1.1,1.8.22,5.1.0,4.0.3,absent
rnwl4ygueupdee5t5k3vg74iyvygxfqa,2.15.0,3.14.2,2.7.11,5.1.2,1.8.12,5.1.0,4.0.3,absent
rqsw6czrelatlaouqe4s4xdlnuvs3dno,2.15.0,3.14.0,3.9.2,7.1.0,1.8.15,5.1.0,4.0.2,absent
s4fz2jrn2ti6qnafrfiu6efdrdbbkkr3,2.10.0b,3.13.5,3.6.12,7.1.1,develop-1.8,5.1.0,4.0.3,13.0.1
sbx36pvv5i7ba5trkzvdygsftzfsn6iq,develop,3.12.4,3.9.2,6.3.1,1.8.22,5.1.0,4.0.3,13.0.1
sc3w7gefz7vbmree6to2whnrunnjxdoq,2.10.0b,3.13.4,3.5.10,6.0.0,1.8.13,5.1.0,4.0.2,13.0.0
sozwfjqauyvqjz7ub3chwcfgpdnyuzrs,2.16.0,3.7.2,2.7.17,5.1.3,1.10.0-patch1,5.1.0,4.0.3,13.0.1
sr77jpnorp5ikimmank3wuchtmm53m5y,2.18.1,3.10.5,2.7.18,5.1.0,1.10.8,5.1.0,4.0.2,absent
t42kh32k6kc56s6o263n2l27pzpj5jeu,2.10.0b,3.12.3,3.5.1,6.0.0,1.8.21,5.1.0,4.0.3,13.0.0
tcxv5zy2mc3firez5ke2m2s72od4l7hb,2.11.1,3.14.5,3.7.6,6.3.1,1.8.19,5.1.0,4.0.3,13.0.1
ugn2y5p3qw64gi3flypc34vgn7xk3xf5,2.14.0,3.16.0,3.4.10,6.3.1,1.10.8,5.1.0,4.0.2,absent
upeffe2u466f4oq4r55bnpaag52ezker,2.18.0,3.12.0,3.7.6,5.2.2,1.8.13,5.1.0,4.0.2,absent
uw4runn7b6ptkl7yurekw53lhc2coqo7,2.12.1,3.9.1,2.7.17,5.4.0,1.8.17,5.1.0,4.0.2,13.0.0
vwvwl6uet6qjyh7ri7ok77f6lxcryfvn,2.11.1,3.11.2,3.8.3,develop,1.8.18,5.1.0,4.0.2,13.0.1
wuvjcqlt4xmegn6l4k2u25yf6tmurncb,2.13.0,3.13.0,3.8.8,5.2.1,1.10.0,5.1.0,4.0.3,13.0.1
xbztfwi32q7ry74whokcnw3lstvj3kwo,2.22.0,3.14.3,3.7.7,6.1.0,1.8.13,5.1.0,4.0.3,absent
xeeieuuljbsj6i2znyheje27obdbrbjd,2.18.2,3.12.0,3.6.6,5.4.0,1.8.15,5.1.0,4.0.3,absent
y6q4o6f5i4367vyfo3dnftnprf6hzhi5,2.18.2,3.11.3,3.7.8,5.2.1,1.10.4,5.1.0,4.0.3,absent
yqpo42molb24c2hi56yzfdzgupej2pdm,2.15.0,3.12.3,3.6.8,6.1.1,1.8.21,5.1.0,4.0.3,absent
zu3cyxufr2aednir7fwkveq6vhavy246,2.13.0,3.12.3,3.5.4,6.0.0,1.8.21,5.1.0,4.0.3,13.0.1
