,cmake-version,zfp-version
3trcy3anqfdr4csrjz6svijd6o4acwbh,89.0,4.0
43fml32qa5hrn5uobp7hs7sv33ngh3ol,70.0,5.0
44ghrmeogjgawbpjrpqddjlsp33toemd,78.0,4.0
45maiju2ssbtkfokk5eoccng3f3zahst,27.0,2.0
477g66rdpimi5bextdbfbs5alhs7kyc6,90.0,1.0
47oma576w24ijc2m2fiiz5qhoeqnzamj,94.0,1.0
4cvwxjyb2pd4oaq52fxmi6unh2rsuqau,35.0,0.0
4d6md6sl2x7patsk3brifb5brupi4zud,10.0,0.0
4mtretc43x2w24ubhdukyzwqyuht3yew,57.0,3.0
4oosf3g3ysrl2rlmkr4hfpuks4ddp4kv,1.0,3.0
4t6u6vnf4mdflwwdqvbzhp6cnc7r3zxf,90.0,4.0
4to5wexlacbytkzclazyz2elde2blqsz,66.0,1.0
4y7c5jovhiglr4jyxeybifu2gfukocdu,8.0,5.0
4zwjkpv55lvcoicr6ym2hoadth5w5dxt,61.0,5.0
565oglbe5jguwm3a7yrfh36qpg2347e4,75.0,2.0
56yywf5ugdekzuacfrbdk6fbkykkyvmp,85.0,0.0
5bbxuwiowgs4chqplkh4vds56jzrpscw,65.0,2.0
5dxifwij2gv4gwhvr4qsobuakkf54nbb,27.0,0.0
5e2bt45fsbrkwdwwc6vi5ldyw2uiqdix,26.0,1.0
5fdenojxriqhlqneif73ohgntdjgb2bp,12.0,5.0
5g4lxgc33wiqcaoznwb6arr35erxpf66,60.0,2.0
5i46s4jum47crcv2awffzchk42e5c6ur,11.0,5.0
5iotewj56ihajkj5jmloaymxugapa5os,5.0,3.0
5kvsct4xmndk2pisltqcorwljsygoihg,21.0,0.0
5lbcl5jme3fzguqbf4ttudbmzzxoq56y,70.0,1.0
5urmbppnkfn26hfvhh3q5my6qobqmetl,44.0,3.0
5v2vvraw4xcazz4uwutkj2evwtslr4ea,20.0,1.0
5vurt4gavhi57gdztvxush7rpuu55xtj,76.0,3.0
5ytrjerpuomnazmfupam7du3fhh5ay67,74.0,4.0
5ywsnnk62ikpabpm5flwpglm7xylzf7u,32.0,0.0
64pgtyx2zl4q5pwfmvpm4p6oybxxpoiy,74.0,3.0
66nzogpmwweaz4o3cl4g3eqxcctklvkd,47.0,3.0
66xcapjeaf7ee6tjqoqgjegpg65mj3ka,91.0,0.0
67xytfcc4txbiwk3zj4w4usyg2aujuc4,31.0,2.0
6bsdhpatdr5klgrfuwxd5hg22i66b4rn,12.0,0.0
6bzmw7ncd274vwf7tb72npbhpjnvdoju,81.0,4.0
6cc37vitbknm25bc43n5ata6izgtshij,69.0,0.0
6egkhgqmrj7toteqlo4tpxwrikre4twj,59.0,3.0
6jvu4yl22muphj43q4vmg2hofionuopm,71.0,4.0
6kctcvijnii4cgs3t66q3hwiluaw3lqx,21.0,4.0
6kqws3broc7jyvktk5czfrvqjyjm77f6,34.0,3.0
6kx4jliufyknjumisnwyd6ddr5pemfum,73.0,3.0
6lh2ab6c2lkdsrw6jf6cargb5gtnuaft,41.0,0.0
6lwsy6cw5zivqlyku3hkgyypfwfba4kr,72.0,4.0
6m7wz5pylqi4lvakzomjflom4ovwqedq,42.0,0.0
6mkflk2li2rcgiry6b44uqrspfu6ist4,83.0,0.0
6nvx5axg24smaap3xopvsqvwmjjx3inn,36.0,4.0
6o6ra6owr6kkfjylyg4rtsdtddyn5obo,81.0,3.0
6pnnz2mb266gj5qlr3odi3rbteudxiyt,90.0,5.0
6qr3geidx4gpssnsync2xgg4xa3fxrf3,40.0,2.0
6qtisvagsl3z3y3chyyfqjsiagf4gzwr,93.0,5.0
6rakh43vvwlcksuwvpfspswf5jvucbji,29.0,1.0
6rqe7xdayeyj4c4gi34nivhtot2flrle,26.0,4.0
6uvz6ye354zc5lxwbs7ibwhnxkvzwwes,42.0,3.0
6v4e6367vqagrc33s77fwjz43sd6lp6h,94.0,2.0
6yp7nr67uijsk6rqwicc57iym6vxrszp,84.0,4.0
6zmb2gjgfaodjj7xmlxc3cnvpzhg2iue,17.0,0.0
73qfb5prttx4gfesto2qm6orraio2rgo,41.0,2.0
73x57dus6r7rgs5ayfa3u2fabsnsi3fe,67.0,4.0
764vo3annklscixvc5b4rohqjkmpjn7y,10.0,5.0
7ars6bhqjb4z24m5ylk6xbrbzwnsopgm,15.0,4.0
7b5z23kigqd7rqbd2dndq53uorrsinvs,23.0,4.0
7es5mzajqqjqfsd2yu72ltqvxrfrcm7o,21.0,2.0
7hpqbzm4xmdgrifqcq56n7bl2qdtoptj,35.0,4.0
7i2pga2upe6khunh725dgt67qgk3qn3o,83.0,1.0
7ia4iucmg4doxcahprafg3nwahadiope,6.0,4.0
7ptlt2dtg4pmh3z35nzw5kyhzs6xcxof,35.0,1.0
7u3sdchzfx2dwu2wyw2e3sc3isizhtj4,12.0,3.0
7ve4scncolkwktx2ma54b2hrwpws6a6o,45.0,3.0
7wfndmqgbiacfgp3x6vc7lhajgzhw3zw,69.0,1.0
a2fhquo733nfoe3vb4ai7dlvw4xhwiwf,17.0,4.0
a3qbe43o5ietq5433cwjhkz2nrqmwfi7,0.0,1.0
a4ooibwmurbkkp7srkzvuahq65xl76na,32.0,2.0
a6fnkeoftjyvaurwzowfmunfvgkfav3z,24.0,4.0
aa6c7zbsigvl33bllwjaavkeztnye6in,70.0,0.0
ab555ygrlm2bhffqa37d5ubsps4tjay2,72.0,0.0
alm2blcvvqmasent2xhzjzeey467zptn,60.0,3.0
an3aikarq3eyx3wfmrumy2cbriuz3l62,92.0,5.0
aowxlthlty3pcfhzh3nohfiigm47wtkf,24.0,1.0
apf55qbszrpyjh7xrxw4wmcwfkncczxs,77.0,1.0
apnmot5c2ezbet6cpdyetzi5dex4fk7j,53.0,4.0
asmeo5mvupvmltftgprs4nhrddn2qkju,93.0,1.0
asmxvrvrtuledrynqu5utvsqxu3tayco,14.0,4.0
av57xwbgo2zmxa3j3z3bxnvmaltsphqd,24.0,5.0
avyun24iar6kay77kz4kwcuf3fp7ntrg,1.0,1.0
awnbtjum2u32dja5ancr4ybonvgjilf2,18.0,0.0
b524xw5fh5u763bzcw6agczo7md6sbvt,54.0,0.0
b6q4enrdapcrvent5zaca6pbtbw3e3ai,1.0,2.0
bbwytcxlawyw62z37qwyurv3q66ngbqd,40.0,4.0
bdbvzxivfirmntepgwjo6wipzryhgueh,3.0,3.0
beekvmfohhyphmcofkd3qgfeuhvbgo4b,92.0,0.0
bf3osdq7zflpzmzz7zmv44te7wijtxi6,38.0,4.0
bhumof4yu3wauhn37nyfsatsc2zfybw2,31.0,4.0
bislgfsxbkh3ihjkal3izbyfaelwz26h,61.0,3.0
bo2s4kzjvcpboyivto6fybhn77d4vs77,73.0,5.0
bpva3763pa42dvakyrdgg4pjwjfna27f,45.0,2.0
bs7icldqmbpcesidsa6dflamrlthqj72,44.0,2.0
bt2kjwrnkmwjgg73zb32fwwv6qdqfr7t,67.0,5.0
bu2677gk472qj4shy6nzylj7nbcrw5my,54.0,2.0
bwxzqo2kntv3urgcqbg5jd5dsf7jkkeb,37.0,5.0
bx6ivzl34rqqm7drj566pcaclf3v6apa,39.0,1.0
bzpojmv6iapgkhpposrtqr4bwwvxnnmm,14.0,2.0
bzzkbhbmunrj5of2xfzcsm5vg6o33auo,57.0,4.0
c2amnwuncfamuksb3x5h5d33iu5h2pvf,14.0,1.0
c5xlzchazbkcigbuog5k73w6ub7mmgms,16.0,4.0
c7ptwmy4eqn4h6gmhtdd7ajttjs7tmz2,3.0,1.0
caomkamnxqe5diqcn53itrgmjm3tjtog,77.0,4.0
ccgqo4crxg7q6ihz4fbsggmity73gxsb,0.0,4.0
cdouu52lwy4mi4k4xcblqgrtazi3ivmb,32.0,1.0
cf7awhikkeig4mraofy2shldur4fvu7l,53.0,0.0
cknozedwykt3azt3f7233cbupalamvqz,27.0,1.0
cksq6c6tn76e66w4tkp4bddorr5pdtq7,10.0,3.0
co7zo6vxs6epral7zqqs74zpul53mfa2,64.0,0.0
curlbyzp6rjh2uoklx552tduvhwr3vcu,4.0,5.0
cxd6cg7bjmnknbtecmfarendxtx2non3,7.0,3.0
czlfrataxahwqs5pysqtvn6rnfimngos,61.0,1.0
d5z4qyzblimq77dbsrwaep3io2ixiuqa,28.0,5.0
ddmgqcifoedxvzrylp3wtgjiwh3xpyii,22.0,1.0
df3syb3wa3ku3woig2biyi4nwnqai366,47.0,5.0
dlcinxvfz5j2evvhd33xncx2pwr3h6ng,79.0,3.0
dmehgpyb5ifdgki5llonrrku2z2cwn6d,15.0,2.0
dmwgcqonacmx7lghh745hqhlig2qir44,50.0,5.0
dmycxlu72hyhidls3vfxeanwhiklrskb,18.0,4.0
dsyvtsxy4enursmkmds75kdr3oqwtdko,28.0,2.0
dtnhefghvirqlhkqy3mhibkikkyzbegl,43.0,5.0
dvrlyzkqw2tbsb6v2wo3x6t7bhjnh3tt,53.0,5.0
dwgz52obtfk3bpwkcrq6xxu4xk4x3uls,4.0,2.0
dwmwcckgmatljad7sh4dg6flvbh7bpe2,53.0,2.0
dymhaq4dtpzxohvonludt4nzov25lyhv,37.0,3.0
dyoexkhve2fh44dz632gao65wwlt4e3q,26.0,5.0
e2kxiqllzhwtkdwyg7ccjg3rnjruvzjk,64.0,5.0
e47wcsvn7c37w3at2juxrrr6hpv3ah7t,92.0,2.0
eb3ykr3cugjcjlodmpzkop7pvk55kjpj,10.0,2.0
efkkeuwto4kt32lkjrdgnd7jck6e6qhw,77.0,3.0
eh4pt7hr3bzut3ab6tdddgfrwcys4d3u,9.0,0.0
eijatl2duhx4obpvbfwbebskmxmx5hhh,52.0,5.0
eix6fi345mljr56nzgzdzd3aazhbbzuo,37.0,0.0
eke7ebatclz3rho7bdz6jyzgxzyqwhxf,43.0,3.0
emirjgqtvxkvitn2q6dwxlkgbdnmebfe,9.0,4.0
emjdkm6irdq7h5uktyzpwfi3gnsalsio,75.0,0.0
en7kxewsbdmj7ddzutwdoemgcmlt72da,60.0,5.0
eooriq2rgugwpkgzp2hqkr56cgnswcuj,76.0,2.0
eqcg7od3dzrl2xear2g6bijyfwdx4c73,69.0,3.0
er2hcrghwnj22y2dbtfverjg3bast4ue,81.0,0.0
eskjluokz4naipxds737cvmrzbtzc6l6,45.0,0.0
etwkevyhiei5sjhy3kmokmryzb7v5l74,62.0,4.0
ewuzveiyigbwhsctnwj25rzap2ucmx6k,63.0,3.0
ey4iwobccs2gskkxzafvgxcnigx5acko,38.0,1.0
eyi5nyjulv4asv3tndgkqrq3456dmnzp,25.0,5.0
f3hykdquxhgcvwbl367d6hlpplamlgqm,20.0,0.0
f56bag4hspeguxswwbtmsi76p5tmc3mg,36.0,1.0
fageagos5d2cziplyrju7xcuyoggakyz,51.0,5.0
fclbmjwb5h7hvqsqqgsxney6kfxuu6us,28.0,1.0
fduwwvs6cgujysu2vyu6zu2dtdy6z424,93.0,4.0
fdwl7pa6pfqm6ar4wk3uz4qdqhlttmep,32.0,3.0
ffjrea6ndnnlyxpj2gsbweclx6uu6tei,41.0,5.0
fjcnz6rtlbgna4tty6xszm437fxkdng7,79.0,4.0
fjitiytl4hjw6s4f45oxig6jdgjdci5i,18.0,1.0
fkd7kjmufcrbwabr57ywc4mhlolnsunv,16.0,0.0
fpaeto7ez62g5xgq5wqpbjeho53pxedb,45.0,1.0
fqx4372jfdbyypy5n7lyaziyduev5u3u,10.0,1.0
fuomnvjmbta3ydjbfst3yobfzmjuswjo,33.0,1.0
g5batwptrz5hkboxhvkfaesti4gtpu6v,44.0,5.0
g632kl7zevruijdhyhrgw455a35pzsmh,8.0,1.0
g6c4cmfbaly2ix7jhaz6bk6l2zqqk3y4,18.0,3.0
g6ou2qf3un4c2bppbxabdeqwdup2m2x5,54.0,4.0
ga4o6vcdzjew4masroxqyhttkfqagvj5,1.0,0.0
gbpvnhj7ty5dsbchagy7jsc4a4pzkqnc,13.0,0.0
gcsc4aevxms7kdkdxv6t22io3cbehbjd,9.0,2.0
gfnabm3py6hdll6o65rotroowo47jlsg,83.0,4.0
gixgqqvujfireh6t62aurkx7j66likmj,5.0,1.0
gnm6wjmlujm6j7rszcd7ey56pypompcs,37.0,2.0
gs2buwbxmserpjxicccuti5luqiynjdj,75.0,3.0
gvbp2jb6wgxo6nhkkclsbdchzetxeatz,30.0,4.0
gymmmzb4qki5eknydtumsmxh2czz2n5y,39.0,2.0
gzroybewug5ze273jkriv4we45unjd3m,48.0,0.0
h3jfvl3jmpzlkrbqwlygxq52vbt7gtig,8.0,2.0
h7ak3yg3we3lzvormnm3achcafegory7,19.0,0.0
hbb7puby6ebk6r7zpmizkfgpwwkordmd,22.0,0.0
hbzovaw7nlylyan5hq756qlo7ippksmx,93.0,0.0
hc3lzegccqxjt4vwfiq4z3eglnzgjup2,62.0,2.0
hkexlb2fmlnpcbcvxpfrbvfuk4quiqmq,7.0,2.0
hoibtyynyqmoh5f7vwquko5srrxvkgy7,88.0,4.0
hqvnqwu2bt2igzlohp4yqq3pnt7og7ze,12.0,2.0
htnrdbqfuawptsy67jprgu7b6vnjutpg,75.0,4.0
htumkvqw635c2poqzivkxr4lbzj3u7pv,92.0,3.0
hwcn63t7uktndd5a27gw64fdxheazqvm,11.0,2.0
i67tundmbnn4fewoboshaxyf5qpziogf,67.0,2.0
i7deer4makmga53rhxvngisgi6i23ro7,21.0,3.0
icf22besz3wu36qoycsuprgziwcaktto,47.0,1.0
iecg4mt3ca7vf2moeeomjzj3d25ywvtp,87.0,3.0
ifkat77qcbpy7q3eew3lejpyxborsn6t,20.0,3.0
ihghevrh4mutpi2qic3su4meat5bex6u,3.0,0.0
iobgia3fftz5q47ysrshvlicplinuosh,41.0,4.0
ivopob37phailzopymqqqycgksegfvkc,54.0,3.0
iyaggouaz6thvrgfhopplnixchranqm5,34.0,0.0
j4nomzgsmok562qwsw4s5c2rrdtuxhin,93.0,3.0
janirj77cugmf5t4e36sjvwx3uzlswdh,0.0,3.0
jiqkmicytqvfw6ojloormzsbh5rpfhbc,27.0,3.0
jtf4kpbv62fsyrg2q7ngsfokdzl3c57l,11.0,4.0
ju527xtvfvs6xym62yfb6q5bdcrvkdnk,73.0,1.0
jyjeldxpo47hcqftvke4bn6mdtjensxe,4.0,0.0
jzh32leys2lbfnur5vw55w3qfngxbjgb,26.0,3.0
k3icmmw22mgtr3mtsl6wldk7ea2jlaym,55.0,3.0
k4j4tgubdiy4254c5pgxhynfw4kwhj64,5.0,0.0
kd3mocrfexxelwvj7omrpfwjd2wdytqo,3.0,2.0
ki63y5yjs327iquxhscqwwcys3ip5ir6,48.0,4.0
klarzgil7snvhydslhxvazm7ivhj4n54,26.0,2.0
kmwtzjiqvqxegvvebj5x4c7fho37ffbw,19.0,4.0
kom4iw4pze24wp3clpiio62slqc52and,59.0,4.0
kq3yne22e6jlti5trzl5vnxcsbdaouwy,67.0,3.0
ks46ho5dbcvr3wti76yxbswxth4cnqsk,22.0,4.0
l357jcjlnjbuhwj6apg7apm2r7nx6xje,17.0,3.0
l3l5tddvxkcnssje3c4mxh5inshlkist,58.0,1.0
l5gqoya5ozwrts223trlrcnufza5dqqx,91.0,5.0
l7pwk3hllzhlph3iadqnekx33qr4uos6,78.0,1.0
lbjqlqsveda55xoqs2ffdxsp52ynjzpg,38.0,3.0
lhlvgemhjs5qce7yfrhx4ouuvaqxrhq7,9.0,5.0
lryho7n6vjhqcln6yzmzkpnbs2gf2pne,50.0,0.0
ly756y5rjayjqnvgyzaytsuteh5f7h5k,38.0,0.0
m3ywei76omomnvzwkgv37incgbeh5nww,37.0,1.0
m4eob2phked2s4amfrfqcqmn75ejabxy,68.0,4.0
m4wseq3gxoo5smb233gtwswwzypd5cza,68.0,5.0
m77znkchb3nvwie7sdd4dz7iib6z4rfe,6.0,2.0
m7fhpohb2nj5x6bz33lu2ownqg6qoau4,16.0,2.0
maplujsyxecsmfw7iycxtrimy54a7mxy,54.0,1.0
mbjsqafk43brwm5p7swg23kqwwcy3wjg,4.0,4.0
mdbfn6wt4g5sv5kd4zxtbahnn4ey3thp,81.0,1.0
mnx4ljgmvr7yvgkjqztjf3mstpbw5qih,34.0,2.0
mv7z6wrhzizhftyzuulxux6v7k5pi7tp,94.0,4.0
mxu2atz4jpt3vzsuo5epcxrgroyjo3hq,4.0,1.0
my7i524r3ux2uhwneuk2pvcv2gsgfnya,89.0,0.0
np7xcroq4fkavcrx2kpofnnfzkexx5ve,40.0,3.0
nv4gzdsdexezresfmyageik6e6gnxchw,29.0,5.0
nyaoo5ccwrwune5jcqrtiuizrordbyi4,25.0,1.0
o3megbbrptgcpkgcfbwfisxgx3vmzr4g,59.0,0.0
odz7r3i6glrqjlynnrxlq4liyqqrvyma,50.0,1.0
oezpc63be3edkbx5v7rjvdcvdazb3nwn,57.0,5.0
ohrwsgxnkdj3rjmoanr2mtgufjlj5t4m,52.0,3.0
opavcwipbhv5zgfgbhdqv2vgiva7zodz,58.0,4.0
otoafxict3jrlyzs2ywlnka6stmp3sdw,86.0,1.0
ougkajaqwdhdmeiooxx3iar66tkan3hc,69.0,4.0
outbqjbf25ronejnkkktzmo5l4f3vpd2,26.0,0.0
ovhanrcdyxbjcfrdwp2d5x5rejkvsqu4,84.0,1.0
pdfiaevwfrzpmltv7jq7pgbt7g7rndr5,23.0,5.0
phknunkqbs6jcqve4lvigo5bm7wayeta,6.0,3.0
pr6nmofldxaqd7x6ar4x2zo5rcvl3duq,58.0,5.0
pr7bp2obkofnazwsiopurynazglao2cu,36.0,3.0
pyb67ebtdgxl3oi2cnli6mtndwtxsrxe,77.0,0.0
pznd36vbf7o4og7cgzdxnnl6skkmsh5w,46.0,3.0
q3r7wwuyysp4piiqxqgmz4ta5gwyvlks,34.0,1.0
qc6qrouekgp4amdjnwmegeo32kqyjuls,65.0,1.0
qepwpte5jn2pmautntku2nbbijkekuix,66.0,0.0
qf436u2afnbb7gqn2pgefeh4bl5b54pz,43.0,2.0
qigb4nial2zak7lzajzpa2br55hmqxvm,0.0,5.0
qjinwdxffd5gxcxjd7v4p6lmcgscf5ax,3.0,5.0
qryqstmapvjk4uqlmno7u5z6hvcyqpfl,35.0,3.0
r27ohi6mcfx2nzpk4gdaq2xznfg627rk,58.0,0.0
r3lhmxtjnnbzcclfruegwciotdi3ncia,54.0,5.0
rbf7payflsv65755syfnqvdm3hn35mmb,51.0,2.0
rcrivrhx6tqbyvowjwxutyguftgkdpdj,51.0,3.0
rnfoivs4eox6vfxh2oi2mse5kwcgfalc,52.0,1.0
rrbwh4psvikykhuxpxefkc5w4gcgmidb,24.0,3.0
rtcnxxi745x7poqusw4gybecug3azugx,53.0,1.0
rtkvuahbziwmmnmwqdxnq5ymkljeb7qf,46.0,0.0
sj7adggqpghj7i7zcp5kyryijucvr5ft,69.0,2.0
ssi6t662twlcfe2g2yvonxk46taqhboo,86.0,3.0
sxol7tuhdjss2dvwet4vrz5rbo6hyww4,76.0,5.0
syjerojljkxkxxxjh5lzflqchiwymjyp,33.0,0.0
t2tvby2h62s6kgqnlrppvztscmq653tl,89.0,2.0
udahbpfkl5smc6g2sjoesjns3a7heifj,62.0,3.0
udvq4wshoxoefgdysffcu6m5bc63et3f,31.0,1.0
uglxwdg3y7jhdxnlyt267h7psvynaqwi,47.0,4.0
uu3xggk7ol3jaoyxa3sopdo3yqhic7i5,46.0,2.0
uughp3hbopjiod5p5jih5srug5jzhyhf,49.0,4.0
uycwnrr6vd52ybo52jgyquvu2mmyc63k,51.0,0.0
uzyk2lkwsgasqnhaaqy447nuufld7xyp,14.0,3.0
v2q2r7dzs4h3rwixznjnbmobubnxs45u,88.0,1.0
vxo4kk5ayeggt5tknnuaidw7uwjxlc7j,76.0,4.0
vyw6s6qed46mi43h7rgayywu26dx6kks,90.0,0.0
w5qt5ctnameypagxzaz5qa5spar4hqqe,2.0,4.0
w6xzdrtbvbvdrnsox7gpjo5ljeqjcixy,60.0,1.0
w74gwa5cvkgyvd6hxkneyijqlgqocfiv,63.0,5.0
wcag4s7aabhgtocrctffn4dsjavn7eyx,71.0,3.0
win3okgwccgcf7hxmunwaeqlkqpmzwia,5.0,2.0
wju3t3ymwymyxgei5dz3lswekznbiwca,14.0,5.0
wkxzqbltxbguesvhc3iqdiia3t4vzz2f,55.0,0.0
wx2o4pydrltcpsstoobfcf7ojxiosuez,63.0,2.0
x3ovvl2ulisoc34pztlkarca4secx3lh,56.0,1.0
xux2utqe2jw66mjypinmqv3qscbp7ao5,13.0,2.0
y7zeiuoal6mnte6uffrtxcyfhgsufiln,29.0,4.0
yd3gthil3znnotruorlf3nbpv66fpcjl,71.0,1.0
ykpswxhbmxxl633etbysp24ojuzxobss,30.0,0.0
ynq2jgsidafk3yimnxhufumb7sni7xvs,36.0,0.0
ypqods26zozjqa2gwobolflym7ydgnbs,39.0,5.0
yufxu4q6iefxkrkepi7x42ftufbqxgdb,84.0,2.0
yuufqke3kmj6n4uibd7fqqmw4ajobano,13.0,1.0
z3cao76beqmmxfemmizifza3smcyi6yp,49.0,0.0
z5v5kx3y5hmrdhpz62dixwgoav7utbog,17.0,2.0
z6apce5j5ubxdo5uz7ekc4abhbik7xrj,5.0,5.0
zamdjrogqro5jsujv5bljfazg2vxdghn,0.0,2.0
zb43rbutcrqkl6w47hyy74nmtrlznr7d,62.0,1.0
zo2pc5mlbj25my75gcnlexkrreuri3h5,85.0,2.0
23sw6asymd3vrfxrsfzkv2lw2t4h6m3x,13.0,3.0
24x7czl3caykpjykianusc6irgap5lbl,86.0,5.0
2cabuxta2cq54f6osnrbnkuooojqblrg,42.0,4.0
2o3sm3a5spsrc5ygpropsmkw3q6gy3qa,91.0,2.0
2rnzooqmkvcu3gcsbx2yagcfgj7rrf36,84.0,5.0
3d57rkbmccb3cih4xbglslusmlq3xa24,82.0,3.0
3r7xixid3xyfwtczt3tan2mqi6r6scgp,82.0,5.0
3tbbu27aek4bs5scoexjmzrgla7evsa2,18.0,5.0
4hok7sm73qaqxrdlpsjuhfkzi6c2hoez,38.0,2.0
4j7bem42borytijn7yccw3tst6q2vyyy,39.0,3.0
4t7vofwwdy2lizhgwzvmpp7z2vh4mvbw,85.0,1.0
4zxbzhswwdlgtzccsz4ko4bvoa3pgdtx,55.0,2.0
6olzhsyi567afu72cthbttibuj73x7d2,48.0,1.0
7ialqzolxqsj4qf7ejqkqxn2vpmhzqk3,30.0,5.0
a7hz3qvrinsjplm7eryggrcazcs7rsb2,61.0,0.0
biq7vgvrjmvahrcvywpa6cd4gaw6nsf4,25.0,0.0
cdmpls336vcvrdvgxbhbq2iw4kl7ghcj,13.0,4.0
czdfoknycgkrghhuubrxi67drxx6dgcr,85.0,4.0
d5eabh6vm66idpzgzydyxsl3tif7ahlh,32.0,5.0
dgdpxwcz3ja4pjomcef2hpywytowkhfc,89.0,5.0
dz2grezwpwcwzteqjpnhowzu364xd5ty,8.0,0.0
e5rv6q6v3z4foqpwaueu7slcmmrowtas,29.0,2.0
ekjd7zgx4dhkdyxspq4u2z6tf76jqg5w,13.0,5.0
ene4bzimynwa6boc4htcg3j7sapb4y5a,84.0,3.0
enkynflnjdvsjjwbd2hhwmrv4pzm42d6,59.0,2.0
eolpv53f2dbc3e3ecjdjgrhdrgkzcxqc,52.0,2.0
ewkgreox2n73kbo3inl3smmqgua4q4tr,88.0,3.0
exnalzijj4ugjoil7kqi4mmgisvuvckv,3.0,4.0
g7pougcse3erfrib53fahtsdoifjctoz,55.0,1.0
g7v6ke3mammu6zsjaqi3ltjw4i4pb4zh,33.0,2.0
gdmkcgxupt6pwnlhjlohqiheg667lomd,65.0,0.0
giftcwbrnyufrsfoc5yioy4hgv56p37k,57.0,1.0
gttybf22qlpmnj4bwb7csszqym5gsaum,55.0,4.0
gvummvtsiybgzvhvguju37nsxltaavuj,73.0,2.0
gwlrpivxcgf7hbcnl2hjdzab2whuld6z,72.0,2.0
hdre566frlxqb2j45nkm6idtpe3lsqdx,85.0,5.0
hm5ukgcttkbd74goal7xjabjfo5ht6jq,87.0,5.0
hp5r3egksavr3kmyn23dpifei5cv4u27,30.0,2.0
hzipu7mzxhzyyifnqfn3lsevxnc63kue,74.0,2.0
ilnnfn2k66g5fqxedvavrrygmg4qrv73,8.0,4.0
izw6dvba7fz54ul7h4ra743dcjohtpxh,49.0,5.0
j2aaiqdqmlvefehc2cttqry2xnkvkmns,52.0,0.0
jds5o76ug2uhvkcmi64uo5lxzccko6th,57.0,0.0
jifbxr5hjxhlzmkohhjuhlyog5s4yy5m,31.0,5.0
jjk2i3dzxryqaskfsdgtlxoijbkzxgz6,50.0,2.0
jktre7td3ycc6tiwhhwyukskmdghqt46,88.0,0.0
jl3wjtzfxeyfmhtttckzc4nx6n65w75o,39.0,0.0
jojrfqb76eog75egyfpodpegke3slmay,49.0,3.0
jtot6gmjeahbuqdpeejdhrnscr3wkvcv,64.0,4.0
jzys7iastwaqzha4l2scqmcpdrmkixaf,7.0,0.0
kugowjbgogccr5ypktivkboxtynqfgaf,37.0,4.0
kzen2hy7gobc7et2lswhu6wp2zd7gpak,14.0,0.0
l6e7ekbbgf5xzlgjzjebvlqwycfqory2,72.0,5.0
l7alq2l6z53dfkqmdfojitt2aguiwuly,81.0,5.0
lbpaoxx2t3jlbq4vxkzapqezw4wl4abr,15.0,0.0
ldm5hebjamwebnh4qcqal7b3uzy333yt,44.0,4.0
