,automake-version,pcre-version,swig-version
hb5rkhwapdg4dwpufxbo2czjc7puhz5p,5.0,0.0,11.0
hbiatmennnfa6xl76derllntwmg7dreu,2.0,2.0,11.0
hex32kh7boyyjx3y6jxdfhfgdmd2pwko,7.0,2.0,10.0
hhjhjv6sppyvdjss4z52e2kscp3emufi,0.0,5.0,13.0
hicd6x5wnwmcynynwhfaproaq536wcic,2.0,0.0,13.0
hpmolcres6rcvjsbzqhoauig5xs7hsyq,0.0,5.0,11.0
htcrds6vwycl7ckgfndeh7e2acne6w4t,1.0,5.0,12.0
hvcn47tazdsyeisgzzkfdyqealt5hgzm,1.0,2.0,12.0
hw3hdgd7x5ouosqpcatvcpl4ote7mqzb,2.0,5.0,11.0
i5iahjtf6hmodsu4hmw74ecmo2z7kqk4,6.0,3.0,11.0
ibx6vele5uj3c2fxsuisqxhbjzerhsma,3.0,6.0,12.0
ili4r4wx65bw4avqrvrtmb4xucfehxom,7.0,4.0,9.0
iopwiaejhhc3igh26x4fctfwratbper2,7.0,0.0,1.0
ixpgeuwg7kyz34qkmmpgrzxnshvlayft,3.0,2.0,12.0
j5jvymmh5c5uqx2hca5tbm6p2l6yeldj,6.0,2.0,11.0
j6kozvduhk3353j4v4cs7m42zxh32rrn,7.0,3.0,6.0
jc37fjjafxxo7b56vgm7lwspmchxon3s,7.0,6.0,7.0
jvzc5heamgquppsgqsk6rwipqf7hl2i4,4.0,3.0,11.0
knjlfnrcudfemc3fgxm3qeqvaywjhtm4,7.0,2.0,2.0
ktudrgtxrwnnxmweuws3wlfzkx3qboqa,5.0,6.0,13.0
kvjmewdx3dsuajcy6ofifmkw53pa2wig,1.0,6.0,13.0
l6eo5f57ktonxlvfj6turn44ezo7emzr,5.0,0.0,13.0
lnq47lttqcltltwwojblaaidq65uqbsl,7.0,6.0,8.0
lzx6jkvikfioucfu7ech7ktwqtz73p3a,4.0,5.0,11.0
mlvxbuyv64eees2ivaanduyw7puwbxg3,7.0,1.0,5.0
mtr3kgcejaz7ai4a3zb4yxaq3alkprhy,4.0,5.0,13.0
mwuydakcisvwstf7somfsqgmuvcbleis,6.0,2.0,12.0
n5dkzm6ut22nx63qtkhtzjzv37jiqfbe,6.0,0.0,12.0
n6bgan6eq76kozceankvjv7z3w7le74m,1.0,4.0,13.0
nh4uczdxkh5j637tyrl6f5jejd6gzo2x,7.0,0.0,6.0
nn4d3oeg337q2fjpdet3qhmzlv5iildd,7.0,3.0,4.0
nodpo3jtll2jmh7mjvnuis4dphxwrb5x,4.0,0.0,11.0
nrbtmiaizkjtxpljsul2z2eo4op2pf5u,7.0,4.0,1.0
nuijfsn2d72ryy62hkpno2r5kvqtnxu2,0.0,2.0,13.0
o3qtb7d2ps5jef4ur4vpmlclmevlk42v,6.0,5.0,11.0
o4x5m4wqiwo3ozqegipuootp2l3hpjr6,3.0,5.0,13.0
o543ewctxc4c37o6qnxeuu5vaybedsdi,1.0,6.0,12.0
oa62dktndepk6s6wei5u3qfsutrwt7t3,1.0,6.0,11.0
odhzs2dgl5cvix6yn4hgit7cn4epjd5l,0.0,0.0,13.0
okqrit7i264ndepl4hzmsmpxgnvvdkkk,7.0,5.0,8.0
onu765g3zi6hlpvgqbr2regn4wbdreqx,3.0,1.0,13.0
osi5hlqyedk2j4shiy24of3hjwoedoyi,3.0,1.0,11.0
pck6nxkvz6udvg3a2ts5dytu3bufotva,2.0,5.0,13.0
pdsnigz24rex4gmay4jixu2augwv27i5,7.0,3.0,1.0
pil2sa4ljptbpkg7ag7iqgd32v4ewb65,3.0,4.0,11.0
pjdnd6bdxhbnu3yqfqds3zcorxydxavo,0.0,6.0,13.0
pkmrnmntxnweugagacrev65s2wcg7ajy,6.0,1.0,13.0
pzrjmzn7nbvrif27skdee3gqfiserodn,5.0,4.0,11.0
q2ft3tnro7jcs5a3kboqabp2evzwv4k7,7.0,4.0,10.0
qbhwftvgk55arvkezpyq563qqe7vidzd,6.0,4.0,13.0
qi3po22b3a4ued33mdj5pqaeuwzxkrzi,0.0,4.0,13.0
qjcbewhvr5zf53ankpytq5l6czwpdkuu,7.0,5.0,9.0
qobgq36usp2us5ybv6hbjxqxvw223idl,5.0,4.0,12.0
r2cdhqyczfbiongnwtyxla2hvo32h7le,0.0,1.0,12.0
rpqnzhzfmsztcxc7gxfgpywzquf5bbhl,7.0,1.0,3.0
rs4fisfvy47f4dvymfuazq7n4yp43yse,1.0,1.0,11.0
rsdg6vmdw3r2n7iaj5kk77s3p6zjth7m,3.0,6.0,11.0
rw4epxgnd534x2wxstokmfd5bybnugjn,4.0,2.0,13.0
ryihwycmvktpwvqtctsyjs2s6gdrz2hf,7.0,2.0,7.0
s66phgnv4iwwetpuufq5nbmabb3uakr4,7.0,6.0,4.0
s7z6jbcmvpnk7iw4mmmmhar7v3rmmrxf,7.0,4.0,8.0
saoogsr64i2magyw4rn3jj5ngz2ko2nm,6.0,6.0,11.0
sb4iowdzyhr2y3eusv4mtrlqoi2ahe52,4.0,5.0,12.0
sdkygzxe5kgq576zvwk4duwpzzzexb44,7.0,2.0,0.0
skjcr2k3xftjxlrdfx3s7ct6h6vssjoe,6.0,1.0,12.0
so7o5fn53e3md4gtepucya7zs6vzahew,7.0,6.0,5.0
sruh6h26gscnzp52m3edceoaadczppma,6.0,1.0,11.0
su47p7nvtd6fjwbalajg7n2suequ3am3,7.0,6.0,0.0
tatsjnd4vqpytd5n5cwlw5ir6fwkzwby,7.0,3.0,3.0
tbgv4fwvemsm5d4mvjgrzxvccgp72wh5,7.0,3.0,0.0
tbxih6fgha2exxuavknexxk5nbo2pyrx,1.0,4.0,12.0
tcyf7qhl2dmcivgd6ynmhoklfzg3mvwz,4.0,1.0,11.0
tt3bqfjwodxx7qpkhplr7txnfngwgpve,7.0,2.0,5.0
ttau7zy3u7kbelyfk3vebvp67u6pz4v5,7.0,4.0,5.0
u4uta6a5rkxwhjlsyknge2jj2vbohofa,7.0,1.0,2.0
u5w7w3muniuyo4j6xwpm6teasqqdiaq3,2.0,6.0,12.0
uatd3ppucctzedfkghazi45af3yb5q6k,2.0,5.0,12.0
udunmi3qtmyialoyghlit4vmojnhhlyz,6.0,6.0,13.0
ueyyf5opddj6esa5te3gys527izyob7e,7.0,6.0,3.0
uh632pphtf6a6vv3ucw5btohusb7pfp3,2.0,6.0,11.0
uilfeaj55tykon7hiabiifuyrzab3wmd,7.0,0.0,2.0
uoiy22gigyy25eub5fnvqm4eu3cp25n6,7.0,0.0,10.0
useo7thxbdln3qzbwzsf2bptl2wlrn2m,2.0,1.0,11.0
vwy67ayzarj7syhywcdtegvxuhnnlcf4,7.0,2.0,8.0
w7axtbt4qiauuo3dxvfbjzovwgpursas,5.0,1.0,13.0
warqygvklrpf75th4zgkhqmcpu3dyzvx,1.0,2.0,11.0
wmiw4mja2mhxo6dprovcomp7bbxwsdn3,5.0,5.0,12.0
wpthsbs4ipr4yeqraukvcdun6sl72dra,3.0,3.0,11.0
wvoxnxbqq3e5y3gsfuxm3vxu274fkw7l,7.0,3.0,2.0
wyb7tb2mo65git3muedwtmszk3flvbh3,1.0,4.0,11.0
wzlgdgno7gp2jyr3xxetwehuzny2newk,3.0,0.0,11.0
xcybci265k4c3qfws5cmr6l2h6cnrmlf,0.0,1.0,11.0
xeu6whphwvcv37eaffewan2rmv75h5ln,5.0,1.0,12.0
xmhyfz6rkk6vmqqhas7hxl2ubppechnu,0.0,4.0,12.0
xpspwiuvkbpuahxm3jorob3i3zlhn2ho,6.0,4.0,11.0
xvvyzr75czjug27xp67xxpeciuv7t24f,7.0,1.0,9.0
xzuwrx5lvmaicctl4vam5jdqntvri53r,7.0,0.0,7.0
yhyw6sgalpsmw5hl7tscjnvhu23izho6,3.0,2.0,11.0
yktq4bvj2r4zgkvdm3iqkz6nnxiibrkh,7.0,5.0,6.0
yohxjmjqjvnaw7ldyhzghqqwvjokbdbk,1.0,5.0,11.0
yrdb6fylso6kb2odqes4hj4mtdfhrrfs,7.0,0.0,9.0
yrnrcks2rehstmfoc5tn2odgktecklbb,7.0,1.0,7.0
ysjlvywotrg4kovugt2jruyhaqsctwpf,3.0,5.0,11.0
ytkiuevskzqzfp7pxbap56xfdq5jltcv,2.0,3.0,12.0
zaewuq526ewuvmxfyibhcqzazewardmd,0.0,1.0,13.0
zett4b2kbwbcovubwx5f7jg7gjkmaljd,7.0,1.0,4.0
zlwojylfmcoaohi45v4mcrza72alqsqp,2.0,4.0,11.0
zvx36fak637gt5bnahgywk7eqmzrano6,3.0,0.0,12.0
zxocfxdnzrisboc6hiaf3drwnuyp4bf7,1.0,3.0,13.0
2itpdjlu3a2q7zmrpayhm5tu3tmf4uky,5.0,2.0,13.0
5s3yscg6ew44apb3ikzmmkmz4tzdq6cl,0.0,3.0,12.0
bwzd7keg3ndsqbh26bmmfnu6camh6lje,6.0,3.0,12.0
cgoidskwbykosdkeemsqst33ei5p7fsm,4.0,1.0,12.0
du4nenq43d6igxhgrxicbacwsyw7nmkp,4.0,6.0,12.0
edkp47gpyhfxbs5cykwo3sdhhrfzg2kv,5.0,6.0,12.0
fa62pmlwslzyh4nukr2rqvy6cio5c5m2,6.0,2.0,13.0
hcxhfkbf56g4z6vhhg6bt5i5sdj23oau,7.0,3.0,10.0
j37kgo2tcnxi4wqioa3a2rutiptf5snb,2.0,6.0,13.0
ldl7pppklch6e4v2vt5avzxjimt32gyy,0.0,3.0,11.0
mmowxvqg6wn5a2ryzb5qwkujwjgcbqyy,6.0,5.0,13.0
qdw47u4bszdev5cth4v7n733xfdxdgr2,1.0,1.0,12.0
