,superlu-dist-version,parmetis-version,libfabric-version,openblas-version,cmake-version,mpich-version
ioywhusc2iyrjwo5a5kkpx4rqe3rayeg,0.0,0.0,0.0,3.0,20.0,8.0
j2srajht45gpsb4gaopfo3iebswbmcst,13.0,0.0,2.0,13.0,23.0,0.0
j3bzkkusadtpmctvjitltemiie2gis5u,3.0,1.0,0.0,7.0,14.0,12.0
jscda7c2skzm5lqmitv6vngkmunub6ui,6.0,1.0,1.0,13.0,5.0,5.0
jxf7ludpadmes5je4plcjtpfrohijbqj,10.0,1.0,0.0,1.0,17.0,7.0
jxh6dzybxywzmfcn3yusk3pbfxu3hsl6,2.0,1.0,0.0,9.0,6.0,12.0
k4nrxkbqi3qqqzw72s4avgi537wjb3te,1.0,1.0,0.0,7.0,1.0,10.0
kj3h77i53f7elzzfp7wnui5jbbj6vnod,12.0,1.0,0.0,14.0,10.0,11.0
kp3n3uvnverao5det7jkhjhfececwc5w,11.0,1.0,0.0,12.0,6.0,8.0
kzygzs6ps3k3hic3hzb3aoisvbcyfcbb,5.0,1.0,2.0,7.0,15.0,13.0
lp25g2u4hkdm76razukgtfejk5llos3g,4.0,1.0,2.0,5.0,7.0,2.0
ltasayxulholf5ah45v5yjjyeohmeqjw,12.0,1.0,2.0,13.0,2.0,2.0
m4teybyskqe6k276jvb6ca7ldsvczron,4.0,0.0,0.0,11.0,5.0,10.0
m6eugcdgxrl5iadq4zgdo74tz7uawjou,16.0,1.0,0.0,0.0,18.0,14.0
nc6jj5ztg22rmhqohf2pajnmif5bn6iw,7.0,1.0,2.0,9.0,25.0,1.0
ou3evqsgzcnqgfue2rnjoyifuprbdfol,9.0,0.0,2.0,7.0,1.0,13.0
pc3kj7wizklptyhy6avdwbyub3eg5nav,6.0,0.0,2.0,0.0,9.0,0.0
pc5bpwllcodmz64gn772jau34ip57j2v,12.0,1.0,1.0,14.0,7.0,6.0
pelrbc7llu3jzr34scvxj7ccqowtile2,10.0,1.0,2.0,6.0,12.0,0.0
pwpecviuliq3bhtf6mr4vinjxitz2x7x,6.0,0.0,1.0,8.0,8.0,5.0
rk2bo2qftdfvqo7geqy6qftp2ox6a3vp,5.0,1.0,0.0,5.0,12.0,10.0
s273zetf2ge3bxr6trw64sj4yqvffaj2,9.0,0.0,0.0,3.0,14.0,7.0
s3th3s2yllp5i7f63iounukhyhwlxdlg,2.0,1.0,2.0,2.0,25.0,4.0
s7owdeyf4k7f7tfrxrwyh7enfwylx6ml,5.0,1.0,0.0,3.0,15.0,8.0
smlvvou7taaw7xi2c5cu3geckxblj6wr,8.0,1.0,2.0,4.0,15.0,4.0
u5ehuiinkk6t6vm3fcaoiohr4orcfrmi,12.0,1.0,0.0,11.0,1.0,10.0
ud22kucxqqjhi7q3t3mum7yjl7pbijp6,3.0,1.0,2.0,2.0,24.0,2.0
uyzrzm2334a234qyiwqj45gght4zhr2d,12.0,0.0,0.0,4.0,14.0,11.0
vm6dnowetsquyoufriakgg2rkcjvq5x6,8.0,1.0,0.0,5.0,10.0,14.0
vquqo4cxqv4w3phwxob6abmmloi7exy3,14.0,1.0,0.0,0.0,9.0,8.0
wq6ipizbvuyyd7aytspvrqc5rjkwkfgf,10.0,0.0,0.0,9.0,10.0,14.0
wr7qajk7xsbq5wlfst5iuty5y5wmvydh,1.0,1.0,2.0,13.0,1.0,1.0
wyvpsvilmyoqrzpc2oy5ixkalqsqc5aj,9.0,0.0,1.0,6.0,21.0,6.0
wzmgrp3few5rb6lohn4po23gdmyzy4zt,5.0,1.0,0.0,6.0,16.0,11.0
y5vaadjqsxoxtbg3zfe5tawgaoag65ch,10.0,0.0,0.0,5.0,15.0,14.0
ygujyqhbl2xohyximhlwjytlslfwio2b,8.0,1.0,1.0,1.0,1.0,5.0
yn7w3runro26dmsfewp7wafqjpvl2z2x,7.0,1.0,0.0,6.0,19.0,12.0
z2ipzens4jgull6yddue4sl3zvw6hj5f,10.0,1.0,1.0,4.0,8.0,6.0
zs7fvg43uonwrtxnrhhywpsvd2zjtn5l,7.0,0.0,0.0,11.0,19.0,9.0
7kxa3tk6f7wbnrkxt27vyynpamxlvc4b,5.0,0.0,2.0,6.0,7.0,2.0
7w4mq6sxfh4qqwdnoufwh3jmpezdr6ff,12.0,1.0,2.0,0.0,5.0,2.0
7wh36p4cud6wxhgjv3t4afqf3uyaazb7,0.0,1.0,2.0,13.0,1.0,3.0
aj4cpgahylrgabrk52rhof2gvyzpcsjd,10.0,1.0,1.0,5.0,1.0,5.0
bhm7evurkxnc6ja3mjd3bdasww4igkvl,9.0,1.0,2.0,5.0,1.0,3.0
bqn227aqqwced2dwqsx4677jmynhdegq,10.0,1.0,2.0,1.0,19.0,4.0
bscndqwryqbpt5pogl47whn6dkrz6cf5,14.0,1.0,2.0,4.0,1.0,4.0
ctau7neteszcmrbxcvffg6v6ilfe6leu,1.0,1.0,0.0,13.0,7.0,9.0
echiaamiiaq2clnavrupq2ycawsgxy5h,6.0,1.0,0.0,10.0,4.0,12.0
emq3ifbuycbknus3hv5ns72iwqjuo5io,13.0,1.0,2.0,12.0,14.0,13.0
evcqj53r43tgxn4dczzibe34dm4c5sm3,5.0,0.0,0.0,6.0,0.0,10.0
fky5iewkocnc4hp5cildepvcbica5334,14.0,1.0,2.0,5.0,1.0,2.0
fmgxmg5jyxbowktlpkjbogluoddobrjy,6.0,0.0,0.0,1.0,10.0,9.0
mqmbsfbfcjwyhpg67rbyzn4h5uloiaqe,3.0,1.0,0.0,13.0,25.0,11.0
ts6q44psnspet2webtpycbnnczep4h7d,8.0,1.0,0.0,13.0,8.0,11.0
zncbcqsz5ndbf2xcwnzofjfk4n3hfkuh,0.0,1.0,1.0,14.0,26.0,6.0
zxyrwhg4la6vjwrjg3hp3i56vgg6u432,4.0,1.0,0.0,9.0,25.0,14.0
