,plasma-version,cmake-version,openblas-version
dkinuhyblx4rwzxcyo3vm5y426awtw5n,21.8.29,3.16.9,0.3.17
dp2ttpbbguo34uc6t2erfytnhdptlq2v,21.8.29,3.14.3,0.3.11
drz4fntbk5qx7cu7a7spnpee774ag3gq,21.8.29,3.19.5,0.3.16
dwq634ryldt7tlugi2c6oh6vjibacgzl,18.11.1,3.18.0,0.3.18
e2tj556tsmux2277x476xqtwq5vz3xn5,18.11.1,3.10.1,0.2.19
e5qrfriszmau5g5fzqxo3xazyipp4qmz,21.8.29,3.14.4,0.3.15
e6coa37kt5axl4xmw6axfyvf2zg6zrwz,17.1,3.13.2,0.3.18
e7p2p4vumwx3mfjqantyaupxdvqgggcs,18.11.1,3.19.3,0.3.4
efmc56dkozzy5x6wjrbd4k4l7rwmrfxy,19.8.1,3.15.6,0.3.8
efwqie42lazm4gtxjca5dftwjdeqjsw6,18.11.1,3.15.7,0.3.16
ejekmptzv6oqophrelwr2dbrtbdhu3uf,21.8.29,3.18.1,0.3.18
ekpgto53irugode7l5glbrrshhskluct,20.9.20,3.14.3,0.3.4
eqzy2e42n2xxcr6r2jut5peje3egglc6,21.8.29,3.15.3,0.2.20
euqakmxcpxy2bbf3jkaoq6rh7ngt77xu,20.9.20,3.10.0,0.3.11
eylcpitm3df3ya24jcbffv6mrplvrffa,17.1,3.21.2,0.2.17
f5elg7m3huej47melltifwwsiucd72dz,18.11.1,3.16.3,0.3.14
f5jdo6ve7y2ymg6tihvokgjiw24yqk5o,17.1,3.16.8,0.3.14
f6od6hkyergcod54e5zoe6mrjhvlbyal,18.11.1,3.17.5,0.2.19
fbx4bhhqgrx3bxbauaukv3nbkiyffufz,18.11.1,3.16.2,0.3.18
feqeooopqnuhblr76potjutblzyvzfuf,17.1,3.22.1,0.3.15
ffcxbrfo4au5b74qcnfvfnpbr5vuqw3u,19.8.1,3.19.5,0.3.15
ffqb7526eg2tqv6orprowghpesoeh3uf,21.8.29,3.16.9,0.2.17
fj2jtix2xn2tjakyixpzmr7n2n6bbw26,21.8.29,3.18.2,0.3.9
fmdcgs4pkzdxizygc22kvo7cku2gchsj,17.1,3.17.5,0.3.17
fmlft3fwck4padgdpajw5nhaikfwfkto,21.8.29,3.13.1,0.3.7
fmzbvjbe7vfhkf5uircuehxj7a4m2gcr,18.11.1,3.19.3,0.3.8
fn6bkvfrbqur7pnvitibjnqbx6ng63dk,21.8.29,3.19.1,0.2.20
fpahfcach5uz4ip5hhiq36dy2lrlwk6e,17.1,3.11.1,0.3.10
fphngbhvbh37i2mtnpeszbnv7bi3npv3,19.8.1,3.9.6,0.3.8
fwtffiucmp52tj7iwvge4weuf46ms463,21.8.29,3.16.3,0.3.5
ge6mhtwkrcchtcnnitrvh2we62bh64is,18.11.1,3.12.0,0.3.15
geqdynniiyvhg2ldl3o65al7hqezxzvb,17.1,3.16.3,0.3.18
geru2bznc5rulchpuhluserwpwlvbbix,19.8.1,3.16.0,0.3.12
geuxmr75fzkukrlofb4jknnfknan4uta,21.8.29,3.13.0,0.3.8
gf77ka74zlrwandkdr7dhvcvgy6wxw2z,20.9.20,3.11.1,0.3.14
gilgbxp7wtbodijkmvohsxakc5pf5ijd,17.1,3.15.5,0.2.18
gpge5j577jjiqoxjb3tixvk3novkvhvi,17.1,3.18.5,0.2.20
gtiy4qlha5ujynjydtnfo3al2znx4td4,21.8.29,3.16.8,0.2.15
