,hwloc-version,qthreads-version
uc2w7lc2xzm57t5px64wwit3hqt3v5f4,7.0,2.0
uhedpzad2utqn3wt3tvttrayseq4ah5p,10.0,0.0
ujopl4qgiq7kfnwkz3pxyoym2a3cgtrh,12.0,0.0
vma6o3pf2qxol6dnsox7afms5qrefjf7,11.0,2.0
vwkem2irsj57yx3t66kmgnxjkcuiv4ry,12.0,3.0
wco3kuoohqc52ujm4e3j7wdcm3u7saeb,11.0,0.0
wse4fmvpmmocbozaktwb4texx3jk7tyq,7.0,5.0
wtoytv4gsnbrtrh3cyyic2v3xpooemif,4.0,1.0
wzw4jpnsoefvn3xxezcc7e72rhzwatlh,1.0,4.0
x2e6xc77duxvhcxuacs2tiqvlzurccfl,4.0,4.0
x4k5yi42x6pjjxjdthfdkzzidgftconu,2.0,4.0
x7nmezivu6ndoqxcyoskfjnekkgx2uan,6.0,4.0
xdrdnv7pyrqpvq76b6lxbkkpftw7i5iz,0.0,5.0
xj66gvfvxz4h6utk7pibg4sakehtcptc,2.0,1.0
yfsqvybcln67o4fuwsj5eylvq7ji7i5r,20.0,5.0
yr5kgke7zjowr55vlz2b2i3v7w3qr7xm,10.0,3.0
ys2hyundhhsp2e5apep5pkp5xgcilooh,23.0,5.0
yvexmbj3sbs65bz3vlxcjwcoqemq2r7d,10.0,1.0
ywq7fopyamfz5iymhjcb2czjzzobrhqz,6.0,1.0
z34uwu5z6wi2frwwa3ns7lpjm7nc3tjc,8.0,0.0
z7yqeghneczr26fk5w5yqgaikrnqkmfk,3.0,2.0
