,libtool-version,autoconf-version,sparsehash-version,sqlite-version,bwa-version,automake-version,abyss-version,boost-version
6dftswfcahv45kuz7nt2sqs3csedmlyo,0.0,1.0,0.0,2.0,2.0,3.0,5.0,22.0
6qb47nqzo3kxswhuwvzsetczrjucsh2j,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0
7cb4pubylgshexfmls47ebp7z6ttilwb,0.0,1.0,0.0,10.0,2.0,0.0,4.0,0.0
7m4cbwtpwhzscblyiyqe6shrowxsjm4w,1.0,1.0,0.0,5.0,2.0,6.0,1.0,6.0
7qee2rwpmbopls66yrudklygzvjyelgf,1.0,1.0,0.0,12.0,1.0,4.0,1.0,0.0
a6autjdhw6kz5up63apuilpaox3t5btx,0.0,2.0,0.0,3.0,1.0,3.0,2.0,7.0
ab6bpvklwagpxtefukynbmwajmvsjild,0.0,0.0,0.0,4.0,3.0,6.0,3.0,4.0
ajf4tu25rjbcibtki5xi6r6mps2bhbtx,1.0,0.0,0.0,3.0,3.0,6.0,1.0,21.0
axjs3t7n7szzspplaodzuqr43aasl2gp,0.0,0.0,0.0,10.0,2.0,5.0,2.0,11.0
b45rvd34kgc3glmpqpdtgt5x3hlhdica,1.0,1.0,0.0,7.0,3.0,1.0,2.0,4.0
b4fdyxkr7hram4iiswro3df6esyucfaf,1.0,0.0,0.0,14.0,3.0,5.0,1.0,1.0
bignnbx4vy3rjcyzekhy6h5hptbultoq,0.0,2.0,0.0,11.0,0.0,3.0,5.0,10.0
bivp24ebu4r5yaxxytia5jjksh5sjrxi,1.0,2.0,0.0,6.0,3.0,2.0,1.0,5.0
bt2ndxq2oejcruhu42p7vf2ge3xj4mjp,0.0,1.0,0.0,1.0,2.0,0.0,2.0,22.0
byoulicrchce2foz6kulvnq2gf3qj24l,0.0,0.0,0.0,8.0,0.0,2.0,2.0,7.0
cb4yuencuplpancpyozvjh2s7bw2uxhz,0.0,2.0,0.0,5.0,0.0,0.0,5.0,7.0
chltgfp6sjzteb4cvzehczbbmxo2yr4w,0.0,0.0,0.0,4.0,2.0,4.0,1.0,14.0
com5hi2kkr4jm5q5jfrvvczs7zajv4lj,1.0,2.0,0.0,7.0,3.0,1.0,5.0,20.0
csdna3eavti4siaa5nmqpmwlqgbupyeb,1.0,2.0,0.0,4.0,2.0,5.0,1.0,6.0
ctkhxs56ckqr6mt7pylvs7oz27dfr3fh,1.0,2.0,0.0,0.0,0.0,0.0,3.0,7.0
cvqeh6m2bb6rgjaznt56awt2br3tupik,1.0,0.0,0.0,1.0,0.0,5.0,1.0,14.0
cvurwakos2r3hfjivdhjw2vc3zrq43ut,0.0,0.0,0.0,0.0,0.0,6.0,5.0,20.0
dbob4247qsfdfa3xqeipmoor635nuhub,0.0,0.0,0.0,14.0,3.0,3.0,2.0,12.0
dnwtnuezz3yjnap7m4nnbskqwo7ve62f,1.0,0.0,0.0,8.0,2.0,5.0,4.0,19.0
eac7ojiqjny23jxomufzmxdbvg7artd7,0.0,0.0,0.0,6.0,3.0,1.0,1.0,23.0
ele4olpu2qlcfhp2xuzc3igoydndqrgl,0.0,1.0,0.0,9.0,0.0,6.0,3.0,21.0
eqbrt4qt74dr2ylwlwac6w6ouz6wht5y,1.0,2.0,0.0,6.0,3.0,5.0,4.0,0.0
etkfoq6tiiy3evm3jmnf4ixfr5cmy2gf,0.0,1.0,0.0,2.0,1.0,4.0,5.0,18.0
exjhg3ltvzwxzsf5s72bnvypn7fzuzfr,1.0,0.0,0.0,7.0,3.0,6.0,5.0,18.0
fj73ejpzom34df35yxrhqlsj46dhwp2p,0.0,0.0,0.0,6.0,2.0,6.0,3.0,1.0
fmlpzysekmzpuvbg4hbxcmxxdkswlxk2,0.0,0.0,0.0,6.0,0.0,6.0,1.0,16.0
fx7j5a2txeqwzxedrzpapnfvsx6linz7,1.0,1.0,0.0,6.0,0.0,1.0,4.0,3.0
fygjepevbbv3na6oxk666fs6cjr2i5q3,0.0,1.0,0.0,1.0,2.0,3.0,2.0,13.0
g7elyhatbvypanhcueptjzjwru4a2num,0.0,1.0,0.0,1.0,1.0,3.0,3.0,19.0
h2dh36q4pj5dp2w3do6wlpowji3frcfo,0.0,0.0,0.0,6.0,2.0,2.0,5.0,14.0
h2ypqtv6wohm2xgay6g7m3mys3q76ne5,1.0,0.0,0.0,3.0,2.0,1.0,4.0,19.0
hashx27u5fwsa6wpq2ocwv5q5vshcjpe,0.0,0.0,0.0,12.0,2.0,0.0,5.0,10.0
hkyrkpspdbzonbbyjczuvzked37pujpc,1.0,2.0,0.0,7.0,1.0,0.0,4.0,11.0
i5nk5kd472et3nvw3mx6jikb6wgxszxq,1.0,0.0,0.0,12.0,2.0,3.0,1.0,2.0
iach3idwvnnublf4rpd272p5pamtyvkl,1.0,1.0,0.0,11.0,1.0,1.0,5.0,21.0
iaeeelw5mavunqdzepl36haq3jbnmi35,1.0,0.0,0.0,14.0,2.0,6.0,1.0,24.0
iducr4eoxlkurgo4ooe4w2qo6dkedztg,0.0,0.0,0.0,5.0,0.0,6.0,5.0,5.0
iiah26ujifya7mibzqexrmg752zhzo54,1.0,2.0,0.0,1.0,0.0,5.0,2.0,24.0
j7qe565p3zqkmuoprhx2tphp4qctyviq,1.0,0.0,0.0,11.0,1.0,2.0,4.0,15.0
jhkixedia4fm7d25fqkmu6ctlnqxhhxt,1.0,0.0,0.0,0.0,0.0,2.0,2.0,10.0
kpfjw7xqwihgvsfx27ac6h6pwivjggkf,1.0,2.0,0.0,2.0,1.0,5.0,2.0,14.0
kqpupr22ieszn4buev6x33zqhcjbexiq,1.0,2.0,0.0,7.0,0.0,1.0,2.0,16.0
kqt2qhkl4jrefflx5oiy4mjr5wt74nqm,0.0,1.0,0.0,5.0,1.0,6.0,3.0,26.0
ktq5q7g2h2eotc5kqonndhchud523d6o,0.0,1.0,0.0,12.0,1.0,2.0,4.0,7.0
kw45fa4n5c5gavas6t3ytidco2oxk7oh,0.0,1.0,0.0,7.0,3.0,5.0,3.0,23.0
lq6yjpon6fa33rvllctdvfc7m4y5cule,1.0,1.0,0.0,1.0,1.0,6.0,2.0,19.0
m5tnm2ffmgbxn3hbjpxplcl2gldsaerh,0.0,1.0,0.0,1.0,3.0,6.0,2.0,17.0
md33gg4rkcdqx3emu3qvo6secoh7q5cr,1.0,1.0,0.0,1.0,1.0,3.0,1.0,24.0
mjf7tvwbd7hqelpbun4gtnr6dktmhvg5,1.0,2.0,0.0,0.0,1.0,0.0,2.0,12.0
mshnkqmnk3bldlbvx3tmqlygznghd265,1.0,1.0,0.0,7.0,3.0,2.0,4.0,23.0
mwjfoxh3coayljk6dgndazgldkccq46m,1.0,0.0,0.0,5.0,3.0,4.0,2.0,19.0
ndwfstyoaq4rdsqtpxbslkqb4ugwguap,0.0,0.0,0.0,1.0,3.0,3.0,1.0,24.0
nqqjuo5wwe65y6uqlgmceyrjofa3wo53,0.0,1.0,0.0,7.0,2.0,2.0,4.0,15.0
o7xxy6tx2v3ggru6fbc26vug4uadzibw,1.0,0.0,0.0,2.0,0.0,4.0,2.0,20.0
oatcyn5v5udeethtq64b7oxmbs535oyh,0.0,1.0,0.0,5.0,1.0,5.0,1.0,21.0
oe6yn54naccpte6vh3hyf4qdwu6ca5gi,1.0,2.0,0.0,3.0,0.0,0.0,5.0,11.0
om7ocbbtfma6jjjeweyfxx3tmfjmlln5,0.0,2.0,0.0,3.0,2.0,5.0,4.0,7.0
onqgzifwnodooenw23nt6zgjucsspkyl,1.0,0.0,0.0,7.0,2.0,1.0,3.0,10.0
ouo6ri2rirdxdua32b5khxgbbcvgelbn,1.0,1.0,0.0,6.0,2.0,5.0,3.0,15.0
pn7nfbnzvxnxajkytaxwp7ywlkdq3nav,1.0,1.0,0.0,8.0,0.0,4.0,5.0,16.0
ppwbvuj6g7wm6p2aqwcbou5ca7hbayjq,0.0,2.0,0.0,1.0,3.0,6.0,4.0,3.0
pxvk5ww43jwntddsledqbkupkncl7g4w,0.0,2.0,0.0,2.0,3.0,0.0,2.0,16.0
q6wkxuoaxgecfzcexnc2ni7oolviahaq,1.0,1.0,0.0,3.0,2.0,1.0,2.0,16.0
qddrls5zjys6uu3gbcy3twuerrangpbb,1.0,0.0,0.0,14.0,3.0,6.0,5.0,7.0
qgar6xkqti6oupgu2vzidciwlseiwyfn,1.0,0.0,0.0,13.0,0.0,6.0,5.0,16.0
qoove4js4jd35c7xlg4vj77fdavw5v6f,0.0,0.0,0.0,10.0,3.0,0.0,1.0,19.0
qqxqejzocwc5zf6ej2omjtg75z6hhzhk,0.0,1.0,0.0,9.0,0.0,2.0,1.0,10.0
qxzvj7jwktpjxnoqt63phb3accbo2t67,1.0,2.0,0.0,9.0,0.0,4.0,5.0,0.0
r2tx3mdmldkccw7xog2n6wdwi2c7efzw,1.0,0.0,0.0,9.0,2.0,4.0,5.0,3.0
rc7mdqsg4jlxmkdltjy6vk4dlnsianva,1.0,0.0,0.0,4.0,0.0,4.0,3.0,16.0
rtk6ww2r4tl52x2she26cvbilc6wb75y,1.0,2.0,0.0,2.0,3.0,2.0,2.0,23.0
rv3gtkums6ykruntovos3hzkorurz4yn,1.0,2.0,0.0,0.0,3.0,2.0,4.0,1.0
s2l5hckm2ddgytlmhfzmlplzgkrjthk6,0.0,1.0,0.0,4.0,2.0,6.0,5.0,7.0
s3vaq5v2eh4zhmrcwl5qbocvjb7jh5eh,0.0,2.0,1.0,15.0,3.0,6.0,5.0,25.0
s7aiewci2dhafmsfvg6m3fb2kkpiu6pj,1.0,1.0,0.0,9.0,0.0,2.0,5.0,23.0
sdvmgzpiygx2iu2ufsepeffqx6m3car7,1.0,1.0,0.0,8.0,2.0,1.0,5.0,5.0
sjshlezsjmjxwbjlfhaqxd2rdego65ld,1.0,2.0,0.0,14.0,1.0,1.0,2.0,24.0
so7zbevsl5l4y55fdsyf4ok4faiyeujh,1.0,2.0,0.0,4.0,3.0,5.0,3.0,7.0
sp55mzt7kkvhi6jkiwgjzagteveox6nf,1.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0
stbpel5bjaz5sscgmq46ggchkt5qdi75,1.0,1.0,0.0,12.0,2.0,4.0,5.0,10.0
swm4luczpwdjv3xrfigdhcogthqsfjce,1.0,1.0,0.0,0.0,3.0,4.0,1.0,26.0
txyhpmuy33e65wujqnsnev54xzogovas,1.0,2.0,0.0,2.0,3.0,3.0,2.0,20.0
tyqyxk3wkyzgq4pxhdet73regxo45jrt,1.0,1.0,0.0,4.0,0.0,0.0,1.0,24.0
uhnjrmogm3zk7nofvnc2hqcdbji3waof,0.0,0.0,0.0,5.0,2.0,6.0,2.0,26.0
umujn3slsn2jt4gwyluhatloo34uewia,1.0,2.0,0.0,12.0,0.0,6.0,1.0,21.0
vaynwe7s2e27phllf2jdtdiuo5ljgqkw,1.0,2.0,0.0,11.0,2.0,6.0,1.0,19.0
vmz2rvaiemxowynoc726njxdob2xn4zw,0.0,1.0,0.0,9.0,3.0,3.0,1.0,24.0
vnccwajq4vontl2becopbv452acyo7mf,1.0,1.0,0.0,11.0,3.0,4.0,4.0,16.0
vuyosvkqta6uvcr35qkrxnsuwds5rjh7,0.0,0.0,0.0,1.0,1.0,6.0,2.0,3.0
w4nyknlit5xl5k65hogalbooyyfliqn3,1.0,2.0,0.0,10.0,2.0,4.0,5.0,24.0
wlrhdk4eajvna4awro5ctrjyfgyqbkii,0.0,0.0,0.0,1.0,0.0,0.0,2.0,14.0
wvamcuce52goko34eg2ljqiild7wtf3o,0.0,1.0,0.0,4.0,0.0,2.0,1.0,7.0
wvzg5w2rag47rfxuxtq5okk2nnlm2wnl,0.0,0.0,0.0,4.0,2.0,5.0,2.0,5.0
x77y3bawmcnfvhyts5vrtnuoempy2dmm,1.0,0.0,0.0,13.0,3.0,2.0,2.0,3.0
xei4eoe2qgdoen56seaprmpeiibf2vf2,0.0,2.0,0.0,2.0,0.0,0.0,3.0,22.0
xjcm42xdzbxjg44igm5x6rfhxvwamv66,1.0,1.0,0.0,0.0,0.0,0.0,4.0,20.0
yjdztlhu2httcnwxeda6eg5xdxnrrlji,0.0,2.0,0.0,3.0,0.0,0.0,3.0,7.0
yq3l5ezh64rmuprtdrj7njxnljya6l7g,0.0,2.0,0.0,14.0,1.0,3.0,1.0,5.0
ys4uj4d7kcmuze4epdlesyz4jfdppiqo,1.0,2.0,0.0,8.0,1.0,3.0,2.0,9.0
ytctgjmxywx5cmpm4d5uaeeo4snjaejd,0.0,1.0,0.0,0.0,3.0,4.0,2.0,9.0
yuudtjbfjqrluco4pmcojvejt7fsib4y,0.0,2.0,0.0,2.0,0.0,1.0,1.0,18.0
yy7ycwngb2x3tpaysoarhn4vq3juxsvm,1.0,0.0,0.0,1.0,1.0,6.0,4.0,13.0
yz34niwhvafdyus2keldj6ymks7ify3m,0.0,2.0,0.0,3.0,1.0,2.0,5.0,14.0
yzrkqmisaq74qygdg5mygd7b7zmalm64,1.0,0.0,0.0,11.0,1.0,3.0,3.0,13.0
zifel4scqxnjlikogbyp3kmg5ozzcusp,1.0,0.0,0.0,14.0,1.0,3.0,1.0,2.0
2jzcy4dgbp2j2xjweeu5vzl6hzibxngn,1.0,1.0,0.0,7.0,1.0,6.0,0.0,2.0
44dc3fwdz3qllxvzyz2npd6vmx3m7bj5,0.0,1.0,0.0,12.0,0.0,5.0,0.0,2.0
5bwbnuz7bc4ahhvccrgbh2ha3r62afqd,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0
boffww47kgbrc64o525mxcnzy4prr2br,0.0,2.0,0.0,13.0,0.0,5.0,1.0,12.0
cbc7fmfciypernh7gzqgfobtyamwz4ri,1.0,0.0,0.0,7.0,3.0,6.0,0.0,2.0
clko4vf2yoqixvb3ldhojrlz5fsahusv,0.0,0.0,0.0,9.0,1.0,4.0,0.0,3.0
evppnzl3lblgnoigofaukcp4lmzyp6yy,1.0,0.0,0.0,11.0,3.0,6.0,0.0,4.0
fm3pwpetq4b7s4qmqxdtf46vs2yfufb3,0.0,2.0,0.0,12.0,1.0,2.0,0.0,5.0
g3jbo2ouwhkpsutpxvd6a623tbcqvo3z,1.0,2.0,0.0,6.0,1.0,0.0,0.0,2.0
hywjdlnc4h5zfwyp7g2wcerp4fmd5ygt,1.0,1.0,0.0,9.0,3.0,6.0,2.0,18.0
msa7mc4f6nyzuwosy7sqtjofrk6prslt,1.0,2.0,0.0,8.0,2.0,2.0,0.0,0.0
o64tdkgueih5i2y35whc6gjw273jmnrl,1.0,2.0,0.0,8.0,1.0,0.0,0.0,7.0
s6n4qxv6rij7tqpi7kqpfcen7uqryumy,1.0,2.0,0.0,11.0,0.0,2.0,0.0,4.0
xm4u743r3dkrp6urlyvmjbda7h7t4r33,0.0,2.0,0.0,8.0,1.0,5.0,0.0,4.0
xrbmsdn2sp3zk33ctzfjkhrm7obn5csb,0.0,2.0,0.0,14.0,1.0,4.0,1.0,12.0
xtyutksc45mwadvc6y6rpzxdjbdyeqzc,0.0,2.0,0.0,13.0,2.0,3.0,1.0,12.0
zv22gkobwymqu2ob5igl7av5nml7qgqg,1.0,0.0,0.0,8.0,3.0,0.0,4.0,2.0
