,cmake-version,kokkos-version
gkapxito4iozdcywexxwqmtcnccrhrei,3.19.1,3.3.01
gqyd3ms2oqljvieijkus3s3wct5g7fjv,3.19.4,3.2.00
gzui7rq4uree6bpboqoy23id2cy443vr,3.17.1,3.4.01
h7yg2sibjrn4iguxn6baradllfoctesv,3.22.1,3.4.01
hsy2j4kqvnw576jeqdrvvq3u4b5wy5mk,3.11.0,3.1.01
i2knx7qvnywjqlf3pxjifqdh7jq2pmxs,3.14.5,3.1.01
i6du3vwumaafsrtyfj63sic3v5dny7z2,3.19.3,master
i6y772tyt3lyd4vfkhzcvtqybjoneu3s,3.16.9,develop
ia3wnsupws7txoy4wjdh4jahmj7cfdec,3.18.5,3.4.00
igzdwjxb7cwcwrz2wkumon7dc6wgd6cp,3.16.5,master
ihtexw4grdxjberrfzyf6jupcokdtx4q,3.19.7,3.1.01
inxu4qxlf4e4ov2kvti3bafaxmdulcer,3.18.2,3.2.00
ior7k2jeju2onhdjpx3r5lyptnel4bgm,3.18.0,3.3.01
isxff2jg3xoauodtqnomp2u42hd43y6u,3.12.0,3.2.00
iuyxz5dioxoopojwa773tolddl6jtszf,3.19.3,3.4.00
iuzoxsu3peyyqdhqxpmx3ureidirdith,3.18.5,master
iv7svcq2ow7qzugi64zvw6ttf4wjwxtl,3.19.7,3.2.00
ixocde7gpp66ndifvd2z6jyfryevu7r2,3.14.1,3.1.01
ixxpnedlbgsfqstbo777zvexzbsdfgdk,3.18.4,3.2.00
j45bioxnjl3fblblhq7lb6kxbhezrjm2,3.16.3,3.1.00
j6koxqn7jdalep2zdisduoqbafw3wv4t,3.16.0,3.4.00
j6vkueaorad7ea3yyxl6tozwpawsxcrx,3.12.2,3.3.01
jafdmzop4442namqh5gxgkawtfobylkz,3.20.0,master
jaoikzcnuucxsdzwdfbzr3a73sxffux6,3.13.0,3.1.00
jeejk2nuh5pnp7ccass72psqqqfpkevr,3.17.5,develop
jhh3jqqtajpzi2buz4flcfxqfhv4hg6d,3.13.3,3.2.00
jll275gr6647iwekx3liwkdnm6c7qqcd,3.17.3,master
jr74heu55isfzic5e7xrjxt76js4brgy,3.14.3,3.2.00
js4nahopfgjin7jcbcsbso2abcaaowwf,3.20.1,3.2.00
kz5mbox77jdloqbnro2pqmqhjam5kjch,3.12.3,3.0.00
lchwfthq5wudckez5jqdlirjdtcfkan7,3.15.6,3.1.01
luowl2tv3be2rwh5ewdmvyt636u2dpg5,3.15.3,3.1.01
luvmvyazmprx4ykosr2o4oga27x57e6t,3.18.1,3.4.00
lvgczz3r4ehii44miwkfesx57xezto74,3.18.5,3.4.01
mbegusut7g6x54a2ug557yniowmc5ryx,3.14.7,3.1.00
mfobi4g3ya4wt3hk5b2nksk7sphy5p2p,3.16.4,3.4.00
mgng7sgjfzqe2kpkju5xx5nrxckk5p3u,3.18.3,3.1.01
mgou7v63r7zgk52wlbpilw3m6tlgjh24,3.16.1,3.3.01
msuq5nhy24zi7cg75bc74rcd2znjoczz,3.19.2,master
mvuq56jkty5cvbrketfqpn4klsifqhow,3.14.7,3.0.00
n6nbtrf6tu5ge4omdjlado6uyuww66fk,3.19.3,3.1.00
nh6b6fy36p57scg4szb7ab2sd6rii7oi,3.19.7,3.3.01
njfxubb2hdnprwfootpmxmslj2qpftiw,3.21.2,3.4.01
nrvqovfvagso5kafsl3t4byyrlvltp6k,3.11.2,3.3.01
oxu54cexup5tjtobbnu2atg6mesg5iwk,3.18.6,3.4.01
p6cz5y2fz3rasdfxngmi5ao4d3poi7e2,3.14.0,3.2.00
pmcvk2lywt3y6bqobd7epadc3bjbd24k,3.16.3,3.4.01
pwsegdqbcbzgno7c6lkiuzcpkrmz2uzl,3.17.1,master
pyf4763m72nmtdpory4flqjhqkx35cp7,3.11.3,3.2.00
qjkp43642lkkehihrwp2fprtmp34rx6q,3.16.6,master
qlc35nnpxhslhkp4lurcoe6lgpudp5wz,3.13.1,3.1.00
