,adios2-version,openpmd-api-version,hdf5-version,nlohmann-json-version
drrthzxhiazkpeecxndtm6vk5zyku32j,0.0,8.0,17.0,3.0
e73kuv3azpj6aopkpuevuvb2bbr45pvn,2.0,1.0,17.0,2.0
efdnvv2qmdazrsupvqjkpi7fdjmefl4z,0.0,7.0,2.0,3.0
ejyxkzhqwqkq7pbarki3gslkxrvjbwub,2.0,0.0,16.0,2.0
g5cae77hfjpmwzs7rlywrck6qvsy5yzd,0.0,8.0,2.0,1.0
hwnptyotvnoprgqzgqszbpm7g6f45jni,1.0,1.0,5.0,2.0
hyluakrr2se7kecyrtr6wfhhxksfswcn,1.0,3.0,16.0,2.0
jn6m5se2czl6krcl4lw5ulsos2tszz7a,0.0,3.0,3.0,2.0
jqcjxy544r4evaysa5yu5uz5orqziivb,1.0,2.0,3.0,2.0
k5prjxw5lt5yklelnfyicj4hn3onxvpx,1.0,0.0,24.0,2.0
kjmxmbumvcx3g5arschoucwp3dlctw3n,1.0,3.0,8.0,0.0
lawlu3pkw7upjhgzrrgqroltmkwly52n,1.0,6.0,8.0,0.0
ltuadp6swj7q32soe4dlvs5okjtdvsbo,2.0,1.0,25.0,2.0
mp5ynefzb4ykcuxff27soirpminiwvox,0.0,3.0,22.0,0.0
mueqrxgk7poxufsubx3kqoy5xnpbopru,2.0,2.0,1.0,1.0
n3u5wg7eywzqsw47dbkinpmdednrr2pg,1.0,0.0,23.0,0.0
n5e67r5rqhdohpcmmtva7lnopy2ttjcn,1.0,3.0,4.0,1.0
ndgrtn7ny5uchyu3zxs6rtoi3j6ye46z,0.0,0.0,25.0,0.0
nga4v4a22y2ehyv3jydedewgeu4be226,1.0,11.0,25.0,0.0
o53nza3l43qliq6f4imgp4yljhsyd2m6,2.0,4.0,7.0,2.0
ptxfkmwmffryfgrzqolyemsz544ihptf,1.0,0.0,9.0,3.0
q6xg2cxqktnxpa5pzzsgq67iea4u6cf4,1.0,3.0,3.0,1.0
r4zn4wznlbjezl2fqxrbk4u25zdb52ay,0.0,4.0,0.0,3.0
s2ils43sxb7jahuiaicbt6pzp7bsdruo,0.0,9.0,16.0,0.0
s2ue4jigdrfpo4hsa5rn3yx4varg4ycp,1.0,4.0,15.0,0.0
sbquoexoylzocdqqellcu7mbz4htu3jf,0.0,10.0,15.0,2.0
shk5byef6bgf5dnuiwoeiizc4arqa45r,1.0,10.0,16.0,1.0
snoqbdikibfxs3o4e7qnlh6qh2goqdsc,2.0,8.0,0.0,3.0
sppenlrpuqmlqx3rgp3fawzoqmfjpay5,0.0,1.0,15.0,0.0
tdmqbrk63dxv2cmt6yaxciqps5tpp6ev,2.0,6.0,7.0,3.0
uuyb4yrhcvthb5ftaj74jlthnbvaxlrz,1.0,2.0,0.0,3.0
vbhbco5dvsk4sp7iwvcyffirtjywj727,2.0,7.0,9.0,3.0
wfesf5mqwfauleppkxd2ah35xqdrxm34,2.0,2.0,11.0,2.0
wo5e27ql2vhezprtuibj7gtyjetlvlvw,1.0,7.0,25.0,2.0
yfc6sw2ucm4dp5i6da36mwm3s46fjey4,1.0,4.0,0.0,1.0
z3tnkgu5w2qk5pmnrbo2j7zkqv4d7sut,0.0,2.0,25.0,1.0
zdx774ec4eliaslkitnzlh3ikwvgkz2q,0.0,4.0,16.0,2.0
zf6ryfvdkfmpdgw7cojs2sex3ml636ij,1.0,9.0,25.0,0.0
zwfy36uwuvyfu276xvsyeglitdeqbeq6,1.0,9.0,9.0,2.0
