,superlu-version,cmake-version,openblas-version
ggazygmjvseymm5e72doaozeg4ykpnk6,4.0,54.0,18.0
ggqhnbfujolufxkoqvi7pcakqnltqa72,3.0,35.0,20.0
gh7zfjdn3rbyxouwchismnxww466xslu,2.0,87.0,5.0
gjp5i2wfqadlcnk2u4f6o57mmgwpkbd4,2.0,28.0,18.0
gmcbm3ydsdaet2rko6th67wexsi5mfcs,3.0,58.0,17.0
gnmoldva5aydlhkruzunz4buajk4c3wt,2.0,91.0,17.0
gookypo6i5xg452dtpo3boc7eqnaat4m,2.0,92.0,6.0
gp6t4sman546xrtj6teaok7ruoz476h5,4.0,11.0,9.0
gqqgnafzft652lhuimmyf6ckqkkzpraj,4.0,75.0,6.0
gsi2x3a2upw244xhdaik6v5ffbekmhfo,3.0,28.0,4.0
gsvn3iqogxcbs7gbu64dgk6evixp6gzc,4.0,77.0,20.0
gx3qwyccf4zlnthwixrqlzmlmt4ny36a,4.0,11.0,21.0
gxzuqc4qsydgwp7apmzfalgj7p2mb7lp,2.0,88.0,3.0
gybvmznwzk7a2utt3ptshqcjwz43bquv,3.0,68.0,14.0
h24pjb5q7qf3s62auqrhtfcdy5x66pgm,4.0,47.0,16.0
h2fgmiczgtce3qezhth6ctjb2my46bz3,3.0,14.0,21.0
h6nbeszgos5z7eokislif3vgpy4r2xlv,4.0,34.0,14.0
hia6pxm2okiorpclgw3ovquzbe2gdmhg,3.0,87.0,16.0
hikjzqlz6vpolztj3o6rhyykwtmr5tqc,4.0,8.0,17.0
hjlrp5nais5ppkt7z74uthqsam4xkrws,2.0,69.0,13.0
hjzwn4zs7bpfdjc4u76snhhivxbw2aay,4.0,58.0,1.0
ho2k5ux7mlva7eulquzc3bbujfabf4i5,4.0,35.0,4.0
hpepuwfgdyukih6ncpzat2a6id5bxgrt,3.0,41.0,1.0
hrendudlmtqqgrfbkze44isv6wcayvcc,2.0,31.0,7.0
hs27iuagm5nj33nhnxfkwv7lp7mdsb3m,3.0,77.0,20.0
hs45oqk223wg6opvp24if3r3t5nbtaa3,4.0,17.0,3.0
htgtt2dnc2z5era3roby4dm4yn3kiyte,3.0,15.0,9.0
hvb47a25xyap6jbbfj6jeqgobbcx7vml,3.0,11.0,1.0
hvcsnel2jg33ypneatfmvgpioay7pr5m,3.0,75.0,8.0
hxhfo3qnj5qvvwaqbee4bzmqntkdturm,2.0,83.0,7.0
hzcift6cpwjv54uc2x5qiccsqhgr4jgk,3.0,83.0,3.0
i3besh76u6ad77vwoqnbndifaarrvkzm,2.0,8.0,5.0
i55amivpsit5wfl3tqda7upktzvijl7s,3.0,22.0,20.0
i5qyjmfqz2kmysydsharjeabdvo57cle,4.0,93.0,21.0
id4yu3uyyqksodiu3553qf4uvmvc42xl,2.0,37.0,9.0
igokxdto6yk5tsibb2snx3kbe6z3tiz6,4.0,48.0,11.0
ikmimmtcsxhr7tfgqpmi3ndcjdukweyh,3.0,27.0,19.0
ioe27vmhjpi7tyzqq5xvz2a3eky6byps,2.0,12.0,11.0
iszztfwgux57ht7mpkbwzj6lztreac4e,4.0,41.0,14.0
iwwwotjeehcmj5j5etoc4v77q75novgz,4.0,63.0,20.0
