,cmake-version,sz-version,zstd-version
3tfntor7i3gtpjbpx2w7ic4eslzu2lre,18.0,7.0,5.0
42dmutqnjm4czrlynnk472pxsdwrohgz,11.0,18.0,3.0
44okq4svospfmy24aqj5ptdimnhz5742,35.0,7.0,8.0
45lkjjrobt6z4zxmczkqdgj53jlum43m,32.0,7.0,9.0
47tfva5kfm647j6mfx4aj62xxqxqbem6,17.0,7.0,11.0
4a4higgmghxm7k6qmwmwyjacr6e67bhp,27.0,10.0,7.0
4bfhvr6suavmmuypce73xl4lvb2eu3a5,8.0,15.0,9.0
4btk6nry2tjr452jnblbh6qoob24rqpz,10.0,7.0,9.0
4fylpb6pqekbxt5dgrqtzw23dd52ucgt,37.0,0.0,0.0
4ghswqrkujjoebfyy2n6sk45yfjffovl,49.0,2.0,8.0
4i4vzy5g2fjahxqowwxfsm7ypwfpr7en,20.0,12.0,11.0
4mixnw2yf5wdfz6sgyvdcghcxvbwsome,0.0,16.0,3.0
4o4o6t3hipehwo27glslseset4quhscf,14.0,20.0,10.0
4pqab4nuizl4e2i5ahwmehkpvd6dqisp,17.0,12.0,5.0
4svd7vsu5uwnb64xfeibt5ijnxrvgcga,13.0,5.0,11.0
4umow6u6itgaxxfr65yufupgrfxrvqiz,49.0,2.0,11.0
4vbqxqf3gvj6whb5w3gzqdwx7z4bc37s,15.0,15.0,0.0
4zqivmim52dsllk6ogfqak7s5oqr5c4h,7.0,20.0,11.0
52lvohpb3ew7gjkhem6fr5lql3nuq7ph,27.0,19.0,2.0
54fxsrptfmvcnwapsgdzoixj66b3g3vr,14.0,7.0,12.0
553qz55sqr7iblcrnaxygysi6ksq7axi,32.0,17.0,1.0
567fi4f3rgmr6iw73ptjvvf2pmpprjru,24.0,15.0,1.0
56lvycpczxgug7p77x4os2tszoorazav,36.0,2.0,5.0
57c62vn24sh44h63mg72otditqkmkknk,44.0,20.0,2.0
5b5r3kf45jbfqjwxxqnudbrxbhvfmkwr,14.0,20.0,3.0
5erg5i4cdxxtttojoh53hc4hp4ph6bip,43.0,7.0,12.0
5fr3tsjdsbmkllbtbgkjq6uaunbrafdi,25.0,9.0,10.0
5gapuirk6rzov6n34qbh3cbbpga4yfzj,27.0,2.0,1.0
5hcirvjzxslk2bufo3dest4bveccpoz7,20.0,6.0,1.0
5kopnnkt5ksoimmj5hc2scsav5kge5mv,43.0,8.0,4.0
5mvxr6r4jot6ocvrm4itxirkliuneilm,1.0,12.0,9.0
5ooov4bnyoesm3n36honkmcehqfvrwe2,10.0,6.0,5.0
5orp42yxim4nx722upb3p6efj7phbwip,12.0,13.0,11.0
5pzeranrfg5tmy4caw4d5oovoeetqhrs,29.0,10.0,1.0
5qcfgeaqpd2p4uderii4swrdf7yzpb44,27.0,14.0,4.0
5rjf3hsjsfkesvq7gziqqabt7gy3dmnt,48.0,7.0,10.0
5s5olgpypcunrjt2t25zwmb72nvxfrzq,15.0,15.0,9.0
5taa4vpne6y6qdl2xz2r4hnvnh4gtrpx,38.0,1.0,10.0
5tife5ypehfnqy4oyrqwd3py55qavwma,0.0,1.0,11.0
5tvk5xbhrul2cw2jqo3mvwctsa4kwpox,40.0,15.0,0.0
5vrh4dbhlwiht2vvdzwoiaa4t4ziix5y,42.0,15.0,3.0
5vvzrz4qyz7b27s3usmj6tppdxnnt3nl,36.0,10.0,5.0
5w6cbihmp4hpiqalh7u2oxlbhtp4ypy6,49.0,8.0,11.0
5y6cgg3ypin22kch5otd3jv3yv6rlorw,13.0,16.0,3.0
5z4ewia3ufcvbx6e2df5fxr4hbctsgex,44.0,4.0,2.0
5zdzg2llxwgsfhbyu4gqetbqqctcrkfy,31.0,1.0,9.0
5zk6m55jzzxfpfgxf6car5c3nzouchyi,24.0,10.0,7.0
63ib4j3rby3h5gsnqzzrigzgzi3kn43h,17.0,4.0,10.0
64m2rrxinc7eikncwaabdlfwa74wvece,28.0,20.0,4.0
65wzwgppi4uxuzfxnfvfnj57bxk43bmz,0.0,5.0,7.0
6elkrmzd6bpdtl75vsnyzhleegyeero4,23.0,7.0,3.0
6hao74y2oyc4my6evqe5eva6grewmvd7,40.0,9.0,10.0
6kswbc67xveulvznzsmxeg4fjjbpjr3g,15.0,8.0,1.0
6s56jzgtiegjqelk2xfqdzklrqttjubt,34.0,13.0,11.0
75wnoqifwxknb6sp4sveihfontp4bdjv,3.0,4.0,6.0
76ncjy6enq5yvoirgpxzifqysizpr6mj,30.0,10.0,7.0
7ad435hl5idred27cwtxq5xccnpdfxdf,3.0,5.0,5.0
7i47ej5rn7gj2z4ybu6s33lkjytm4mcb,13.0,3.0,6.0
7iyeupp4x3vzuojsl3j6xxspbbbbe5ey,31.0,3.0,12.0
7r5qzrtfyxdw3eogcmnihtgibwtp5jrk,34.0,15.0,6.0
7s7r6v5lyurhzr523drhbsodssqqnh7m,27.0,7.0,4.0
7u2spc4dkd6dderxr6cgedy2xbsuuzvs,38.0,2.0,12.0
7u3gl4lspki4xkvwa6thvk7vstupnecb,24.0,5.0,10.0
7w6nikjjm7xko5orqqnfjnyuorool3da,7.0,8.0,11.0
7z4afrsizwxmznqspr5lmcglmnqf6qfs,18.0,15.0,10.0
7zk26yab6x3gl5weothw7d2iorhfmfsd,15.0,6.0,10.0
a3zi5ruowqbugitqyz35emyc6chdwmli,41.0,9.0,7.0
a6ghqe2bo7sbk5t63o2hxp2k3tc2lczy,34.0,2.0,1.0
aaejoczoqn7xjutqwoakpsn6ttb45mub,7.0,20.0,2.0
ab5maahcvr62mb6u36o3rszh4ed76nh2,36.0,9.0,1.0
acdeanvnxoazpwvnhle7wjlkyzka2yso,46.0,15.0,9.0
afmnkukkiow7jnehs5ff3ld57vshrfdl,49.0,5.0,5.0
agk3q32fbk7nrshmn4fmvdblx2jxii66,18.0,6.0,6.0
ah7vtcf7csrcloozr4c4ocf2vb4dqxpb,38.0,13.0,6.0
aoieihfyxar4sohqweqtxwhu4drslln7,28.0,11.0,6.0
ap4jxohm3cgi2z22hszg5y654rp5cmfy,45.0,18.0,8.0
aph6mvgtlq36cpeme772pkula5a7csgv,31.0,0.0,2.0
as3l2lkdyjqqvfj3nss3rixggyuuvppb,18.0,3.0,7.0
as6pccuimn3onn2kafamgwgokq6bgmhj,47.0,2.0,12.0
awy5vp2goihbjwtcdwtejkj7r3szjkk4,39.0,1.0,10.0
ayvl4t7taapg6rp6dsqcdfxsxvzkqqmx,39.0,2.0,0.0
b2n3e7ynh3x7ctfepyy4rviwpjpizhdg,6.0,15.0,0.0
b32lwi6xoq3vvpexpppqwznxehctd3yi,2.0,8.0,7.0
b3ral75mtzk55pqmrgr6czvtq3fcq7dl,32.0,17.0,4.0
b6436fd74vuy653bzwqcojijpojkhot6,34.0,1.0,9.0
b7ivl6ae5mebhmzfwxegedwz4lnf6yns,42.0,13.0,7.0
bf3abxnw4k76agiuz7bqbi2r4ta5lg6y,27.0,0.0,8.0
bfgseuln72icvgt6mdtoknn43wsifzmm,3.0,15.0,11.0
bfnnlelsvg2ciuxaklfqlijpc72udoik,21.0,18.0,11.0
bg4evyvqfisfqx64vnk7rf6ieg2bdu4g,37.0,18.0,7.0
bhkdvsabyq63vpwpwiftnrwtbvuxtmxp,7.0,12.0,2.0
bj7ospygufupsjbhyzoznv2cxg7xqkiv,3.0,0.0,1.0
bjgodaifnohd2hpdkqayg6w7vd4nrrpd,23.0,10.0,4.0
blyclys26ytdkafd2pp3pmip4dhgih2c,17.0,1.0,8.0
bnjmdkkxsowjr7bcz7k5uhyioe62uugq,44.0,7.0,5.0
box6tgxmyagtm5o44sivh5p37nrmriyc,36.0,7.0,6.0
bpyuvv4f7bgn7xva44dbphgrbcwqacox,11.0,14.0,12.0
bteuz2op2pxlgt745bripggce7ayy633,9.0,0.0,7.0
bvauupikiz5n3xxnvy2xhsy7jyjgfoy5,8.0,15.0,5.0
bvrmlfuiqdjxbngxxect7tixxggcqwny,35.0,12.0,6.0
bywnqlnk43rhxwhif4ozimwjuteuys4j,40.0,8.0,11.0
bz6n4d2xyk5yxyhxthqkj4xvpi7dkey6,39.0,2.0,6.0
bzd6h72w4zxquyqany4mukmqwtylsniz,22.0,7.0,0.0
c5lgrq6dlz2w4bmld4xd46eau4oo7wdr,19.0,8.0,10.0
c6f73wrnsgmgtpd7dhjpqvt6qdw5uvqd,1.0,1.0,12.0
ciwllza7bzl46myfnixbubnzgqeq4t6d,5.0,3.0,12.0
crl3reur3muuo7qah6o5id5ksi27vvjg,24.0,3.0,9.0
cvbkjjs254pizvtqkj3i5r6drhpmheyk,27.0,7.0,10.0
cw4iycape6ftf4jg7u3fcws32fnckiit,44.0,14.0,12.0
cyae2gneesrh7v2z7gbi5femeprijily,46.0,18.0,11.0
d2x2ly7k2q33e5zy5gr5ggu46mtgqh7c,9.0,15.0,11.0
d3mb7lq7wau7u3chr3hbvnzapjgr2roh,42.0,17.0,4.0
d4lcjbkp26pzv6pad32vscvduikdcxbd,28.0,5.0,3.0
d5r777fm3gjvrgwupw3v4zzbnsjrd36w,6.0,9.0,9.0
d5wlhe2amugn2zju6a2dc63jqz73n572,42.0,15.0,7.0
d6745brrxxkijisuurroxejfkvscetng,10.0,7.0,8.0
da7dsamtw3fgq7n4jhemsreacdao2tn5,39.0,16.0,7.0
db7mozt35afdxlxojgvalinlugkilxad,43.0,0.0,12.0
dbqqspo4tcjxnlbmrfzhspdeve6kuo67,40.0,7.0,1.0
dbxzbjgjyu2h2yi23iq6k6632xy7pbfw,43.0,0.0,11.0
dchbjg2x437wklvwziidlflk5g7j7ik2,44.0,2.0,12.0
dcmnvvj5xcb3ykz4eojj6vvsirlrj4px,23.0,13.0,6.0
dhhnkfyg624yupnsa5qnnaaomgj3v25n,33.0,7.0,6.0
djkdvqssamitze7gwxsmmcarmdwx6fsk,35.0,6.0,3.0
dpupry5oo7f6xa3n5na6uunstd25mz6q,42.0,4.0,4.0
dqysynrcmpffi4savkop6olmjiha7ca7,29.0,7.0,10.0
dwddfxtuzqalecjz75sdfh35v3yznm3m,18.0,10.0,11.0
dwk3jbyqxarexf2tlujoa5bfg5szzryb,14.0,0.0,8.0
dx36xkahbdgd3hlasdrlfjw6tvghtpm2,25.0,4.0,6.0
dxp6geol2aorzhwamdihoj6utbrke5rf,41.0,10.0,11.0
e2txefpvqj7invhe4qstte5ip7pwgciz,24.0,15.0,10.0
e4emm4hecfqmdxf4ma3mqb223wqipq7q,40.0,6.0,0.0
e75bjgfaor6ard4xvlyxgqgtbsliguhk,12.0,12.0,11.0
ecfwm6actl2jyj6cvpvyisriloo7y7ih,0.0,19.0,2.0
eequ7lrwjd5qaypn6cocvu6mox5j2ok4,16.0,9.0,8.0
ef3ha6qljzdxccfdcueqhqtud3fu46ge,2.0,5.0,11.0
ef54ziqgh2poobq3t7g5xyltuflpo3l2,17.0,15.0,6.0
ens5uhtwabc4v22syh4lattnxxabn4au,19.0,2.0,8.0
enucnrk5rnqof3jyqviaahc2g2476mlt,39.0,1.0,11.0
eob4fbm5rltj723tzzircumtdq4ve2tj,13.0,15.0,11.0
ephhfogcif5kzptfynylekmcbtiffq7m,37.0,15.0,11.0
epolivpqk2uqa4yrjjo5b7ygoubcc74g,4.0,8.0,7.0
eqb5dxzfp6tkafanpkd42w7ojrmmmiv4,23.0,13.0,5.0
erdp54l4v2yt6uw26fdwmtjhzflim3fl,3.0,5.0,12.0
etcrxoywj4cupcdtouigmqkxvh2vdcrk,25.0,0.0,9.0
f26ilkf2pz7tkjlbpzhavxeo47ecppg7,17.0,19.0,3.0
f2ey3aqneyt2wggcqvmaa6b6qbztm5oj,41.0,20.0,3.0
f3n2rkpb3qu6gh3obdfr4fo6re2zpqfz,24.0,13.0,2.0
f6hgj3du6g2q2rnbyrbsiixu2wykopdg,35.0,18.0,0.0
fc52orp4xf43gxirfsddsi2jvuvkwfh7,18.0,5.0,1.0
fddoy3or27ommkjwqszdihv4rsbaaq4a,8.0,13.0,5.0
fei3i2t3ddfodjqsbnhpwtps234xyq7c,29.0,1.0,2.0
fex2rg4tmxyvhufp5e7f53dczwhvoyzo,47.0,15.0,3.0
fgoqhq2fgrmmhapgpux7txkgl3vel2mn,32.0,6.0,11.0
fgpsftuvdmpxsdkorovlly3fvptm2rg5,2.0,2.0,11.0
fgvrpljfsanvibxvia7uijdu7dd7x24g,31.0,1.0,4.0
fistouoh4426zkyzxfrzoythpwrpymx7,37.0,17.0,3.0
flh6s6eeqyye53hxfhjyfxvor4ygfcxf,23.0,2.0,0.0
fm5zlimvgoisqoqbmwezqfxzkvk4jkdy,35.0,11.0,6.0
fnxyilgan3ijd3uea7ord2nkdrw2sa2u,8.0,15.0,6.0
fqqnxaejsyeykvnleyagfbuozhjcugjz,5.0,6.0,5.0
fr555u7o23gntofu6k2n4hwejcmhsisw,24.0,15.0,7.0
fzas3gzl4yruvnyotqfomj6ngngadlrx,25.0,20.0,11.0
fzcqvxzd2ipwyqbrjyvsoxm6n5mzyo6z,49.0,8.0,7.0
fzxwxsplz7mvmp7sivuttt434zc6uip4,48.0,3.0,12.0
g55bgurm6anoriwm3l5pnnqtlghusc6i,29.0,10.0,11.0
g62cr5da4skq6r3z73yyll6niptyciuh,0.0,7.0,12.0
geviub3ojso2hfoj4qmsafqjhvxzriv2,1.0,0.0,5.0
gfhg7x67ug5e5dv3e7rrrlhyrhoa5ije,40.0,10.0,1.0
gfie4cxbmdahtgnpkz77hy73igjq6kky,20.0,1.0,9.0
gkqy3o4v75vt4l4dw6cqbtl4p5johjw4,38.0,15.0,6.0
gnbbh66ydr7j4d6q4q765ifdwzfceigy,1.0,20.0,4.0
gsa5n2nw2x74v7bi52d2df44kiw53thl,12.0,9.0,0.0
gu6ptvrvj6z2k3jhe3o27kiy5ftob62m,36.0,7.0,9.0
gvo3zfmq4i723kxvtc3hrj2nkw7uegq5,24.0,16.0,1.0
gvsm4tj42pzgcshxgylxjo3txbyhag5g,28.0,20.0,9.0
h2vlmuhqcrejlpomlvx3ch3p3gaxfcox,38.0,17.0,11.0
h53wzynnnxzttzg7oskbtqnlpj2blrra,22.0,18.0,12.0
h6il3h6oa7dmutl62ienw5vkntusvhbg,38.0,19.0,8.0
h6uxtgl73vq5xztw6pww4yomieabq47u,16.0,2.0,1.0
h7wyqotrhorhlkoyt6k5wouiuxtmaf3b,44.0,15.0,7.0
hcnk4e4oo77cnyupcfawg6ynxnx4iuz7,48.0,19.0,12.0
hdbc2uifuudxl43xkjjozalkcgwsdlvy,15.0,14.0,12.0
hfw7bxuinoxix5ek6krs5yfnclcnh5rg,22.0,6.0,3.0
hgci7zhcs75h2sluudyzxr3f3nggwsh4,49.0,19.0,8.0
hi2axwkgonzj4fx22gkou4vj3llkoqdn,3.0,17.0,7.0
hmuzkshn5utlq4arjcq4w53y5k4xqg3o,34.0,16.0,5.0
holjopzpxq352nsib3bo2zdonytoy67k,48.0,2.0,7.0
huacloc775sxecz7zzl7ui6env7b5a6c,22.0,16.0,10.0
huny6hyx6ry2ehspr7fzuh2nf3xoft3f,15.0,7.0,8.0
hzofcmcz526xzz4wqob6t3rlgo2fftro,10.0,7.0,10.0
i4t5yuhyqmhsxir2fbo5nmpndgs4d5x5,3.0,8.0,6.0
i5g5zzuxknwgwkorjg3slqcvd327le3f,32.0,5.0,4.0
iam2oa5ueejkqus3f73clldlrmjvmmgt,37.0,16.0,2.0
if5yux3zqpwa3tr2ogjybb32vxpewsmp,27.0,13.0,3.0
ijutkcmnhgfyxds4cqh5wwjwwhqqdhei,37.0,18.0,11.0
in73gdmcruiaah5skvumwhbmrlgvqmyw,23.0,18.0,5.0
inmuotd5xzoflmfpyi3obpiiaicx74i7,1.0,16.0,1.0
iqgp7w42v7ovlzsz27uaerp5jumml2fn,32.0,8.0,10.0
iu7u72ctwtjmhw7suoaeu4beo4htxm3l,24.0,3.0,8.0
iugxrp26bytcru2h7qlehbu55o7tkgwz,30.0,14.0,10.0
iw7yndkxhk73rsrkdoufcns42fwckico,0.0,8.0,4.0
iyzbi4potkt26xswrktpcogbucb2jwow,27.0,4.0,2.0
j455a7lq2mtawkvebd5ghj5ioaczsdax,9.0,15.0,4.0
jamqzdkbo5ibzzrues5ag5mlc6mlydw4,49.0,18.0,9.0
jcm7zsl3xc66fe2egiw7pvnmppf44xod,39.0,1.0,9.0
jcyhlyogwy4ieggq3snmspwykvg7zxam,27.0,8.0,9.0
jgpsxo6xedl6lup2pjeeivbgzuvqbi5v,19.0,14.0,4.0
jhyxvt6rbdjxcf7e5lqhnq2yens2mvsr,17.0,5.0,7.0
jhzrcurov7ahfdctbpcqgufkllhsdg5h,40.0,4.0,3.0
jikfwji2ljk5gcw3ocxsziyxsg7y3nen,8.0,6.0,11.0
jjcqdb7ohpok7yrdeojomjix73tf22ln,30.0,4.0,4.0
jjtdhpfhjiqqcmzz22etdantlkil2sdy,35.0,20.0,6.0
jkdsizbfz2ebqwsnfe3537gdacfjpoaf,29.0,6.0,8.0
jndahgw4hhczrcgp7z4jssycr3jfaa6u,1.0,8.0,8.0
jnpuci4ifsotszy73xki6ibfeqgplpg2,16.0,2.0,5.0
jopmw4ia6xuofvm64lh6evzm23mhnybj,9.0,13.0,9.0
jozxa67234pm4eteoxwunqup7m7wf3g5,18.0,3.0,2.0
jqe6iyxm6hdax77ofdnlpvthjdv5nand,24.0,20.0,7.0
juv7l5gmmwjcgivig3kzlpsvs7unodoq,21.0,8.0,9.0
jwcsuyzfc3yaurfs6z4gfj2ypgwjqwng,15.0,13.0,3.0
jwykjgtfioqtnsasc7h5b7iwiz2rgax5,1.0,20.0,10.0
jz3gt5tmmdx3k3kg3lc3enizvlcuuok7,12.0,10.0,11.0
jzx4dkul2tunapsybswcrqaymkdgq2p4,48.0,15.0,11.0
k26hmg6cw3fsvats7ysfnipqjl263zhx,34.0,6.0,11.0
k2dj5veect4wcxdx2nznw6jujc34wk4g,23.0,6.0,7.0
k2hhlizh3n3covekdqqxdu2mdalgdusz,20.0,19.0,8.0
k3z7swjxfmjxgqs5tupdohyfofgnwuoq,44.0,18.0,11.0
k674c3rj6zn3rfi7azfbp4a3brp6rrg3,29.0,2.0,3.0
kav6qqn5ekysbf3eqsrlfoxrws26sui6,49.0,7.0,8.0
kc2tonhobzddjs7rqmbklvdhcgdgf533,28.0,18.0,2.0
kdhlx55xegawa2byywerxdljmrnb5fgt,37.0,1.0,6.0
kgnn3ummqd4klmp4e7httmprcs5yo4ia,39.0,13.0,5.0
kgr5qbm2stcu2wg45wz7xdj2sw3jh5j2,33.0,18.0,11.0
kkgi3xiyk47tq6k2v6hhyvgldaswzlch,8.0,3.0,5.0
kkoibv4s5lgxuxejgcmdbxq32oxvn4kp,48.0,5.0,8.0
kmrp6bdz75z6bmxcykxky5pt6lps6kvl,23.0,5.0,11.0
kregnumyvuaiz34d2tj3va2yq34vle6i,21.0,4.0,8.0
krxrwu7v2regizodoh2eur7eeufio7su,2.0,17.0,11.0
krynw75opzzlaytzfns6xl3ydktp6mkl,48.0,8.0,12.0
ksshlkb7q3sqtf5l76cqvg5mzbizsdfs,7.0,1.0,11.0
kulzostcqhbd3fz3k5jrhjju65bd6hld,34.0,10.0,7.0
kusuhoybdxcgqeyslsmqneox4flrpfsw,21.0,13.0,9.0
kvn6dpyttukopt43cwhczcbawmjyckfm,8.0,12.0,9.0
kwinb4legkytvslj6srjzxzfvlwe3k6g,20.0,13.0,10.0
kwx7nrmfh42zqrigfbi2vduivz65gjvz,12.0,11.0,11.0
kyuactfq3jgsdumticveyu676mu7eorc,33.0,19.0,6.0
kz4lfddsxzjz6o6zzlfzqvmqs6hxvync,25.0,7.0,11.0
l3dzwsnwmuiiuhdgwmiysy4tshhhh32y,19.0,11.0,0.0
l4ijetjbrlaop6y7uwb4prsttymxznsm,4.0,7.0,1.0
l4k37qm2pofigguunpgw3m6phaculijh,20.0,15.0,8.0
l5chkmfszuunkxn5oawtb5u55xerq5vo,26.0,2.0,1.0
l5e3olj6kfsywtjhcfzttxntmyspmce3,20.0,12.0,9.0
l5eeqnoktzs2fmcej36knuzubqw6fubt,43.0,19.0,4.0
l7zxvagtqddwmd6qvmkzckop7vzkmmck,16.0,2.0,7.0
lgl5y74ql7nm4kmpu4cnrai7vnbcww3s,19.0,11.0,9.0
lgphau3uakdltor3avxzu5sn5vqjep2g,30.0,15.0,7.0
lhpxximdyttwy6cbo6yh2c37itfeqs4v,43.0,5.0,0.0
ljau5vqe4il6lev2errowv5suunmdicy,41.0,15.0,11.0
lmdr23qgus2d3opqr4ewrsu656jbdyde,1.0,6.0,11.0
lrqibqmfss6upyhubc25nii7nw522jld,37.0,8.0,6.0
ls4s7gpjcsacce763bh3zul37wowqc7e,26.0,8.0,2.0
lspl6eqpo3i6bkwtf4nqczd6atqeugpn,2.0,11.0,10.0
lt4k62sjclbqfxoabzb2kwwnpmck3fpe,5.0,12.0,0.0
lwmbvq2xdu5hhy54nxze3tcr6f7bskkq,17.0,14.0,7.0
lwqw7swhso6gcyoomw2ekfhtvcxbahdb,0.0,1.0,6.0
ly4aepcntxb3lhew4se7z7n3kp4bgw63,0.0,16.0,11.0
lz5i4auockrh2eyzbnvnsfquixpruvdx,11.0,1.0,1.0
m2rbx3zr5tuttzhmcmjsawmt3mqh5nma,47.0,5.0,11.0
m53okvbr6rotnh4ubryubpewcdspmoin,48.0,15.0,8.0
m5ce3zlvsbqj2nolegzkdregfjm67kvu,31.0,15.0,10.0
maltyoce7s6pt5q7f5yzxjhzzr3h2hut,31.0,5.0,9.0
mbip72p6ccxt5o6jqhufqruqvppecc34,37.0,3.0,6.0
mcxaw5ox2f2j2wjzf6zd3nixlo7cy3ok,43.0,16.0,5.0
mdcagyy5z57vctx7erjjf2rf4hroyapu,24.0,9.0,11.0
mdxw2j5kyz2rwa2fqyonmrpwz33nkr75,4.0,5.0,4.0
me27gihzo2u3x2h7otne5txcxivlkztm,1.0,9.0,0.0
mei2kn6a3yzm2mhvxyfn2zvaflfhtqs4,13.0,3.0,8.0
mjkg6t5j4guhdrnm4tx72ta3drqufzul,3.0,15.0,1.0
mjpxgzajthwvjkpoec6f7zw73tfnp6hd,34.0,10.0,6.0
mlk5bd7x6cw5wrwc5wkz5jzz7amnzpop,0.0,6.0,12.0
mlxlpxdskdvxhiia5pooolbtmdc7czm5,16.0,15.0,3.0
mpdgusr6gctz7rjtyzok7t6fdu7sbb54,45.0,3.0,10.0
mqjoc5wawaavy3a2spbacftuerojxz4a,44.0,3.0,5.0
mqqn72q7akz4tylztz3dd7bj33wa7hed,20.0,8.0,2.0
mrw75qvhvfvwqune6fsajsnhybnitskp,23.0,11.0,7.0
muirv27xb6udolwfcswcbiaeuir7le7u,9.0,6.0,6.0
mvd3jrot7grsmeriryqteqvjjlwme7z5,2.0,14.0,4.0
mvqzgrh3rgbona63ebdjnppevcqwnjtx,37.0,19.0,9.0
mxuat44l77pj62lihoathb6ugzc5mtoy,3.0,12.0,11.0
mz6ofic5ntusggsxstwmgnank4aoo34f,27.0,3.0,8.0
n2aomzzg6qub7oja6jl5jg4u5y6nibh4,41.0,13.0,5.0
n7a2vbmxmeohcqcxlsst3bgr4frrtirg,45.0,15.0,6.0
ngmwjbt3k3dtm2s3fvs54ovowdsdunxu,36.0,17.0,8.0
ni6uhzxro6cgav6uekuu2woj2shvmtug,2.0,13.0,2.0
njtj3qjnkzqlih5n6ehzbtbhy3r55gad,12.0,13.0,3.0
nlxybnj7k4hgqjf62kd63t6gwi5ch2lt,6.0,11.0,8.0
nohzoavpd2dnjy22uoyz5zgbezvqoi5p,38.0,1.0,12.0
noysmbgyjb33coz2nvcp5d6d4qevldi4,41.0,10.0,6.0
nu4ovoqrd4wm34rwqbzeoi6zhebobgef,21.0,8.0,7.0
nuo7jpvxorfrw7jbwoutekurrfasvqjz,2.0,0.0,1.0
nzsmlg4pmvxpak6zshimtyzdtg5v3fja,9.0,6.0,9.0
o2dx7nlaval3rgbv5u5dtjrltvopmsay,12.0,9.0,9.0
o6ljxylnzgosp5bghegwuolorzr4eo3j,28.0,0.0,7.0
o7sb7acspa5kzxr4he4nfi3elnt3uh7x,12.0,13.0,5.0
oazjnkq76yfftx5rvmyxllxtfmn5ctkj,44.0,17.0,11.0
oczaasdpsrxb373rq4lpes3l2l3ib2nn,48.0,2.0,5.0
offtub7sgitib3dis2rpg52mnihymnrc,6.0,18.0,5.0
oihjvsxoudlv6kzivuhvmbqiesi6n7xb,9.0,19.0,1.0
ompps25vstbjyo4qkzxfjwccke3gych5,39.0,7.0,0.0
oop7av2rltww5ec5xrkipmjezypsbg4t,39.0,20.0,7.0
oowrgdadesdidxxr66mo2ks7cxd4zijw,19.0,10.0,11.0
otzsfdtsaco7pbbjk57bgmgr7mrjgfih,19.0,1.0,2.0
ozwp7muz34kcos4ltl3nf2w6ile2gqpr,39.0,5.0,8.0
p4u5kcqo43lnyauk7sc4vumqfvf7d6ep,30.0,12.0,10.0
pactrnj2hehzzbqypowr55khzxi5zmgv,10.0,1.0,4.0
paeetdrwiwykkzbqrvmlh2lcrglsw4dr,29.0,6.0,5.0
pdutijmxmmggm66kedmc575mvqgoref4,11.0,6.0,2.0
pfut2zim32gcngqqqc6dim63wz2pu4rb,43.0,9.0,6.0
pg6qxpyuc6kxofyr3hmjybgssfnxh3ic,28.0,20.0,1.0
ph5hk4pwyurm24ueq3jkosgx7g46bbce,38.0,3.0,5.0
