,trilinos-version,libfabric-version,omega-h-version,cmake-version,mpich-version
7pelvqnocmfux3fseopi7prvsxai2km6,4.0,0.0,11.0,33.0,13.0
a67b2kajm5jtux4nba23du4e7i55uw76,2.0,0.0,2.0,80.0,8.0
abovdk3oru54hcvuljwehz3rx4ipspd6,5.0,0.0,11.0,41.0,15.0
acvlb6nxudgfydsuse77uqvblwwcog5m,10.0,2.0,3.0,23.0,4.0
aeev42fptu27lopd73thrbk6ligelmhp,2.0,2.0,8.0,35.0,3.0
ag2mugklgg4xqkejmfwycsp3yxoddidr,9.0,2.0,8.0,4.0,2.0
akhxd7cns7nvobd5jyltbtcsbdoonehk,1.0,2.0,11.0,14.0,0.0
ao3jmb77y26dncjqrlzrflmxor2b3das,7.0,2.0,9.0,73.0,3.0
axdabqoj3plzjonwqjagqglp7rek4elb,9.0,2.0,10.0,27.0,3.0
bb72cispbtwlxmhpiz7xerrebhaenk3n,10.0,1.0,8.0,49.0,7.0
bgc2bg6rsckgyps2plijz4q7jcdihijo,12.0,0.0,8.0,72.0,9.0
bguuwb4f6pg77vzsr7n7q2rskdt7xg2q,10.0,0.0,2.0,51.0,9.0
bh6rs6gopdumq7gh2pafef2y6wqd4pjo,9.0,2.0,9.0,42.0,3.0
bkfa4b55ce74nyonvnu4gye3ynz33sz3,4.0,2.0,8.0,9.0,2.0
blk7xzbgrg4stj5x4faaja7huphtjre2,3.0,2.0,10.0,26.0,0.0
bmrtid2ujrvo76apptegcduk27emjd43,10.0,0.0,8.0,4.0,12.0
bqmyvxwrs2hulyxom2jqs7poii56tqkj,6.0,0.0,10.0,36.0,8.0
c3agraehv2vfzbwlq2jngcqgkxckoj7t,2.0,1.0,8.0,90.0,7.0
cbsu66pltzbbepoc6uhnl5otgc77l3cn,5.0,2.0,10.0,77.0,2.0
cftvsfmju2cqou3eob7hqq4ixc5ccywv,2.0,2.0,0.0,23.0,1.0
cgyun4r25dhowbnhjtg2budcir6dk4sv,2.0,2.0,1.0,35.0,1.0
ckav2naer7523qm5wrr567n7xi7yzxvb,2.0,0.0,1.0,41.0,12.0
cvpsvqqe5wyi5whycqfnrlm5btgku536,3.0,0.0,10.0,36.0,15.0
czdcmtkmaemerfsigpd2tfhdqkzm5iyx,10.0,0.0,11.0,60.0,11.0
d6yoofomp24nmbhgylmol2clic3jxzye,2.0,2.0,3.0,79.0,1.0
dhp2bw76kenhmh4xb2zdgx5g64nja66l,4.0,2.0,10.0,63.0,0.0
djvsimoumatojls56hlsvudtxlcc6bez,4.0,0.0,11.0,37.0,11.0
dwk6yzku2guj32n4zi2ukjt4ufqrbn3z,4.0,0.0,8.0,15.0,11.0
ed34fyx4psoyv2vzacj6mzlpszzab7wh,8.0,2.0,10.0,41.0,3.0
elessnevpputbevnibeetcyh22rm4jiz,9.0,0.0,11.0,66.0,11.0
erzjay2z4fpoia4xfnxituagrdtnm7su,12.0,2.0,8.0,64.0,14.0
eseh5rr3or6xo5kibnkxrpdt2fcyl2dt,10.0,0.0,8.0,48.0,11.0
etdjmotqos2fb7djz6q6vgvn27jwdaat,3.0,0.0,10.0,69.0,11.0
ezvxqk3j6nqpjsffwxlg6nojmxjt3dy4,4.0,2.0,8.0,38.0,4.0
frb47dbwgo6gdl37jp66c57lgirwy5rl,10.0,0.0,10.0,35.0,11.0
fw5dc3mwylgtncy5kdmcsixhk7a5csop,8.0,1.0,10.0,28.0,6.0
fyznkwbvpvle76jfhfodlcpdml47vnim,8.0,2.0,8.0,43.0,2.0
g2tyr4pvaj3ejjbdqsytp7e2vyxkd3ln,1.0,1.0,8.0,30.0,6.0
gdauol6n2ipuokesxycwxlhzaurbn7ki,8.0,1.0,10.0,65.0,6.0
gdwlfg3yrzir37oeu6tvm6ddmixrtgij,2.0,0.0,10.0,3.0,15.0
gr2o2de3g5v7bcgo36mv3ox7l7thxfli,11.0,2.0,8.0,73.0,2.0
gt63yw4exi2rvrevrjmwx6htzqb2lnxm,0.0,0.0,9.0,78.0,8.0
gum7276xmontdqstlw2n5llzl2jg4v4c,9.0,0.0,10.0,50.0,9.0
gvvj6phnby3ehzznpwghxixqsqpmouwu,9.0,2.0,9.0,2.0,0.0
gw45lys3tmili32jukpq6wemw2zkkvrm,7.0,0.0,11.0,41.0,8.0
h5ix26wgkqumorhmnqpstrfmvdi32c7c,2.0,1.0,0.0,39.0,7.0
h67yecwtlum5ak3m5oibw4bcwkfwlnnm,5.0,0.0,9.0,34.0,9.0
hd2z44ms4qchyf2ftk2otf5g3gaoybfk,9.0,2.0,9.0,41.0,0.0
hm2sadhetey5vsuatkkydliby57d642o,10.0,0.0,0.0,26.0,10.0
hu34uqs4fc5dyojunllkb7stbj5nu44c,9.0,2.0,1.0,41.0,0.0
hvrh3dtvlker33wt5bs6owtqqpr6pe5u,12.0,0.0,1.0,51.0,8.0
hw6jmsfnoq6as3jbvmlm6njg7sicf6dc,7.0,2.0,11.0,59.0,4.0
hygt3su2kzyquf6j52u4vk3gcm3yabmm,10.0,2.0,9.0,62.0,1.0
i2czlnyaevo3e22z4jtxvcgt5tprh4hf,10.0,2.0,10.0,78.0,1.0
ibbljbj73r5e32zhbxt74glub76wgs5k,2.0,1.0,10.0,25.0,6.0
iifmsk4drurkmylt2hy6tmn7z4d7oswe,2.0,1.0,3.0,15.0,7.0
iv4zct6nsid2cuhjriqxkypox3xfojo5,11.0,2.0,1.0,64.0,1.0
iy7n3gslwlal3l6g7myh3irm4bnoeo25,10.0,0.0,1.0,77.0,10.0
ja7b24gnkghyqx3hzecjmovtnl65ujbc,1.0,0.0,10.0,9.0,13.0
jdrkmky4ixp4qr6dh4udgx7xweqzy4ww,8.0,0.0,9.0,53.0,11.0
jjumgiwsgegd2i3jbprlcrv2tcmfq6or,9.0,0.0,9.0,14.0,12.0
jm2ynnmeyy6vtijncguz6eoguvnrpk6i,10.0,2.0,0.0,70.0,0.0
jn7qhdghazb6zp4pqbmzvt2thvfryovf,4.0,2.0,11.0,67.0,3.0
jqimdsbn7z4tha76puhd3fcdmlvarq53,1.0,1.0,10.0,46.0,6.0
jqjj4y7qcq7wdfloiltyx4qudzp7cvkt,4.0,0.0,9.0,12.0,11.0
julgbk6hk7ikiuvcapg6ulakw7o7fbg5,11.0,2.0,10.0,61.0,4.0
jvy7w2mwkuilrl7dq6dvjbc3gjyv73yt,5.0,2.0,8.0,24.0,1.0
k2wi5db6z5mjbyhbobucnzgudatq6i5z,2.0,2.0,2.0,76.0,3.0
k3fmm5mayk56d26aiohoro246hexalav,10.0,0.0,11.0,36.0,10.0
k3wdz4ukwocir4cpbyj74zg5vahe6sj6,5.0,0.0,10.0,62.0,11.0
k4hd3uknzotrla2m6gly53bpalimqcbg,10.0,0.0,9.0,29.0,13.0
kfmwwntexoi7ucsqhtrx4vw72douklet,3.0,0.0,8.0,73.0,13.0
ko7qlonm46njqstogeecxjwxulqtpvf3,1.0,0.0,10.0,76.0,10.0
kqcjiilciqcqdo6kwxo4dcs2fey72hlv,11.0,0.0,3.0,75.0,8.0
kqmw6uzruvdgoixwhd6zi2ilh75tkdip,5.0,2.0,8.0,60.0,0.0
kte7c7gvb5lcmowmv4wqt6aoczs3ndva,7.0,2.0,9.0,79.0,3.0
l42bckcx6fgh6kp25vmxjo5s2jxz3rrs,8.0,0.0,11.0,26.0,12.0
lcrlyxfa4u6ovutssfoaxrpllgmmh77v,7.0,0.0,10.0,73.0,9.0
lht34delttjoupzzvwn5v2nruyzlbky2,0.0,0.0,10.0,2.0,11.0
lkgboyjxmwipd66go66h6irtxbq4elcv,0.0,2.0,11.0,52.0,14.0
ls5zwlabowhjdhmoql2fpwfvwq4k4bfo,2.0,0.0,10.0,79.0,12.0
lzu3cno2sgsul7r3ukivujj6d2zonw7k,7.0,1.0,10.0,61.0,6.0
mhqudngwvb3petjiyfnyieup3rtqj7hs,7.0,0.0,11.0,75.0,11.0
mlrsx5j774iyjf6bahpn6t5bb4tc43hm,10.0,0.0,1.0,5.0,10.0
mnutxjhhfnimig6rsxphivziu7prk547,1.0,2.0,8.0,30.0,2.0
mxkejf4twdigg2kjp6qetm2yacityya3,9.0,0.0,1.0,64.0,13.0
nfdsnyurgypc426iyi3jap27t4vy6ymn,9.0,0.0,1.0,25.0,13.0
nlnqd4in3ftwqd4w7arip5be2un54vkk,7.0,2.0,11.0,63.0,2.0
nnzdd7qaz26z6kfzvejg6qciw4qbsq45,2.0,0.0,11.0,34.0,11.0
nw6lldgonpm57p5eikx36rm2oxnjoxt3,1.0,2.0,11.0,6.0,2.0
nznjfvtv4exp7r67jmessy7gd2rkjxz4,12.0,0.0,8.0,56.0,10.0
nzvlccnu64bgbkzh4gwwfe6mdwgoqhjy,10.0,0.0,10.0,26.0,8.0
o44afzp5nuiwa4ptmsp2cqwubyaiy7ak,9.0,1.0,3.0,65.0,7.0
o757ane3rrxyanpq57gbjnxqddlt4v5t,0.0,2.0,11.0,6.0,3.0
obagxw7egmszfn2iq2nwduabjf4gylw2,4.0,0.0,9.0,22.0,15.0
odkq74nacc75l4rtkv7c7ullkde3n2f7,7.0,2.0,10.0,62.0,1.0
ogs4jr3qsa3qiunzwdx2by25la2cs4vv,11.0,2.0,3.0,63.0,3.0
ohvpoweq2hchsiwjzobyuslqnvk5wowz,6.0,0.0,9.0,56.0,13.0
oly5eqw764mfc4xqvndzwgwfkymztjtl,12.0,0.0,2.0,50.0,13.0
ombhvemtu7w5qsvnrkowiiqgk5pxux2a,9.0,2.0,10.0,2.0,4.0
op2u4pfkv4jl2lnvh7o5xeegnpcanycn,10.0,2.0,8.0,50.0,2.0
p464jivut3ndmc6k6rezpfzv3clyu2jd,3.0,0.0,10.0,25.0,8.0
pcahytu4lsgkftqippokuma3rd546s2j,10.0,0.0,10.0,57.0,9.0
pgz2o2zi3r3mcikbttglvs2ptx5l4oug,10.0,0.0,9.0,10.0,15.0
phjfemjo3zghmql2smvflecr6ri7mi4q,12.0,0.0,1.0,58.0,12.0
plz43ww7uggklbylhggax6owmtz7yq4x,1.0,2.0,10.0,71.0,1.0
pseva4wfbaodhwskfpqwgsvn54rymfa7,1.0,0.0,9.0,92.0,10.0
qntlyjjlok7hwm7vnht5era7aruessxg,9.0,0.0,0.0,5.0,10.0
qpbvmjg6tqaw2posed57npsio6yyuyav,4.0,2.0,9.0,39.0,3.0
qvvj2gu5l5d6tbtdsmxjhe26a5hnt6v2,12.0,2.0,3.0,79.0,1.0
r2ltzwv2vu4ykyjl4ftwfmu7zjscib6e,10.0,2.0,10.0,79.0,14.0
r33bl5kuqbouscqfdhnwkshbmmuo5xz7,2.0,0.0,0.0,94.0,15.0
r4kgvpcvmytxsiaam3c2r6cb3jwcuotf,4.0,0.0,9.0,30.0,13.0
rfiqphpz2lhdvjwoh5yrw7mzmhpstq5s,3.0,1.0,10.0,69.0,7.0
rgq2pl25bb4spjeh3kot2nq242se2uxp,2.0,0.0,10.0,14.0,13.0
rj7mzd6pxatysiq22ehqxhvhlmvkik56,5.0,0.0,10.0,37.0,15.0
rlbalj7vors7pkg2wnb3q6e6ltxyem22,2.0,2.0,1.0,89.0,3.0
rllkonz5ddt63ispf7twfavg4vv4bme2,9.0,0.0,0.0,32.0,13.0
rqzu45olpo3qq6f7svawhc3i57ebkvph,0.0,0.0,9.0,35.0,13.0
rrqwslgb2yxwyogcyivsuzvj7z6j5hok,0.0,2.0,11.0,2.0,4.0
rrtggc5zpbqm77op6hyhm77wibpvcefu,2.0,0.0,3.0,11.0,10.0
rwhy4xaihk44azlx3arskcuh4osq6hut,7.0,2.0,9.0,89.0,2.0
rxxrch7wu6s7c4bxd4jo2xkh2nxxzohz,5.0,0.0,10.0,94.0,9.0
s2dvnq43ydlv2oj36xgeyy3722vhpiqd,8.0,2.0,10.0,6.0,3.0
s5v4ts2n6zstxal3tdju5l74xmcqxrxr,0.0,1.0,10.0,52.0,6.0
s6mi35nkrpd5w3tpnvi2mxgiagtfpilj,4.0,0.0,8.0,40.0,10.0
sf4luvygaeouanshudhx5ohk6xwqn4qa,8.0,2.0,9.0,36.0,1.0
stmvkzr2o4m3ero4o47kab7nhecgbtxq,6.0,0.0,11.0,40.0,13.0
stqxmnta3devfwm77j72t3vafidrhh3h,0.0,2.0,9.0,76.0,1.0
szti6p7g3zwoyhv2uy5latsi3mqzcmkl,10.0,0.0,1.0,51.0,10.0
takjp4k7skzp4bw6xqcflvh7wfcgqpq3,7.0,2.0,9.0,65.0,14.0
tdnmlq3nj2h3sszbubruwko62sqjasfc,9.0,2.0,10.0,48.0,4.0
tiaegj34zvw7prfdeyliryqfhyd7ju6p,0.0,2.0,8.0,41.0,3.0
tjks3l6lxilbbc73ujmxe6m63dguad4l,10.0,2.0,0.0,44.0,2.0
tjwgclkjvz24zhftvtzs24iuwk2rmkeh,5.0,0.0,10.0,3.0,8.0
tkcfczv2t562yamneuh2xngph6iwn7pz,5.0,0.0,8.0,36.0,8.0
tndkl4u3r6hommt34bvonct2bpiiokok,4.0,1.0,10.0,68.0,7.0
tr3q2hkgrnuwkwp37xd2oymzrus6xbhg,1.0,2.0,9.0,92.0,0.0
ts2cfuhpy4oyftfgflo2bflx7bmaoeqp,6.0,2.0,10.0,23.0,14.0
ttarwevuamwqcej57pgohrtkraug5foa,9.0,0.0,9.0,57.0,9.0
ttfxasalzdbecswd36bk7itxzojc5d74,5.0,0.0,9.0,88.0,11.0
txj46dg56fnuyd5gypo7uzmvaldmrxhp,8.0,0.0,11.0,78.0,9.0
tytsfkz6czrhigajitdfavbawtfizska,8.0,0.0,8.0,75.0,11.0
tzxv7mirwwduw23x7dehnemyytlo5b7m,10.0,0.0,10.0,6.0,10.0
u6w2ji3j4do67ctofkzeg54c6uhgp7s7,10.0,1.0,1.0,44.0,7.0
u75wwauqhoxrhdxv4awlwuqmxtoywa52,2.0,1.0,10.0,35.0,7.0
u7tqhxcxwu3yy5pf5ijyawzaw43bpytq,1.0,2.0,10.0,50.0,4.0
ubb47qm2qjwxs4hncmsm6ajrcb53o6gk,9.0,2.0,0.0,22.0,4.0
ubheutc4z6ubvmzeerzjdwg7d5d4oa7o,9.0,2.0,9.0,65.0,0.0
udidrpngfambs4viypz6grukrlb5uzbx,10.0,0.0,1.0,61.0,12.0
uksa7vvnrtqb4u3bjplztk7hxj4e5xm4,7.0,1.0,11.0,40.0,6.0
uq7oejxegve6w7rlk6a2hixypr5a37wb,6.0,1.0,8.0,33.0,7.0
uwjxne4gkybxj4blxqfxwzh6rgruwesf,10.0,0.0,3.0,54.0,13.0
v2bbgfs27ejnx6rsnlwrnowi7qp5ilxe,8.0,0.0,9.0,3.0,10.0
vmlomnezbr7eo5y6uck5fovei2vdgvw7,6.0,0.0,11.0,95.0,9.0
vo2cmexde37ydyy2vm47qznce53qeztq,4.0,2.0,11.0,13.0,1.0
vvfd6kh4d5yoqt4exqh2dyatmd4ypgla,9.0,0.0,2.0,53.0,11.0
w5sif3ua2rca73imwn7pw2s55wag7ttr,10.0,0.0,11.0,25.0,8.0
we7hzgfxgd6dkb7f4qtfmsvxyktsefcv,6.0,2.0,9.0,60.0,5.0
wkbmnvkzrzryqnlentndxwkql5penktw,6.0,2.0,10.0,35.0,14.0
wmpiyt32a2frur37k5ljahjqrxv3dq2d,4.0,1.0,10.0,73.0,6.0
xk7frgvdz625u4qpcyh4eq7gsojekyon,7.0,2.0,8.0,36.0,14.0
xnsdvokwxbwbjznocbff7zk42lnaelhr,8.0,0.0,9.0,95.0,9.0
xsqf2ftnoo2a5bxagpfp6jqrbncindkn,10.0,2.0,10.0,56.0,2.0
xy4c2gpu5bga447rqkmkbrstab6fhdbe,9.0,0.0,3.0,79.0,8.0
y3mu5thurrk4a2c2snpwostlvjybsg74,12.0,2.0,10.0,56.0,4.0
ybkfcy3rb4k7bnmiium3f3xmasf675uq,11.0,0.0,0.0,67.0,10.0
yjsnio6bn6cszw7ih3dpx2zxujwvqcnd,1.0,1.0,10.0,10.0,7.0
yllsxkly4yjzorkmmxbqms2rm22bl7ge,8.0,2.0,10.0,53.0,4.0
yn45frui6in7opvcileyd5bey33yrtob,0.0,0.0,8.0,93.0,15.0
ynt6erc3m5ibq7l3sycjp62g5shzbds6,10.0,2.0,9.0,36.0,2.0
ysmrhtloyq7slfdhhqjuwffgvseq6gsr,5.0,2.0,8.0,70.0,3.0
z4r63nrd5xefp36xv56gpsy6smtn3hw4,10.0,0.0,10.0,41.0,15.0
zbkjfincf6dqfzxiq4avg44w6ozwejps,10.0,2.0,10.0,71.0,4.0
zckplouqgqaxy2jd5ht6tegv5zjvx3cz,2.0,0.0,0.0,54.0,9.0
zf3pfh46prsucuv75ql5x3asbg2dwkp3,3.0,1.0,9.0,4.0,7.0
zqnisfdwmqvtusvuzln5zztiu5ewmghr,10.0,0.0,1.0,54.0,8.0
zrridza7vy47oncpxfxea4mcit2xflia,1.0,2.0,9.0,54.0,2.0
ztmv3ugqcyjwc773ok722w6h3vus66sk,4.0,0.0,10.0,10.0,9.0
zxgi6jx3wc7gavoijyluv4jj6vtzqxfu,2.0,0.0,8.0,33.0,15.0
zxreyodp7bypbdpsc2gkvhjnky6tthem,12.0,0.0,10.0,61.0,13.0
zyve3uipgabyhjlk7oyudnz2rf7dobf2,2.0,1.0,1.0,72.0,6.0
25otjg6lybnhfvze6njsghzc4sjf2q3m,5.0,2.0,3.0,63.0,4.0
2ckcstxpyzzgrmeou6757sct7slwxikp,3.0,0.0,5.0,49.0,15.0
2egxnnrh4xgk22zwh6kl2q3qdnuqva3v,2.0,0.0,4.0,22.0,13.0
2gaiwqrxlyaanlcmnltzwx5iwys2fhyh,6.0,2.0,1.0,78.0,1.0
2vc2flq5ldkkkbi7awinvxb4lq2xfqk2,0.0,0.0,3.0,59.0,11.0
2xaj4zmyxeiq5ad3sekslixxoeiiix3n,5.0,2.0,1.0,60.0,1.0
2yvfejfjkl2uqgyb5sszdsshulk72ypp,7.0,0.0,5.0,59.0,10.0
3456duiivfqyopoduh5lcx4zgx26jqee,7.0,0.0,7.0,44.0,13.0
34dw2ohkevrur4ijw3rre5ef2o5gyzne,8.0,0.0,1.0,48.0,8.0
34fy33v6ylum5u74hoqjfu33nshw3ioh,2.0,0.0,4.0,15.0,8.0
35ifzjghgvzjfrojr5lvo7wmn5n4ayhd,3.0,0.0,0.0,56.0,12.0
35lfo3jber3vpbk7xquqdkfwzwd3kmq3,9.0,0.0,6.0,77.0,11.0
35p7clgbddt3424dq5ege7acqrwpyph4,10.0,2.0,4.0,39.0,0.0
3cfejodq6al42jyjwisvq2zduc2mdkie,12.0,2.0,1.0,64.0,1.0
3fs3u3uor3dvqeueddwz3ovalnghojmr,6.0,1.0,10.0,46.0,6.0
3jjdtkorqsjpbyhy3um2jyvwlcb5cfnw,0.0,2.0,5.0,50.0,3.0
3ohccyisvqgrmbrth4odv6aj4t5sqiwr,10.0,2.0,7.0,69.0,14.0
3olncn6vzoe2xgxpbm7qpadrhdwenmp5,6.0,2.0,10.0,1.0,4.0
3rqt6htzolgwiuiupmxd6cbixxj5axbt,0.0,2.0,7.0,41.0,0.0
3skosuymi2fhzx6y45tropaexbdslrr4,0.0,2.0,3.0,38.0,14.0
3tjwylvyu7ayff7tvivmxga3msmd4iwr,12.0,0.0,5.0,72.0,13.0
3vhrirohyb6p6dy6wgny2s6lrz4e5jc4,7.0,2.0,7.0,88.0,14.0
3wyrw4n5o7etjswdlze46iaegrk7jcpx,4.0,0.0,1.0,68.0,9.0
44stnpjym3gppzgo2275amdpmcdm4luj,1.0,0.0,1.0,86.0,10.0
44ylqfolesqe4qwxefm5tczsffifeipv,10.0,2.0,5.0,10.0,3.0
4d3s5sdfxi5k7o6yxibf2wkasfwdziv7,4.0,2.0,3.0,6.0,0.0
4inlzziy2qvb6amhotxer46mogferzk3,8.0,0.0,8.0,87.0,10.0
4ohzfsnh5ve44kgcwgriepwlbjkrfp7a,1.0,0.0,9.0,47.0,8.0
4sqfktqrh6qmufm4xv3yjma2ets6dbia,5.0,2.0,3.0,4.0,2.0
4vlr6pzjumsupkcs4jmn6smdmek5vlt5,5.0,2.0,5.0,66.0,1.0
4zmxb5u5nzkbttndnswn7nmaf3lped4y,6.0,0.0,5.0,81.0,8.0
55fcxj4ebi2vdizf2vlk26dwyw7qvtfk,0.0,0.0,10.0,49.0,13.0
57ljf6ir2uey2f3fhnyi3m4ukpysqalj,5.0,0.0,6.0,24.0,12.0
5a32j44zkm64spzjgv5gryv3ep5owsgv,8.0,2.0,5.0,43.0,0.0
5jdxa56qqzcm7sxou2pi74x2oxdzbxlf,6.0,2.0,9.0,44.0,0.0
5mjthprxeptpbbgxz6z2horogaqakmrr,3.0,1.0,5.0,62.0,7.0
5nf2zvtaee5vt2lrsfj6nsgvlqdexoam,0.0,1.0,0.0,41.0,7.0
5r6azaxs5yblwyubbt52i5jsdybzoi3t,9.0,2.0,1.0,10.0,2.0
5tmu2hd3vi5mfv2lzclpu7fbhbfjrddy,7.0,1.0,9.0,21.0,7.0
5vmx4aaqbi74hs5z4aedfdwp6eq374j3,1.0,2.0,11.0,59.0,4.0
5w3dcizio7ms6k52o44xe5j4l4erhyu6,2.0,2.0,3.0,82.0,0.0
5wfwhrid5cgco5t3jpbido3v6i4pkyho,6.0,0.0,11.0,85.0,10.0
5wnnjdnvri2wzc5u3hlggefkcpavzrtv,9.0,2.0,10.0,13.0,1.0
5xz7poeoyhq3dugzq2ymxvqfyc5lbeqh,3.0,2.0,9.0,67.0,2.0
5yp7357tndvphott77qtr5gqz3wcx23o,5.0,0.0,6.0,30.0,9.0
62wefyjkfbhgsga4c75yrrravdd6es3d,5.0,2.0,5.0,80.0,4.0
64cx7kvfgjyiokslgsvcydgukuddmgsb,7.0,2.0,5.0,42.0,0.0
67rlxlp2lhk5gckhplovwkepgezafop5,6.0,1.0,3.0,3.0,6.0
6atjjw5onuqnff3ntaawhnwrojh4yvoi,10.0,1.0,5.0,2.0,6.0
6bt5zrg5wmtn2mcslolguxppajiob4in,4.0,1.0,7.0,64.0,6.0
6c2d2i43l2nxmcyzdqfdhxvihoiynkcw,0.0,0.0,4.0,63.0,12.0
6icdwzr3xcij7iz3ih7z4xrywcuzoms4,6.0,2.0,9.0,86.0,1.0
6p3nkp7myarkgs5deyrn3brlmh4qmlvw,5.0,0.0,4.0,88.0,11.0
6rij5flcgcy5wz24foifx2metc6vsfda,1.0,0.0,7.0,80.0,15.0
6tslrz7bmzobrwbvkw2xhdtxlo6g7y4q,0.0,0.0,3.0,71.0,13.0
6v3ysgf4duwb7hl6gs564luwwud75cyb,7.0,0.0,4.0,11.0,9.0
6zbi7abpug6wg5t6kn5hw67hgpl7xmes,12.0,0.0,6.0,74.0,11.0
7flp7bnb25hugxngwrxsbp3msems7mjt,5.0,0.0,5.0,66.0,11.0
7g54p3ceoshcqz5gf2h6ffszyjypbv7i,8.0,1.0,0.0,57.0,7.0
7gmsdzbnshmdhzxjy5l7fxc3nq32dtqd,7.0,0.0,4.0,64.0,15.0
7kc6vh6aocnlvad33rhembpaptt4zzw2,4.0,0.0,1.0,31.0,10.0
7nagrurefc4vfml4p7t7cjmgirsycabx,11.0,1.0,6.0,60.0,7.0
7v57xsz5s23kdjgeqiu5b2ip5fnkx4n3,8.0,2.0,7.0,41.0,4.0
7ydiwof7vgdkmuynykkdz7ugh5vt7xnv,6.0,0.0,2.0,22.0,8.0
7z3rprmqhgdylhtyr76xignngt72ey6a,10.0,0.0,4.0,75.0,10.0
a2lqsm2tx3otlz5m6ccvjij4efhozdyo,0.0,2.0,1.0,20.0,0.0
a5ivvtfy2za5t2n2u35k7ontitwn3tug,9.0,2.0,7.0,11.0,4.0
a73apvy3y2mfwxikyzqcslfup4etl2i5,2.0,0.0,11.0,81.0,15.0
acbz25uzqv4ctzziyag3xs6s2oocmj5m,2.0,1.0,6.0,56.0,6.0
ahuonwesiifxn7ocwjozxmlv5awnzswt,2.0,0.0,4.0,85.0,8.0
albd7gtvl26jwx6ccp3gt5raii3vbjh4,1.0,1.0,6.0,69.0,6.0
atbm4jq2db4p3lp5bqpz2fx5iyw7uaye,12.0,0.0,5.0,75.0,15.0
awj3ubc7tzm7g5pic7rpjqxipgjiem6r,10.0,2.0,7.0,61.0,3.0
b2xfku3tbhd7d5zlfv4abrbvpekpgegq,1.0,0.0,8.0,94.0,10.0
b5edincz5kcwb3kp54y6ydj6ya6xgkkt,0.0,2.0,1.0,45.0,0.0
b7unxzyxwamtqqcfso7wsnoormmkk5oa,5.0,0.0,6.0,80.0,10.0
ba4zhcjk7dfjjoy5jzkjlakqengm3srh,4.0,0.0,10.0,57.0,8.0
bdw7dfe2mxe76g5ym6pmx7mmb5zt5egd,9.0,2.0,5.0,26.0,4.0
