,jobid,unmatched_at,total_subsystems,max_percent_matched
841,sv2pqv4jdgtj3cusk7rk3dxp7mnar5eo,15,25,0.6
842,xm5uxvtyv3b64trhhflohq5loex4kh37,11,15,0.7333333333333333
843,nndhuabuh46zytyttnpqtnkjqngqbtwx,14,22,0.6363636363636364
844,x4bs6tfwgjijr5zc7sjer56vlybltuwk,14,23,0.6086956521739131
845,zks4abmy2pt2xtlrxjjs2rvn75pexw3r,12,25,0.48
846,twg3cazwybpgnsxzu4itwsvakpah7276,5,17,0.29411764705882354
847,amjygqshx2gu3fdbm3c6lzqbhudib453,16,23,0.6956521739130435
848,rol4jnqcscjolj4wp4rt344swpegsc6h,11,33,0.3333333333333333
849,j2idqdusek7du55cgnqq6htmvnp343aw,9,21,0.42857142857142855
850,mwnlydawg5qa4ybcw6bqe34ko2uta7qx,10,23,0.43478260869565216
851,d2ouok2jjcc3qebiia3xoaa757wooymk,15,21,0.7142857142857143
852,fkp4v2it25unbo32qo6qupqy5ay4kbfc,11,22,0.5
853,txm3jquivrbju2tyd3k27azukli3x6fv,11,16,0.6875
854,rxp7m3bcryplfns5pptwfkkva6ofkgfw,11,21,0.5238095238095238
855,fnnqvtv5owvbaq6m2owzuvccv3clbilx,12,23,0.5217391304347826
856,3jg32ne7ah5hmz3u5enjjuhbbtt2v2w2,12,33,0.36363636363636365
857,eo5r4tbu7fxkylbsaxgu545ykctc4qzw,12,33,0.36363636363636365
858,dynxeq5m6vhjxk67qhdqhf2tyja35xrc,9,25,0.36
859,63vxqgpzyctbbn2coi7bkwy3ektnxqld,11,16,0.6875
860,542nisv7aecbkt3ogkm6j45fcfyx3ox3,10,25,0.4
861,qsblk3mpmtvsp7za35bj6oa4fm7sp2r2,9,25,0.36
862,pflem5enezz2xpnxodc2dgkywh4oninf,9,25,0.36
863,yfx7if4d7tuj2kcjgxovbj25nvfolbnq,10,25,0.4
864,yhcnkl4xflf7jgvk56pstpa4o3rlv4an,10,25,0.4
865,zahq6mxt7xzqorju5qshbcce7mxtqzaa,12,25,0.48
866,bcq4mkxxr3ufgv774mxjqriker5kizzz,10,25,0.4
867,ohrcqqhqlvckm5m6tkr7w2kkp3p4iin6,8,15,0.5333333333333333
868,f3qn463yjewzfsbetegtd6rqiv6ei7cs,12,22,0.5454545454545454
869,mv3qiela2u43bhkti62pi2d2muwnrrxs,13,17,0.7647058823529411
870,y2d7mxcerxh76ajyaqes2yamhmvyyuxc,6,16,0.375
871,3pp6nuipvb3pbgv6qbkf56f2ifwnxego,23,32,0.71875
872,qvurku54x45trg6ehqcbaie7x3mlgm2e,8,15,0.5333333333333333
873,wgnroa2ksxwht2ufpcglew2l7hthpmbp,16,33,0.48484848484848486
874,6kpkgmztuave7sz2t54nwjw76f6phhit,7,15,0.4666666666666667
875,h3xypgpvacxjbpqv7f7kkbx6eubrshcg,17,24,0.7083333333333334
876,byofmkhsaeircrab3q6hj5psoods3wbb,9,17,0.5294117647058824
877,gyjefvgwlq5454wvrbuhz5bi5sg4xw4l,13,21,0.6190476190476191
878,ikkzp6ytu3z3lfvjz3hgob7dfhcpjjpr,9,16,0.5625
879,nwn55gf2y2bmqxuyb3z4lntjzzoihum4,10,17,0.5882352941176471
880,t7zmatygmyc7kv6jwr4udh23bgbcz32v,11,25,0.44
881,k7f3ykxftgdmlgh2umtim3bnhcfcmf5z,13,42,0.30952380952380953
882,tx7fhcf3fayixjja44sqtavvhykjolsv,14,42,0.3333333333333333
883,zd2b7mso6meit25wenoq7q63jgmy6nxd,15,42,0.35714285714285715
884,iajv6agthaars4a2l7omaeh2cztno7qv,16,42,0.38095238095238093
885,yd7vltkuijuvwwn4ntszhnvux4kmjtyr,20,42,0.47619047619047616
886,crkw3frkjc4pb7cb72vy6ry5fkisguod,21,41,0.5121951219512195
887,bnsccjclpf5ksjrbc64mrjjsvlahjk3e,17,42,0.40476190476190477
888,dcke7em7koxhhzffdvqyxpmrblcoecco,18,42,0.42857142857142855
889,h4pwqt6rrqkc4k7njcqbhnzkvygxb3bn,19,42,0.4523809523809524
890,ql5m26bag3tnoufaldetaeiklmloywxq,20,41,0.4878048780487805
891,rvkkg4gd2jgurzdnlpdvqls3v4hx3iwv,22,42,0.5238095238095238
892,muxo6mgabnm7zp6mafb2tpuscl2wrfv4,23,42,0.5476190476190477
893,o7wf7evvex6aqgy46rglvbteb7lfuaji,24,42,0.5714285714285714
894,75ijekaxzypcajaux3awqfsmrcuabjp3,21,42,0.5
895,yht5elctyiiwj65aomx3kse5nl7sidpe,22,42,0.5238095238095238
896,6k6gurvy5yb7brhmcnxnujk25ci7c4wq,23,41,0.5609756097560976
897,lrk5a3tm6zvwj7cn2a27gyacfoytfaqs,14,24,0.5833333333333334
